Ticket ID,Issue Type,Issue Description,Case Owner,Case Owner Description,Street Address,City,State / Province,Zip / Postal Code,Neighborhood / District / Ward / etc.,Created Year Month,Ticket Created Date / Time,Ticket Last Updated Date / Time,Ticket Closed Date / Time,Ticket Status,X Coordinate,Y Coordinate,Latitude,Longitude,Location Geo. Coded,Method Received,Goal Days,Actual Completed Days
17-10359680,ILLEGAL DUMPING - WM,,Waste_Management,Waste_Management,4090 SW 135TH AVE,Miami_Dade_County,Florida,33175,District 11,20179,09/09/2017 12:30:50 AM,09/15/2017 02:03:00 PM,09/15/2017 02:03:00 PM,CLOSED,849400.628,508003.216,25.730039,-80.413021,"4090 SW 135TH AVE
MIAMI, Florida 33175
(25.730039, -80.413021)",PHONE,90,6
17-10359681,ILLEGAL DUMPING - WM,,Waste_Management,Waste_Management,SW 139TH AVE & SW 160TH ST,Miami_Dade_County,Florida,33177,District 9,20179,09/09/2017 12:31:55 AM,09/16/2017 04:41:13 PM,09/16/2017 04:41:13 PM,CLOSED,847743.748,467548.342,25.618754,-80.418594,"SW 139TH AVE &amp; SW 160TH ST
MIAMI, Florida 33177
(25.618754, -80.418594)",PHONE,90,7
17-10359682,ILLEGAL DUMPING - WM,,Waste_Management,Waste_Management,4601 NW 199TH ST,City_of_Miami_Gardens,Florida,33055,District 1,20179,09/09/2017 12:40:54 AM,09/15/2017 06:18:12 PM,09/15/2017 06:18:12 PM,CLOSED,893599.868,589778.177,25.954416,-80.277401,"4601 NW 199TH ST
MIAMI, Florida 33055
(25.954416, -80.277401)",PHONE,90,6
17-10359683,WM CART LEFT OUT,,Waste_Management,Waste_Management,11945 SW 123RD AVE,Miami_Dade_County,Florida,33186,District 8,20179,09/09/2017 01:24:57 AM,09/15/2017 11:41:47 AM,09/15/2017 11:41:47 AM,CLOSED,855772.75,481303.185,25.656499,-80.394038,"11945 SW 123RD AVE
MIAMI, Florida 33186
(25.656499, -80.394038)",PHONE,20,6
17-10359684,JUNK AND TRASH / OVERGROWTH,,Regulatory_and_Economic_Resources,Department of Regulatory and Economic Resources,11945 SW 123RD AVE,Miami_Dade_County,Florida,33186,District 8,20179,09/09/2017 01:29:23 AM,09/09/2017 01:39:31 AM,,LOCKED,855772.75,481303.185,25.656499,-80.394038,"11945 SW 123RD AVE
MIAMI, Florida 33186
(25.656499, -80.394038)",PHONE,90,
17-10359687,VISUAL OBSTRUCTION SAFETY ISSUE (RAAM),,RAAM-27-93,RAAM-27-93,SW 147TH AVE & SW 170TH TER,Miami_Dade_County,Florida,33187,District 9,20179,09/09/2017 02:04:19 AM,09/09/2017 09:22:13 AM,,OPEN,844011.249,463920.748,25.608817,-80.429969,"SW 147TH AVE &amp; SW 170TH TER
MIAMI, Florida 33187
(25.608817, -80.429969)",PHONE,10,
17-10359688,TREE REMOVAL (RAAM),,RAAM-27-93,RAAM-27-93,16600 SW 157TH AVE,Miami_Dade_County,Florida,33187,District 9,20179,09/09/2017 02:07:42 AM,09/09/2017 02:07:42 AM,,OPEN,838537.301,464882.117,25.611526,-80.446567,"16600 SW 157TH AVE
MIAMI, Florida 33187
(25.611526, -80.446567)",PHONE,30,
17-10359689,TREE REMOVAL (RAAM),,RAAM-27-93,RAAM-27-93,SW 147TH AVE & SW 170TH TER,Miami_Dade_County,Florida,33187,District 9,20179,09/09/2017 02:10:00 AM,09/09/2017 02:12:43 AM,,OPEN,844011.249,463920.748,25.608817,-80.429969,"SW 147TH AVE &amp; SW 170TH TER
MIAMI, Florida 33187
(25.608817, -80.429969)",PHONE,30,
17-10359690,ILLEGAL DUMPING - WM,,Waste_Management,Waste_Management,15794 SW 140TH ST,Miami_Dade_County,Florida,33196,District 11,20179,09/09/2017 02:13:18 AM,09/16/2017 04:40:24 PM,09/16/2017 04:40:24 PM,CLOSED,837530.626,473841.78,25.636189,-80.449509,"15794 SW 140TH ST
MIAMI, Florida 33196
(25.636189, -80.449509)",PHONE,90,7
17-10359691,ILLEGAL DUMPING - WM,,Waste_Management,Waste_Management,25840 SW 132ND PL,Miami_Dade_County,Florida,33032,District 9,20179,09/09/2017 02:16:20 AM,09/15/2017 12:28:51 PM,09/15/2017 12:28:51 PM,CLOSED,851918.125,434293.97,25.527207,-80.406378,"25840 SW 132ND PL
MIAMI, Florida 33032
(25.527207, -80.406378)",PHONE,90,6
17-10359692,ANIMAL CRUELTY INVESTIGATION,,Animal_Services,Animal Services,1325 SW 17TH ST,City_of_Miami,Florida,33145,District 5,20179,09/09/2017 02:38:27 AM,09/09/2017 07:55:33 AM,09/09/2017 07:55:33 AM,CLOSED,913884.936,518225.435,25.757242,-80.216968,"1325 SW 17TH ST
MIAMI, Florida 33145
(25.757242, -80.216968)",PHONE,14,0
17-10359693,FAILURE TO OBTAIN ZONING PERMIT,,Regulatory_and_Economic_Resources,Department of Regulatory and Economic Resources,22932 SW 114TH PL,Miami_Dade_County,Florida,33170,District 9,20179,09/09/2017 03:18:37 AM,09/09/2017 03:23:12 AM,,LOCKED,861549.246,444017.149,25.553838,-80.377034,"22932 SW 114TH PL
MIAMI, Florida 33170
(25.553838, -80.377034)",WEB,180,
17-10359694,ILLEGAL DUMPING - WM,,Waste_Management,Waste_Management,1321 NE 172ND ST,Miami_Dade_County,Florida,33162,District 4,20179,09/09/2017 05:03:40 AM,09/14/2017 10:23:05 AM,09/14/2017 10:23:05 AM,CLOSED,927706.311,582598.872,25.93411,-80.173748,"1321 NE 172ND ST
MIAMI, Florida 33162
(25.93411, -80.173748)",IPHONE,90,5
17-10359695,ILLEGAL DUMPING - WM,,Waste_Management,Waste_Management,2280 NW 133RD ST,Miami_Dade_County,Florida,33167,District 2,20179,09/09/2017 06:52:46 AM,09/09/2017 06:52:46 AM,,OPEN,906967.623,568394.5,25.895378,-80.2371,"2280 NW 133RD ST
MIAMI, Florida 33167
(25.895378, -80.2371)",PHONE,90,
17-10359696,STREET LIGHT - ALL PROBLEMS,,Public_Works_traffic_Signals_And_Signs-15-60,Public_Works_traffic_Signals_And_Signs-15-60,NW 151ST ST & NW 32ND AVE,City_of_Miami_Gardens,Florida,33054,District 1,20179,09/09/2017 07:16:17 AM,09/09/2017 07:18:45 AM,,LOCKED,902002.434,574234.249,25.911522,-80.252101,"NW 151ST ST &amp; NW 32ND AVE
MIAMI, Florida 33054
(25.911522, -80.252101)",WEB,3,
17-10359697,ANIMAL CRUELTY INVESTIGATION,,Animal_Services,Animal Services,6859 NW 19TH AVE,Miami_Dade_County,Florida,33147,District 3,20179,09/09/2017 07:21:10 AM,09/09/2017 08:29:32 AM,09/09/2017 08:29:32 AM,CLOSED,909732.123,547091.216,25.836724,-80.229071,"6859 NW 19TH AVE
MIAMI, Florida 33147
(25.836724, -80.229071)",PHONE,14,0
17-10359698,ILLEGAL DUMPING - WM,,Waste_Management,Waste_Management,10091 SW 90TH AVE,Miami_Dade_County,Florida,33176,District 7,20179,09/09/2017 07:38:07 AM,09/15/2017 04:30:59 PM,09/15/2017 04:30:59 PM,CLOSED,873233.685,488395.594,25.675783,-80.340925,"10091 SW 90TH AVE
MIAMI, Florida 33176
(25.675783, -80.340925)",PHONE,90,6
17-10359699,VISUAL OBSTRUCTION SAFETY ISSUE (RAAM),,RAAM-27-93,RAAM-27-93,SW 147TH AVE & SW 58TH ST,Miami_Dade_County,Florida,33193,District 10,20179,09/09/2017 07:43:36 AM,09/09/2017 07:53:48 AM,,OPEN,843520.372,501342.872,25.711785,-80.43097,"SW 147TH AVE &amp; SW 58TH ST
MIAMI, Florida 33193
(25.711785, -80.43097)",PHONE,10,
17-10359701,TRAFFIC SIGNAL COMPLETELY OUT,,Public_Works_traffic_Signals_And_Signs-15-60,Public_Works_traffic_Signals_And_Signs-15-60,SW 137TH AVE & CORAL WAY,Miami_Dade_County,Florida,33175,District 11,20179,09/09/2017 08:08:07 AM,09/16/2017 12:00:00 AM,09/16/2017 12:00:00 AM,CLOSED,848319.501,512895.757,25.743513,-80.416239,"SW 137TH AVE &amp; CORAL WAY
MIAMI, Florida 33175
(25.743513, -80.416239)",PHONE,0,7
17-10359702,TRAFFIC SIGNAL COMPLETELY OUT,,Public_Works_traffic_Signals_And_Signs-15-60,Public_Works_traffic_Signals_And_Signs-15-60,SW 127TH AVE & SW 88TH ST,Miami_Dade_County,Florida,33186,District 7,20179,09/09/2017 08:25:37 AM,09/16/2017 12:00:00 AM,09/16/2017 12:00:00 AM,CLOSED,853529.711,491966.307,25.685865,-80.4007,"SW 127TH AVE &amp; SW 88TH ST
MIAMI, Florida 33186
(25.685865, -80.4007)",PHONE,0,7
17-10359703,VISUAL OBSTRUCTION SAFETY ISSUE (RAAM),,RAAM-27-93,RAAM-27-93,12900 NW 12TH ST,Miami_Dade_County,Florida,33182,District 12,20179,09/09/2017 08:29:05 AM,09/09/2017 09:22:41 AM,,OPEN,851955.807,527029.316,25.782354,-80.404999,"12900 NW 12TH ST
MIAMI, Florida 33182
(25.782354, -80.404999)",PHONE,10,
17-10359704,TRAFFIC SIGNAL COMPLETELY OUT,,Public_Works_traffic_Signals_And_Signs-15-60,Public_Works_traffic_Signals_And_Signs-15-60,13701 CORAL WAY,Miami_Dade_County,Florida,33175,District 11,20179,09/09/2017 08:31:33 AM,09/14/2017 12:00:00 AM,09/14/2017 12:00:00 AM,CLOSED,848195.628,513046.093,25.743928,-80.416614,"13701 CORAL WAY
MIAMI, Florida 33175
(25.743928, -80.416614)",PHONE,0,5
17-10359705,TRAFFIC SIGNAL COMPLETELY OUT,,Public_Works_traffic_Signals_And_Signs-15-60,Public_Works_traffic_Signals_And_Signs-15-60,2603 SW 139TH AVE,Miami_Dade_County,Florida,33175,District 11,20179,09/09/2017 08:34:06 AM,09/14/2017 12:00:00 AM,09/14/2017 12:00:00 AM,CLOSED,847096.813,512747.623,25.74312,-80.419956,"2603 SW 139TH AVE
MIAMI, Florida 33175
(25.74312, -80.419956)",PHONE,0,5
17-10359706,VISUAL OBSTRUCTION SAFETY ISSUE (RAAM),,RAAM-27-93,RAAM-27-93,13700 SW 68TH ST,Miami_Dade_County,Florida,33183,District 10,20179,09/09/2017 08:44:16 AM,09/09/2017 09:23:01 AM,,OPEN,848677.189,498044.248,25.702647,-80.415353,"13700 SW 68TH ST
MIAMI, Florida 33183
(25.702647, -80.415353)",PHONE,10,
17-10359707,ILLEGAL DUMPING - WM,,Waste_Management,Waste_Management,160 NW 123RD AVE,Miami_Dade_County,Florida,33182,District 12,20179,09/09/2017 08:45:04 AM,09/16/2017 09:58:23 AM,09/16/2017 09:58:23 AM,CLOSED,855092.065,522301.435,25.769307,-80.395534,"160 NW 123RD AVE
MIAMI, Florida 33182
(25.769307, -80.395534)",PHONE,90,7
17-10359708,ILLEGAL DUMPING - WM,,Waste_Management,Waste_Management,SW 107TH AVE & SW 168TH ST,Miami_Dade_County,Florida,33157,District 9,20179,09/09/2017 08:47:12 AM,09/15/2017 04:09:17 PM,09/15/2017 04:09:17 PM,CLOSED,865256.375,465620.091,25.613227,-80.365477,"SW 107TH AVE &amp; SW 168TH ST
MIAMI, Florida 33157
(25.613227, -80.365477)",PHONE,90,6
17-10359709,TRAFFIC SIGNAL COMPLETELY OUT,,Public_Works_traffic_Signals_And_Signs-15-60,Public_Works_traffic_Signals_And_Signs-15-60,10700 SUNSET DR,Miami_Dade_County,Florida,33173,District 10,20179,09/09/2017 08:48:52 AM,09/16/2017 12:00:00 AM,09/16/2017 12:00:00 AM,CLOSED,864829.921,497534.727,25.70104,-80.366307,"10700 SUNSET DR
MIAMI, Florida 33173
(25.70104, -80.366307)",PHONE,0,7
17-10359710,VISUAL OBSTRUCTION SAFETY ISSUE (RAAM),,RAAM-27-93,RAAM-27-93,S BAYSHORE DR & MARY ST,City_of_Miami,Florida,33133,District 7,20179,09/09/2017 08:50:24 AM,09/09/2017 09:23:26 AM,,OPEN,906771.123,507413.31,25.72761,-80.23877,"S BAYSHORE DR &amp; MARY ST
MIAMI, Florida 33133
(25.72761, -80.23877)",PHONE,10,
17-10359712,JUNK AND TRASH / OVERGROWTH,,Regulatory_and_Economic_Resources,Department of Regulatory and Economic Resources,SW 107TH AVE & SW 168TH ST,Miami_Dade_County,Florida,33157,District 9,20179,09/09/2017 08:51:51 AM,09/09/2017 09:02:02 AM,,LOCKED,865256.375,465620.091,25.613227,-80.365477,"SW 107TH AVE &amp; SW 168TH ST
MIAMI, Florida 33157
(25.613227, -80.365477)",PHONE,90,
17-10359711,VISUAL OBSTRUCTION SAFETY ISSUE (RAAM),,RAAM-27-93,RAAM-27-93,SW 37TH AVE & INGRAHAM HWY,City_of_Miami,Florida,33133,District 7,20179,09/09/2017 08:52:00 AM,09/09/2017 08:52:00 AM,,OPEN,902124.247,502543.155,25.714284,-80.252968,"SW 37TH AVE &amp; INGRAHAM HWY
MIAMI, Florida 33133
(25.714284, -80.252968)",PHONE,10,
17-10359713,VISUAL OBSTRUCTION SAFETY ISSUE (RAAM),,RAAM-27-93,RAAM-27-93,29600 SW 147TH AVE,Miami_Dade_County,Florida,33033,District 8,20179,09/09/2017 08:54:32 AM,09/09/2017 09:23:40 AM,,OPEN,844612.353,421526.32,25.492166,-80.428698,"29600 SW 147TH AVE
MIAMI, Florida 33033
(25.492166, -80.428698)",PHONE,10,
17-10359714,GARBAGE COMPLAINT,,Waste_Management,Waste_Management,18215 NW 73RD AVE,Miami_Dade_County,Florida,33015,District 13,20179,09/09/2017 08:58:28 AM,09/09/2017 09:08:35 AM,,LOCKED,880605.651,583874.024,25.938365,-80.317039,"18215 NW 73RD AVE
MIAMI, Florida 33015
(25.938365, -80.317039)",PHONE,5,
17-10359716,TREE TRIMMING (RAAM),,RAAM-27-93,RAAM-27-93,8031 SW 18TH TER,Miami_Dade_County,Florida,33155,District 10,20179,09/09/2017 09:04:56 AM,09/09/2017 09:05:21 AM,,OPEN,877728.31,516589.654,25.75329,-80.326843,"8031 SW 18TH TER
MIAMI, Florida 33155
(25.75329, -80.326843)",PHONE,30,
17-10359717,ANIMAL CRUELTY INVESTIGATION,,Animal_Services,Animal Services,10421 SW 93RD ST,Miami_Dade_County,Florida,33176,District 7,20179,09/09/2017 09:05:46 AM,09/09/2017 11:09:29 AM,09/09/2017 11:09:29 AM,CLOSED,865549.062,490966.559,25.68296,-80.364219,"10421 SW 93RD ST
MIAMI, Florida 33176
(25.68296, -80.364219)",PHONE,14,0
17-10359718,VISUAL OBSTRUCTION SAFETY ISSUE (RAAM),,RAAM-27-93,RAAM-27-93,10300 SW 167TH AVE,Miami_Dade_County,Florida,33196,District 11,20179,09/09/2017 09:06:43 AM,09/09/2017 09:07:09 AM,,OPEN,831761.951,486267.416,25.670442,-80.466866,"10300 SW 167TH AVE
MIAMI, Florida 33196
(25.670442, -80.466866)",PHONE,10,
17-10359719,VISUAL OBSTRUCTION SAFETY ISSUE (RAAM),,RAAM-27-93,RAAM-27-93,3120 SW 103RD PL,Miami_Dade_County,Florida,33165,District 10,20179,09/09/2017 09:06:57 AM,09/09/2017 09:24:22 AM,,OPEN,865667.625,511733.154,25.740094,-80.363555,"3120 SW 103RD PL
MIAMI, Florida 33165
(25.740094, -80.363555)",PHONE,10,
