Sex,Age,Married,Income,HoursWk,Race,USCitizen,HealthInsurance,Language
0,31,0,60,40,white,1,1,1
1,31,0,0.36,12,black,1,1,0
1,75,0,0,,white,1,1,0
0,80,0,0,,white,1,1,0
1,64,1,0,,white,1,1,0
1,14,0,,,white,1,1,0
1,78,1,0,,white,1,1,0
1,35,0,87,40,white,1,1,1
0,70,1,0,1,white,1,1,0
0,18,0,0,,white,1,1,0
1,48,1,32,48,white,1,0,0
0,61,1,0,20,white,1,0,0
0,52,0,48,40,white,1,1,0
0,36,1,2,40,white,1,1,0
0,20,0,0.5,2,white,1,1,0
1,67,0,0,,white,1,1,0
1,8,0,,,white,1,1,0
1,60,1,0,,white,1,1,0
1,75,1,21.6,6,white,1,1,0
0,25,1,0,,other,1,1,0
0,48,1,22,20,white,1,1,0
1,9,0,,,white,1,1,0
0,62,1,6.8,18,white,1,1,0
0,49,0,0,,other,1,0,0
1,32,0,30,60,white,1,1,0
0,21,0,2.5,20,white,1,1,0
1,21,0,1.5,20,white,1,1,0
0,39,1,0,30,white,1,1,1
0,42,1,3,40,white,1,0,1
0,48,1,75,40,white,1,1,0
1,34,0,0,70,white,1,0,0
0,61,0,19,38,white,1,1,0
0,32,0,50,50,white,1,1,1
1,51,1,130,50,white,1,1,0
1,80,0,0,,white,1,1,0
1,15,0,0,,white,1,1,0
0,9,0,,,black,1,1,0
1,12,0,,,white,1,1,1
1,43,1,0,10,asian,1,1,0
0,53,1,0,,white,1,1,0
1,64,1,0,,white,1,1,0
1,37,1,47,40,white,1,0,1
1,3,0,,,white,1,1,0
1,33,0,1.5,15,white,1,0,0
0,70,1,11.4,17,white,1,1,0
1,27,0,15,30,white,1,0,0
1,66,1,13,20,white,1,1,0
0,48,0,31,40,black,1,1,0
0,2,0,,,white,1,1,0
0,17,0,0,,black,1,1,1
1,56,1,140,50,white,1,1,0
1,35,0,0,,white,1,1,0
1,10,0,,,white,1,1,1
1,24,0,0,,white,1,0,1
1,36,1,1,40,other,1,1,1
1,73,1,0,,white,1,1,0
0,54,1,0,,white,1,1,0
1,65,1,0,,white,1,1,0
0,23,0,10.5,40,white,1,1,0
0,68,0,17.1,40,white,1,1,0
1,19,0,0,,other,1,1,0
1,19,0,0,,white,1,1,0
0,26,1,45,40,white,1,1,0
0,30,0,1.1,40,black,1,0,0
0,29,0,17,40,white,1,1,0
1,37,1,15.1,30,white,0,1,0
0,66,1,0,,black,1,1,0
0,49,0,47.9,40,white,1,1,0
1,55,1,0,40,white,1,1,0
1,5,0,,,other,1,0,1
1,43,0,50,40,white,1,1,0
1,21,0,1.5,30,asian,1,0,1
0,1,0,,,white,1,0,0
1,57,1,0.8,24,white,1,1,0
1,35,0,13,20,white,1,1,1
0,56,0,23,60,white,1,1,0
0,34,0,30.2,44,white,1,1,0
0,16,1,0,,white,1,1,0
0,18,0,1,12,white,1,1,0
0,16,0,0,,white,1,0,1
0,47,0,10,32,white,1,1,0
1,8,0,,,white,1,1,0
1,30,0,60,50,white,1,1,0
1,53,1,75,45,white,1,0,0
0,55,1,3.8,16,white,1,1,0
1,48,1,47,40,other,1,1,1
1,50,0,52,27,white,1,0,0
1,54,1,57,40,white,1,1,0
1,16,0,0,,white,1,1,0
1,52,0,28.9,43,white,1,1,0
0,48,1,15,35,black,1,1,0
1,58,1,72,40,asian,0,1,1
0,43,1,6,40,black,1,0,0
1,6,0,,,black,1,1,0
0,10,0,,,other,1,1,1
0,15,0,0,,white,1,1,0
1,28,0,14,25,white,1,1,0
0,11,0,,,white,1,1,0
0,44,1,0,,other,1,1,0
0,25,0,38,48,black,1,1,1
1,25,0,0.56,7,white,1,0,0
0,45,0,4.9,35,white,1,1,0
0,62,1,15,20,white,1,1,0
0,46,1,4.1,30,white,1,1,1
0,41,1,50,50,asian,1,1,1
0,27,1,52,45,white,1,1,0
0,6,0,,,black,1,1,0
1,61,1,85,40,white,1,1,0
0,59,1,29.7,40,white,1,1,0
1,74,1,0,,white,1,1,0
1,44,1,65,48,white,1,1,0
0,45,0,0,,white,1,0,0
0,4,0,,,white,1,1,0
1,70,0,0,,white,1,1,0
0,50,1,16,30,white,1,1,0
0,19,0,0,,white,1,0,0
0,74,1,0,,white,1,1,0
0,71,1,0,,white,1,1,0
0,47,1,5.5,25,white,1,1,0
1,49,1,36,40,asian,1,1,1
1,25,0,7.8,35,white,1,1,0
1,57,1,0,,asian,1,1,1
1,65,1,0,,white,1,1,0
1,79,1,0,,white,1,1,0
1,66,0,0,,white,1,1,0
0,22,0,17.5,35,white,1,1,0
0,76,0,0,,asian,1,1,1
0,10,0,,,white,0,0,1
1,41,1,563,62,white,1,1,1
0,46,1,0,,white,0,1,1
1,0,0,,,white,1,1,0
0,41,0,0,,asian,0,1,0
0,3,0,,,white,1,1,0
0,42,1,14,20,white,1,1,0
1,42,1,25,50,white,0,0,1
1,61,1,0,,white,1,1,0
1,63,1,0,,white,1,1,1
0,20,0,2,25,white,1,1,0
0,60,0,47,35,asian,1,1,1
0,69,0,0,,white,1,1,1
0,47,1,33,40,white,1,1,0
0,13,0,,,asian,0,1,1
0,9,0,,,white,1,1,1
0,49,1,94,36,white,1,1,0
1,37,1,97,65,white,1,1,1
1,62,1,0,,white,1,1,0
0,80,1,0,,white,1,1,1
1,27,1,60,40,white,1,1,0
0,32,1,70,36,white,1,1,0
1,41,1,90,40,asian,0,1,1
1,41,1,60,40,white,1,1,0
1,46,0,60,48,white,1,1,0
0,36,1,20,20,white,1,1,1
1,42,1,80,60,asian,0,1,1
0,15,0,0,,white,1,1,0
0,15,0,0,,other,1,1,1
0,67,0,0,,white,1,1,0
1,93,0,0,,white,1,1,0
0,9,0,,,white,1,1,0
0,82,0,0,,white,1,1,0
0,49,1,16,30,asian,1,1,1
0,17,0,0,,white,1,1,1
1,29,1,0,40,white,0,0,1
1,64,1,33.3,40,white,1,1,0
0,45,1,382,55,white,1,1,0
1,64,0,0,,white,1,1,0
1,51,0,90,50,white,1,1,0
0,0,0,,,white,1,1,0
1,53,1,40,32,white,1,1,0
0,50,1,45,40,white,1,1,0
1,9,0,,,white,1,1,0
1,74,1,0,,white,1,1,0
0,41,0,55,40,white,1,1,0
0,52,1,70,40,white,1,1,0
1,67,1,0,,white,1,1,0
0,38,1,24,40,white,1,1,0
0,6,0,,,white,1,1,0
0,1,0,,,white,1,1,0
0,50,0,0,,white,1,1,0
1,33,0,40,24,asian,1,0,1
1,8,0,,,white,1,1,0
1,11,0,,,white,1,1,1
1,62,1,56,40,white,1,1,0
1,36,1,85,38,white,1,1,0
