Country,LandArea,Population,Density,GDP,Rural,CO2,PumpPrice,Military,Health,ArmedForces,Internet,Cell,HIV,Hunger,Diabetes,BirthRate,DeathRate,ElderlyPop,LifeExpectancy,FemaleLabor,Unemployment,EnergyUse,Electricity,Developed
Afghanistan,652.860,30.552,46.8,665,74.1,35.3,1.28,8.65,7.07,330.65,5.9,70.7,0.1,24.7,8.1,34.1,7.8,2.3,60.9,16.2,,,,
Albania,27.400,2.897,105.7,4460,44.6,12.8,1.81,,9.85,8.50,60.1,116.2,0.1,,2.6,12.9,6.9,10.7,77.5,51.7,13.4,748,2195,1
Algeria,2381.740,39.208,16.5,5361,30.5,24.6,0.29,,9.43,317.20,16.5,100.8,0.1,5.0,7.3,24.3,5.9,4.6,71.0,16.2,11.0,1108,1091,1
American Samoa,0.200,0.055,275.0,,12.7,,,,,,,,,,,,,,,,,,,
Andorra,0.470,0.079,168.1,,13.8,9.5,1.67,,23.14,,94.0,80.7,,,5.4,,,,,,,,,
Angola,1246.700,21.472,17.2,5783,57.5,44.8,0.63,13.81,7.74,117.00,19.1,61.9,2.4,18.0,2.6,44.1,13.9,2.4,51.9,64.5,,673,248,1
Antigua and Barbuda,0.440,0.090,204.5,13342,75.4,16.6,,,14.67,0.18,63.4,127.1,,,13.1,16.5,6.1,7.1,75.8,,,,,
Argentina,2736.690,41.446,15.1,14715,8.5,16.9,1.46,,31.76,105.65,59.9,162.5,,5.0,5.7,16.8,7.7,10.9,76.2,55.1,7.2,1967,2967,2
Armenia,28.470,2.977,104.6,3505,37,13.9,1.25,16.78,7.85,49.10,46.3,112.4,0.2,5.7,2.6,13.7,8.7,10.3,74.5,58.4,,916,1755,1
Aruba,0.180,0.103,572.2,,57.9,10.4,,,,,78.9,134.9,,,13.0,10.3,8.4,11.3,75.3,,,,,
Australia,7682.300,23.129,3.0,67463,10.8,13.7,1.39,6.45,17.75,56.75,83.0,106.8,0.2,,4.1,13.2,6.3,14.3,82.2,70.5,5.2,5501,10712,3
Austria,82.409,8.480,102.9,50511,34.1,9.4,1.81,2.04,16.31,22.50,80.6,156.2,,,6.3,9.4,9.4,18.4,80.9,70.6,4.3,3935,8388,3
Azerbaijan,82.658,9.417,113.9,7812,45.9,18.8,0.76,21.00,3.50,81.95,58.7,107.6,0.2,5.0,2.6,18.3,5.8,5.6,70.7,68.1,5.2,1369,1705,1
"Bahamas, The",10.010,0.377,37.7,22312,17.3,15.4,,,13.96,1.30,72.0,76.1,3.2,,12.8,15.3,6.1,7.7,75.1,76.4,14.0,,,
Bahrain,0.760,1.332,1752.6,24689,11.3,15.6,0.27,,10.63,19.46,90.0,165.9,,,21.9,15.2,2.3,2.2,76.7,40.7,1.2,7353,10018,3
Bangladesh,130.170,156.595,1203.0,958,67.2,20.3,1.15,,7.84,220.95,6.5,74.4,0.1,16.7,6.9,20.0,5.7,4.8,70.7,60.4,,205,259,1
Barbados,0.430,0.285,662.8,,68.3,12.7,,,11.60,0.61,75.0,108.1,0.9,5.0,12.4,12.7,9.1,10.9,75.3,76.6,11.6,,,
Belarus,202.910,9.466,46.7,7575,24.1,12.2,0.88,4.20,13.45,158.00,54.2,118.8,0.5,,5.1,12.5,13.2,13.8,72.5,62.2,,3114,3628,2
Belgium,30.280,11.183,369.3,46930,2.2,11.5,2.09,2.31,15.56,37.50,82.2,110.9,,,4.7,11.2,9.8,18.0,80.4,62.1,7.5,5349,8021,3
Belize,22.810,0.332,14.6,4894,55.7,23.8,1.44,4.28,11.90,1.05,31.7,52.6,1.5,6.5,15.9,23.4,4.5,4.0,73.9,51.9,14.4,,,
Benin,112.760,10.323,91.5,805,56.9,36.9,1.24,7.47,10.65,9.45,4.9,93.3,1.1,9.7,1.5,36.4,9.5,2.9,59.3,68.9,,385,,
Bermuda,0.050,0.065,1300.0,,0,10,,,,,95.3,144.3,,,12.8,10.4,6.8,,80.6,,8.4,,,
Bhutan,38.117,0.754,19.8,2363,62.9,19.9,1.19,,6.58,,29.9,72.2,0.1,,5.8,19.6,6.5,4.8,68.3,69.1,2.1,,,
Bolivia,1083.300,10.671,9.9,2868,32.3,25.9,0.7,,9.68,83.20,39.5,97.7,0.3,19.5,7.3,25.7,7.1,4.9,67.2,66.2,,746,623,1
Bosnia and Herzegovina,51.000,3.829,75.1,4662,60.5,8.8,1.59,2.99,16.21,10.50,67.9,91.1,,,9.6,9.0,10.1,15.6,76.3,42.0,28.1,1848,3189,2
Botswana,566.730,2.021,3.6,7315,43.1,23.8,1.23,7.59,8.75,10.50,15.0,160.6,21.9,26.6,3.9,23.6,16.9,3.6,47.4,75.0,,1115,1603,1
Brazil,8358.140,200.362,24.0,11208,14.8,15.1,1.39,5.67,6.93,713.48,51.6,135.3,0.6,5.0,8.7,14.9,6.5,7.5,73.9,65.0,,1371,2438,1
Brunei Darussalam,5.270,0.418,79.3,38563,23.4,15.9,0.43,,7.42,9.25,64.5,112.2,,5.0,8.0,15.5,3.1,4.3,78.6,55.7,,9427,8507,3
Bulgaria,108.560,7.265,66.9,7499,26.7,9.5,1.69,4.91,11.67,47.30,53.1,145.2,,,5.0,9.2,14.4,19.3,74.5,63.7,12.3,2615,4864,2
Burkina Faso,273.600,16.935,61.9,761,71.8,41.4,1.43,8.97,13.52,11.45,4.4,66.4,0.9,20.7,3.7,40.9,11.1,2.4,56.3,79.5,,,,
Burundi,25.680,10.163,395.8,267,88.5,45,1.47,,13.72,51.05,1.3,25.0,1,,4.8,44.7,12.8,2.4,54.1,84.4,,,,
Cabo Verde,4.030,0.499,123.8,3767,35.9,20.4,2.3,,10.01,1.20,37.5,100.1,0.5,9.9,5.9,20.1,5.1,5.3,74.9,55.7,,,,
Cambodia,176.520,15.135,85.7,1007,79.7,25.9,1.35,13.20,7.73,191.30,6.0,133.9,0.7,16.1,3.0,25.7,6.0,5.4,71.7,82.1,0.2,365,164,1
Cameroon,472.710,22.254,47.1,1329,46.8,37.7,1.1,,8.53,23.20,6.4,70.4,4.3,10.5,5.9,37.3,11.7,3.2,55.0,65.4,,318,256,1
Canada,9093.510,35.154,3.9,51964,18.5,11,1.32,6.39,18.46,65.70,85.8,80.6,,,9.4,10.9,7.2,15.2,81.4,74.5,7.2,7333,16473,3
Cayman Islands,0.240,0.058,241.7,,0,13.4,,,,,74.1,167.8,,,12.8,12.5,3.1,,,,,,,
Central African Republic,622.980,4.616,7.4,333,60.5,34.5,1.71,,15.90,8.15,3.5,29.5,3.8,37.6,7.3,34.2,14.9,3.8,50.1,73.0,,,,
Chad,1259.200,12.825,10.2,1054,77.8,46.4,0.95,,5.94,34.85,2.3,35.6,2.5,34.8,5.8,45.9,14.3,2.4,51.2,64.6,,,,
Channel Islands,0.190,0.162,852.6,,68.7,9.6,,,,,,,,,5.4,9.5,9.1,16.6,80.3,,,,,
Chile,743.532,17.620,23.7,15732,10.8,14.1,1.56,10.12,15.35,106.10,66.5,134.3,0.3,5.0,11.2,13.9,5.5,10.0,79.8,55.3,6.4,1940,3568,2
China,9388.211,1357.380,144.6,6807,46.8,12.1,1.37,,12.63,2993.00,45.8,88.7,,10.6,8.6,12.1,7.2,8.9,75.4,70.2,,2029,3298,2
Colombia,1109.500,48.321,43.6,7831,24.1,19.1,1.28,12.61,16.05,455.75,51.7,104.1,0.5,11.4,7.3,18.8,5.6,6.2,74.0,59.7,10.6,671,1123,1
Comoros,1.861,0.735,394.9,815,71.9,35.9,,,7.55,,6.5,47.3,,,8.4,35.2,8.8,2.8,60.9,35.9,,,,
"Congo, Dem. Rep.",2267.050,67.514,29.8,484,58.5,43.2,1.48,,12.87,134.25,2.2,41.8,1.1,,7.6,42.7,15.4,2.9,49.9,71.5,,383,105,1
"Congo, Rep.",341.500,4.448,13.0,3167,35.5,38,1.15,,8.71,12.00,6.6,104.8,2.5,31.5,5.9,37.6,10.2,3.4,58.8,69.9,,393,172,1
