Rank,Song,Artist,Year,Lyrics,Source
1,uptown funk,mark ronson featuring bruno mars,2015,this hit that ice cold michelle pfeiffer that white gold this one for them hood girls them good girls straight masterpieces stylin whilen livin it up in the city got chucks on with saint laurent got kiss myself im so prettyim too hot hot damn called a police and a fireman im too hot hot damn make a dragon wanna retire man im too hot hot damn say my name you know who i am im too hot hot damn am i bad bout that money break it downgirls hit your hallelujah whoo girls hit your hallelujah whoo girls hit your hallelujah whoo cause uptown funk gon give it to you cause uptown funk gon give it to you cause uptown funk gon give it to you saturday night and we in the spot dont believe me just watch come ondont believe me just watch uhdont believe me just watch dont believe me just watch dont believe me just watch dont believe me just watch hey hey hey oh    meaning  byamandah   editor    70s girl group the sequence accused bruno mars and producer mark ronson of ripping their sound off in uptown funk their song in question is funk you    see all   stop wait a minute fill my cup put some liquor in it take a sip sign a check julio get the stretch ride to harlem hollywood jackson mississippi if we show up we gon show out smoother than a fresh jar of skippyim too hot hot damn called a police and a fireman im too hot hot damn make a dragon wanna retire man im too hot hot damn bitch say my name you know who i am im too hot hot damn am i bad bout that money break it downgirls hit your hallelujah whoo girls hit your hallelujah whoo girls hit your hallelujah whoo cause uptown funk gon give it to you cause uptown funk gon give it to you cause uptown funk gon give it to you saturday night and we in the spot dont believe me just watch come ondont believe me just watch uhdont believe me just watch uh dont believe me just watch uh dont believe me just watch dont believe me just watch hey hey hey ohbefore we leave lemmi tell yall a lil something uptown funk you up uptown funk you up uptown funk you up uptown funk you up uh i said uptown funk you up uptown funk you up uptown funk you up uptown funk you upcome on dance jump on it if you sexy then flaunt it if you freaky then own it dont brag about it come show mecome on dance jump on it if you sexy then flaunt it well its saturday night and we in the spot dont believe me just watch come ondont believe me just watch uhdont believe me just watch uh dont believe me just watch uh dont believe me just watch dont believe me just watch hey hey hey ohuptown funk you up uptown funk you up say what uptown funk you up uptown funk you up uptown funk you up uptown funk you up say what uptown funk you up uptown funk you up uptown funk you up uptown funk you up say what uptown funk you up uptown funk you up uptown funk you up uptown funk you up say what uptown funk you up,1
2,thinking out loud,ed sheeran,2015,when your legs dont work like they used to before and i cant sweep you off of your feet will your mouth still remember the taste of my love will your eyes still smile from your cheeksand darling i will be loving you til were 70 and baby my heart could still fall as hard at 23 and im thinking bout how people fall in love in mysterious ways maybe just the touch of a hand oh me i fall in love with you every single day and i just wanna tell you i amso honey now take me into your loving arms kiss me under the light of a thousand stars place your head on my beating heart im thinking out loud maybe we found love right where we arewhen my hairs all but gone and my memory fades and the crowds dont remember my name when my hands dont play the strings the same way mm i know you will still love me the samecause honey your soul can never grow old its evergreen baby your smiles forever in my mind and memoryim thinking bout how people fall in love in mysterious ways maybe its all part of a plan ill just keep on making the same mistakes hoping that youll understandbut baby now take me into your loving arms kiss me under the light of a thousand stars place your head on my beating heart im thinking out loud that maybe we found love right where we are ohah la la la la la la la la la la la laso baby now take me into your loving arms kiss me under the light of a thousand stars oh darling place your head on my beating heart im thinking out loud that maybe we found love right where we areoh maybe we found love right where we are and we found love right where we are,1
3,see you again,wiz khalifa featuring charlie puth,2015,its been a long day without you my friend and ill tell you all about it when i see you again weve come a long way from where we began oh ill tell you all about it when i see you again when i see you again heywiz khalifa dang who knew all the planes we flew good things weve been through that ill be standing right here talking to you bout another path i know we loved to hit the road and laugh but something told me that it wouldnt last had to switch up look at things different see the bigger picture those were the days hard work forever pays now i see you in a better place see you in a better placeuh how can we not talk about family when familys all that we got everything i went through you were standing there by my side and now you gon be with me for the last ride    meaning  byjamesg   editor    see you again is a song recorded by american rapper wiz khalifa featuring american singer charlie puth the track is part of the soundtrack of the 2015    see all   charlie puth its been a long day without you my friend and ill tell you all about it when i see you again i see you again weve come a long way yeah we came a long way from where we began you know we started oh ill tell you all about it when i see you again let me tell you when i see you againaah oh aah oh woooohohohohohoh yeahwiz khalifa first you both go out your way and the vibe is feeling strong and whats small turn to a friendship a friendship turn to a bond and that bond will never be broken the love will never get lost and the love will never get lost and when brotherhood come first then the line will never be crossed established it on our own when that line had to be drawn and that line is what we reach so remember me when im gone remember me when im gonehow can we not talk about family when familys all that we got everything i went through you were standing there by my side and now you gon be with me for the last ridecharlie puth so let the light guide your way yeah hold every memory as you go and every road you take will always lead you home homeits been a long day without you my friend and ill tell you all about it when i see you again weve come a long way from where we began oh ill tell you all about it when i see you again when i see you againaah oh uh aah oh yeah woooohohohohohoh ya ya when i see you again uh see you again woooohohohohohoh yeah yeah uhhuh when i see you again,1
4,trap queen,fetty wap,2015,im like hey wassup hello seen yo pretty ass soon as you came in the door i just wanna chill got a sack for us to roll married to the money introduced her to my stove showed her how to whip it now she remix it for low she my trap queen let her hit the bando we be counting up watch how far them bands go we just selling dope talking matching lambos got 50 60 grams prob 100 grams though man i swear i love her how she work that damn pole hit the strip club we be letting bands go everybody hating we just call them fans though in love with the money i aint never letting goand i get high with my baby i just left the mall im getting fly with my baby yeahh and i get right with my baby i be in the kitchen cooking pies with my baby yeahh    meaning  byjamesg   editor    trap queen is the debut single by american rapper fetty wap aka willie maxwell taken from his eponymous debut studio album fetty wap 2015 the song    see all   and i get right with my baby i just left the mall im getting fly with my baby yeahh and i get right with my baby i be in the kitchen cooking pies with my baby yeahhi hit the strip with my trap queen cause all we know is bands i might just snatch up a rari and buy my boo a lambo i might just snatch up a necklace drop a couple on a ring she aint want it for nothin because i got her everything bitch you up on the bando ride with me where i cant go remy boys got extendo count up hella bands tho ill f*ck in your benz hoe fetty wap im living fifty thousand k how i stand tho if you checking for my pockets im likeand i get high with my baby i just left the mall im getting fly with my baby yeahh and i get right with my baby i be in the kitchen cooking pies with my baby yeahhand i get right with my baby i just left the mall im getting fly with my baby yeahh and i get right with my baby i be in the kitchen cooking pies with my babyim like hey wassup hello seen yo pretty ass soon as you came in the door i just wanna chill got a sack for us to roll married to the money introduced her to my stove showed her how to whip it now she remix it for low she my trap queen let her hit the bando we be counting up watch how far them bands go we just selling dope talking matching lambos got 50 60 grams prob 100 grams though man i swear i love her how she work that damn pole hit the strip club we be letting them bands go everybody hating we just call them fans though in love with the money i aint never letting goi be smoking dope and you know backwoods what i roll remy boy fetty eating shit up thats fasho ill run in ya house then ill f*ck ya ho remy boyz are nuttin rereremy boyz are nuttin,1
5,sugar,maroon 5,2015,im hurting baby im broken down i need your loving loving i need it now when im without you im something weak you got me begging begging im on my kneesi dont wanna be needing your love i just wanna be deep in your love and its killing me when youre away ooh baby cause i really dont care where you are i just wanna be there where you are and i gotta get one little tasteyour sugar yes please wont you come and put it down on me im right here cause i need little love and little sympathy yeah you show me good loving make it alright need a little sweetness in my life your sugar yes please wont you come and put it down on memy broken pieces you pick them up dont leave me hanging hanging come give me some when im without ya im so insecure you are the one thing the one thing im living fori dont wanna be needing your love i just wanna be deep in your love and its killing me when youre away ooh baby cause i really dont care where you are i just wanna be there where you are and i gotta get one little tasteyour sugar yes please wont you come and put it down on me im right here cause i need little love and little sympathy yeah you show me good loving make it alright need a little sweetness in my life your sugar your sugar yes please yes please wont you come and put it down on meyeah i want that red velvet i want that sugar sweet dont let nobody touch it unless that somebodys me i gotta be a man there aint no other way cause girl youre hotter than southern california bayi dont wanna play no games i dont gotta be afraid dont give all that shy shit no make up on thats mysugar yes please wont you come and put it down on me down on me oh right here right here cause i need i need little love and little sympathy yeah you show me good loving make it alright need a little sweetness in my life your sugar sugar yes please yes please wont you come and put it down on meyour sugar yes please wont you come and put it down on me im right here cause i need little love and little sympathy yeah you show me good loving make it alright need a little sweetness in my life your sugar yes please wont you come and put it down on me down on me down on me,1
6,shut up and dance,walk the moon,2015,oh dont you dare look back just keep your eyes on me i said youre holding back she said shut up and dance with me this woman is my destiny she said oh oh oh shut up and dance with mewe were victims of the night the chemical physical kryptonite helpless to the bass and the fading light oh we were bound to get together bound to get togethershe took my arm i dont know how it happened we took the floor and she saidoh dont you dare look back just keep your eyes on me i said youre holding back she said shut up and dance with me this woman is my destiny she said oh oh oh shut up and dance with mea backless dress and some beat up sneaks my discotheque juliet teenage dream i felt it in my chest as she looked at me i knew we were bound to be together bound to be togethershe took my arm i dont know how it happened we took the floor and she saidoh dont you dare look back just keep your eyes on me i said youre holding back she said shut up and dance with me this woman is my destiny she said oh oh oh shut up and dance with medeep in her eyes i think i see the future i realize this is my last chanceshe took my arm i dont know how it happened we took the floor and she saidoh dont you dare look back just keep your eyes on me i said youre holding back she said shut up and dance with me this woman is my destiny she said oh oh oh shut up and danceoh dont you dare look back just keep your eyes on me i said youre holding back she said shut up and dance with me this woman is my destiny she said oh oh oh shut up and dance with meoh oh oh shut up dance with me oh oh oh shut up dance with me,1
7,blank space,taylor swift,2015,nice to meet you where you been i could show you incredible things magic madness heaven sin saw you there and i thought oh my god look at that face you look like my next mistake loves a game want to play new money suit and tie i can read you like a magazine aint it funny rumors fly and i know you heard about me so hey lets be friends im dying to see how this one ends grab your passport and my hand i can make the bad guys good for a weekendso its gonna be forever or its gonna go down in flames you can tell me when its over if the high was worth the pain got a long list of exlovers theyll tell you im insane cause you know i love the players and you love the gamecause were young and were reckless well take this way too far itll leave you breathless or with a nasty scar got a long list of exlovers theyll tell you im insane but ive got a blank space baby and ill write your name    meaning  byamandah   editor    watch taylor further explain the backstory behind blank space and totally nail an acoustic version at the clive davis theater    see all   cherry lips crystal skies i could show you incredible things stolen kisses pretty lies youre the king baby im your queen find out what you want be that girl for a month wait the worst is yet to come oh no screaming crying perfect storm i can make all the tables turn rose gardens filled with thorns keep you second guessing like oh my god who is she i get drunk on jealousy but youll come back each time you leave cause darling im a nightmare dressed like a daydreamso its gonna be forever or its gonna go down in flames you can tell me when its over if the high was worth the pain got a long list of exlovers theyll tell you im insane cause you know i love the players and you love the gamecause were young and were reckless well take this way too far itll leave you breathless or with a nasty scar got a long list of exlovers theyll tell you im insane insane but ive got a blank space baby and ill write your nameboys only want love if its torture dont say i didnt say i didnt warn ya boys only want love if its torture dont say i didnt say i didnt warn yaso its gonna be forever or its gonna go down in flames you can tell me when its over if the high was worth the pain got a long list of exlovers theyll tell you im insane cause you know i love the players and you love the gamecause were young and were reckless well take this way too far itll leave you breathless or with a nasty scar got a long list of exlovers theyll tell you im insane but ive got a blank space baby and ill write your name,1
8,watch me,silento,2015,now watch me whip kill it now watch me nae nae okay now watch me whip whip watch me nae nae want me do itnow watch me whip kill it watch me nae nae okay now watch me whip whip watch me nae nae can you do itnow watch meooh watch me watch me ooh watch me watch me ooh watch me watch me ooh ooh ooh oohooh watch me watch me ooh watch me watch me ooh watch me watch me ooh ooh ooh oohdo the stanky leg do the stanky leg do the stanky leg do the stanky leg do the stanky leg do the stanky leg do the stanky leg do the stanky legnow break your legs break your legs tell em break your legs break your legsnow break your legs break your legs now break your legs break your legsnow watch me bop bop bop bop bop bop bop bop now watch me bop bop bop bop bop bop bop bopnow watch me whip kill it now watch me nae nae okay now watch me whip whip watch me nae nae want me do itnow watch me whip kill it watch me nae nae okay now watch me whip whip watch me nae nae can you do itnow watch meooh watch me watch me ooh watch me watch me ooh watch me watch me ooh ooh ooh oohooh watch me watch me ooh watch me watch me ooh watch me watch me ooh ooh ooh oohnow watch me yule now watch superman now watch me yule now watch superman now watch me yule now watch superman now watch me yule now watch supermannow watch me duff duff duff duff duff duff duff duff hold on now watch me duff duff duff duff duff duff duff duff duffnow watch me bop bop bop bop bop bop bop bop now watch me bop bop bop bop bop bop bop bopnow watch me whip kill it now watch me nae nae okay now watch me whip whip watch me nae nae want me do itnow watch me whip kill it watch me nae nae okay now watch me whip whip watch me nae nae can you do itnow watch meooh watch me watch me ooh watch me watch me ooh watch me watch me ooh ooh ooh oohooh watch me watch me ooh watch me watch me ooh watch me watch me ooh ooh ooh ooh,1
9,earned it,the weeknd,2015,you make it look like its magic cause i see nobody nobody but you you you im never confused hey heyim so used to being used so i love when you call unexpected cause i hate when the moments expected so ima care for you you you ima care for you you you you yeah cause girl youre perfect youre always worth it and you deserve it the way you work it cause girl you earned it yeah girl you earned it yeahyou know our love would be tragic oh yeah so you dont pay it dont pay it no mind we live with no lies hey hey and youre my favourite kind of nightso i love when you call unexpected cause i hate when the moments expected so ima care for you you you ima care for you you you you yeah cause girl youre perfect girl youre perfect youre always worth it youre always worth it and you deserve it and you deserve it the way you work it the way you work it cause girl you earned it earned it yeah girl you earned it earned it yeahon that lonely night lonely night you said it wouldnt be love but we felt the rush felt the love it made us believe it there was only us only us convinced we were broken inside yeah inside yeahcause girl youre perfect girl youre perfect youre always worth it youre always worth it and you deserve it and you deserve it the way you work it the way you work it cause girl you earned it girl you earned it yeah girl you earned it you earned it yeahnana nana so girl youre worth it the way you work it you deserve it i can tell you,1
10,the hills,the weeknd,2015,your man on the road he doin promo you said keep our business on the lowlow im just tryna get you out the friend zone cause you look even better than the photos i cant find your house send me the info drivin through the gated residential found out i was comin sent your friends home keep on tryna hide it but your friends knowi only call you when its half past five the only time that ill be by your side i only love it when you touch me not feel me when im f*cked up thats the real me when im f*cked up thats the real me yeah i only f*ck you when its half past five the only time id ever call you mine i only love it when you touch me not feel me when im f*cked up thats the real me when im f*cked up thats the real me babe    meaning  byjamesg   editor    the hills is the lead single of beauty behind the madness 2015 the second album of canadian recording artist the weeknd aka abel tesfaye the song    see all   imma let you know and keep it simple tryna keep it up dont seem so simple i just f*cked two bitches fore i saw you and you gon have to do it at my tempo always tryna send me off to rehab drugs started feelin like its decaf im just tryna live life for the moment and all these motherf*ckers want a relapsei only call you when its half past five the only time that ill be by your side i only love it when you touch me not feel me when im f*cked up thats the real me when im f*cked up thats the real me yeah i only f*ck you when its half past five the only time id ever call you mine i only love it when you touch me not feel me when im f*cked up thats the real me when im f*cked up thats the real me babehills have eyes the hills have eyes who are you to judge who are you to judge hide your lies girl hide your lies only you to trust only youi only call you when its half past five the only time that ill be by your side i only love it when you touch me not feel me when im f*cked up thats the real me when im f*cked up thats the real me yeah i only f*ck you when its half past five the only time id ever call you mine i only love it when you touch me not feel me when im f*cked up thats the real me when im f*cked up thats the real me babeewedihalehu yene konjo ewedihalehu yene fikir fikir fikir fikir yene fikir fikir fikir fikir,1
