Date,High,Number,Precipitation
2023-01-01,69,36,0.32
2023-01-02,62,42,0
2023-01-03,60,43,0
2023-01-04,70,53,0
2023-01-05,64,53,0.52
2023-01-06,68,36,0
2023-01-07,57,32,0
2023-01-08,52,30,0
2023-01-09,38,34,0.21
2023-01-10,54,28,0
2023-01-11,56,28,0
2023-01-12,59,30,0
2023-01-13,64,48,0.46
2023-01-14,53,35,0
2023-01-15,45,29,0
2023-01-16,50,24,0
2023-01-17,57,26,0
2023-01-18,50,46,0.15
2023-01-19,68,48,0
2023-01-20,70,49,0
2023-01-21,58,30,0
2023-01-22,49,31,0.11
2023-01-23,43,37,0.7
2023-01-24,51,27,0
2023-01-25,56,26,0
2023-01-26,62,40,1.1
2023-01-27,52,27,0
2023-01-28,50,27,0
2023-01-29,61,29,0
2023-01-30,59,34,0.22
2023-01-31,65,46,0.03
2023-02-01,56,40,0.3
2023-02-02,42,36,0.19
2023-02-03,43,36,0.27
2023-02-04,47,23,0
2023-02-05,40,23,0
2023-02-06,54,28,0
2023-02-07,62,31,0
2023-02-08,65,31,0
2023-02-09,n/a,n/a,n/a
2023-02-10,72,49,0.04
2023-02-11,72,47,0
2023-02-12,56,36,1
2023-02-13,43,36,0.53
2023-02-14,65,36,0
2023-02-15,67,34,0
2023-02-16,71,46,0
2023-02-17,76,50,0
2023-02-18,69,28,0.2
2023-02-19,53,28,0
2023-02-20,58,37,0
2023-02-21,59,42,0
2023-02-22,72,42,0
2023-02-23,78,49,0
2023-02-24,83,57,0.19
2023-02-25,70,49,0
2023-02-26,49,45,0.07
2023-02-27,56,45,0.01
2023-02-28,67,47,0.05
2023-03-01,76,47,0
2023-03-02,66,48,0.77
2023-03-03,65,56,0.1
2023-03-04,71,56,0.07
2023-03-05,64,35,0
2023-03-06,62,35,0
2023-03-07,73,38,0
2023-03-08,74,40,0
2023-03-09,73,32,0
2023-03-10,62,34,0
2023-03-11,53,39,0.18
2023-03-12,54,36,0
2023-03-13,39,34,0.53
2023-03-14,57,31,0.01
2023-03-15,49,29,0
2023-03-16,55,28,0
2023-03-17,68,28,0
2023-03-18,66,44,0.63
2023-03-19,58,36,0
2023-03-20,47,28,0
2023-03-21,53,26,0
2023-03-22,64,26,0
2023-03-23,56,46,0
2023-03-24,80,53,0
2023-03-25,87,54,0
2023-03-26,74,53,0.09
2023-03-27,65,55,0.9
2023-03-28,78,48,0
2023-03-29,69,44,0.36
2023-03-30,61,38,0
2023-03-31,66,38,0
2023-04-01,68,47,0.03
2023-04-02,77,45,0.02
2023-04-03,65,40,0
