City,Age,Distance,Time,Sex
Atlanta,19,10,15,M
Atlanta,55,45,60,M
Atlanta,48,12,45,M
Atlanta,45,4,10,F
Atlanta,48,15,30,F
Atlanta,43,33,60,M
Atlanta,48,15,45,M
Atlanta,41,4,10,F
Atlanta,47,25,25,M
Atlanta,39,1,15,F
Atlanta,18,22,45,F
Atlanta,38,50,50,M
Atlanta,52,10,15,F
Atlanta,39,30,30,M
Atlanta,29,10,30,F
Atlanta,46,12,20,M
Atlanta,46,2,5,F
Atlanta,43,25,45,M
Atlanta,39,7,20,M
Atlanta,42,8,20,F
Atlanta,30,10,20,M
Atlanta,40,30,40,M
Atlanta,45,23,30,F
Atlanta,37,20,40,M
Atlanta,67,7,25,F
Atlanta,44,3,8,F
Atlanta,39,5,15,M
Atlanta,56,6,20,F
Atlanta,23,45,45,F
Atlanta,41,35,35,M
Atlanta,40,25,40,M
Atlanta,66,15,20,F
Atlanta,55,17,20,F
Atlanta,24,50,50,F
Atlanta,55,10,10,F
Atlanta,42,30,45,F
Atlanta,46,10,10,F
Atlanta,49,20,20,F
Atlanta,57,5,5,F
Atlanta,38,4,7,M
Atlanta,54,21,40,F
Atlanta,66,12,30,M
Atlanta,35,5,10,F
Atlanta,41,32,32,M
Atlanta,59,10,40,M
Atlanta,46,12,20,F
Atlanta,50,35,45,M
Atlanta,53,31,70,M
Atlanta,39,3,10,F
Atlanta,48,22,45,M
Atlanta,35,20,30,F
Atlanta,54,30,30,F
Atlanta,38,20,30,M
Atlanta,34,50,50,M
Atlanta,49,7,7,M
Atlanta,40,8,20,M
Atlanta,42,11,30,M
Atlanta,23,25,60,F
Atlanta,35,15,27,F
Atlanta,57,1,1,M
Atlanta,24,10,13,F
Atlanta,29,25,35,M
Atlanta,35,15,15,M
Atlanta,38,10,30,F
Atlanta,47,24,25,M
Atlanta,46,10,20,M
Atlanta,34,2,10,M
Atlanta,35,5,15,M
Atlanta,32,32,32,M
Atlanta,46,10,10,M
Atlanta,24,12,20,M
Atlanta,26,18,20,F
Atlanta,22,7,15,M
Atlanta,34,30,35,F
Atlanta,50,30,30,M
Atlanta,47,2,28,M
Atlanta,35,3,6,M
