City,Age,Distance,Time,Sex
St. Louis,52,10,20,M
St. Louis,21,35,40,F
St. Louis,23,40,45,F
St. Louis,38,0,2,M
St. Louis,26,15,25,M
St. Louis,46,7,12,M
St. Louis,28,15,15,F
St. Louis,19,10,15,F
St. Louis,21,5,10,F
St. Louis,46,12,25,M
St. Louis,45,2,2,F
St. Louis,52,10,20,F
St. Louis,49,25,37,F
St. Louis,52,11,20,M
St. Louis,39,14,40,M
St. Louis,44,10,30,F
St. Louis,62,4,20,F
St. Louis,39,25,35,M
St. Louis,46,6,15,F
St. Louis,28,6,8,M
St. Louis,46,28,30,M
St. Louis,34,22,30,M
St. Louis,47,5,10,F
St. Louis,33,16,20,M
St. Louis,52,12,12,F
St. Louis,54,5,20,F
St. Louis,31,25,25,M
St. Louis,29,2,10,M
St. Louis,52,5,20,F
St. Louis,25,3,10,F
St. Louis,41,8,10,F
St. Louis,26,12,20,F
St. Louis,44,7,10,M
St. Louis,27,1,3,M
St. Louis,40,18,25,M
St. Louis,22,25,25,M
St. Louis,34,10,19,M
St. Louis,36,20,30,M
St. Louis,20,8,15,F
St. Louis,51,8,30,F
St. Louis,71,12,15,F
St. Louis,34,7,20,F
St. Louis,28,7,15,M
St. Louis,18,25,30,M
St. Louis,47,3,15,F
St. Louis,28,40,40,M
St. Louis,48,25,30,M
St. Louis,55,40,45,M
St. Louis,66,3,7,F
St. Louis,26,2,5,M
St. Louis,52,0,2,M
St. Louis,64,12,15,M
St. Louis,20,6,10,F
St. Louis,57,28,35,F
St. Louis,43,3,7,M
St. Louis,30,12,30,F
St. Louis,34,10,20,M
St. Louis,78,10,20,F
St. Louis,25,10,25,M
St. Louis,50,16,25,F
St. Louis,46,0,10,M
St. Louis,57,18,35,M
St. Louis,35,23,45,M
St. Louis,64,8,10,M
St. Louis,41,5,20,F
St. Louis,29,11,15,M
St. Louis,45,20,30,M
St. Louis,34,0,5,M
St. Louis,28,20,30,F
St. Louis,52,12,25,F
St. Louis,42,17,30,F
St. Louis,55,7,15,M
St. Louis,47,15,30,F
St. Louis,33,10,10,F
St. Louis,65,12,15,F
St. Louis,55,3,3,F
St. Louis,22,5,10,F
St. Louis,20,10,15,F
St. Louis,44,37,40,F
St. Louis,64,24,45,F
St. Louis,46,4,10,F
St. Louis,43,20,30,M
St. Louis,45,9,35,F
St. Louis,21,15,20,M
St. Louis,33,20,30,M
St. Louis,66,10,20,F
St. Louis,27,12,20,M
St. Louis,35,12,25,M
St. Louis,58,15,15,M
St. Louis,23,17,20,F
St. Louis,44,25,45,M
St. Louis,59,3,6,F
St. Louis,52,5,5,M
St. Louis,26,10,10,M
St. Louis,30,14,30,F
St. Louis,19,5,5,F
St. Louis,35,22,30,F
St. Louis,26,10,20,M
St. Louis,30,0,1,M
St. Louis,27,25,30,F
St. Louis,47,10,10,F
St. Louis,50,15,15,M
St. Louis,53,10,30,F
St. Louis,41,10,14,F
St. Louis,48,5,10,F
St. Louis,43,4,15,M
St. Louis,50,1,10,M
St. Louis,19,18,40,F
St. Louis,61,0,2,M
St. Louis,33,9,15,M
St. Louis,57,44,45,M
St. Louis,50,6,15,F
St. Louis,54,3,10,M
St. Louis,28,20,30,M
