From	To	From_Lat	From_Long	To_Lat	To_Long
JFK	SDQ	40.639751	-73.778925	18.429664	-69.668925
RSW	EWR	26.536167	-81.755167	40.6925	-74.168667
BOS	SAN	42.364347	-71.005181	32.733556	-117.189667
RNO	LGB	39.499108	-119.768108	33.817722	-118.151611
ALB	FLL	42.748267	-73.801692	26.072583	-80.15275
JFK	SAN	40.639751	-73.778925	32.733556	-117.189667
FLL	JFK	26.072583	-80.15275	40.639751	-73.778925
ALB	MCO	42.748267	-73.801692	28.429394	-81.308994
LAX	JFK	33.942536	-118.408075	40.639751	-73.778925
SJU	BDL	18.439417	-66.001833	41.938889	-72.683222
LAS	BOS	36.080056	-115.15225	42.364347	-71.005181
FLL	BNA	26.072583	-80.15275	36.124472	-86.678194
SAN	JFK	32.733556	-117.189667	40.639751	-73.778925
EWR	FLL	40.6925	-74.168667	26.072583	-80.15275
SDQ	JFK	18.429664	-69.668925	40.639751	-73.778925
JFK	LAS	40.639751	-73.778925	36.080056	-115.15225
JFK	STI	40.639751	-73.778925	19.406092	-70.604689
HAV	JFK	22.989153	-82.409086	40.639751	-73.778925
LGB	LAS	33.817722	-118.151611	36.080056	-115.15225
MCO	JFK	28.429394	-81.308994	40.639751	-73.778925
JFK	LAX	40.639751	-73.778925	33.942536	-118.408075
LAX	JFK	33.942536	-118.408075	40.639751	-73.778925
MCO	EWR	28.429394	-81.308994	40.6925	-74.168667
SDQ	BOS	18.429664	-69.668925	42.364347	-71.005181
STX	SJU	17.701889	-64.798556	18.439417	-66.001833
PUJ	JFK	18.567367	-68.363431	40.639751	-73.778925
FLL	PHL	26.072583	-80.15275	39.871944	-75.241139
BGI	FLL	13.074603	-59.492456	26.072583	-80.15275
BOS	TPA	42.364347	-71.005181	27.975472	-82.53325
MSY	BOS	29.993389	-90.258028	42.364347	-71.005181
FLL	JFK	26.072583	-80.15275	40.639751	-73.778925
BOS	LGB	42.364347	-71.005181	33.817722	-118.151611
JFK	SFO	40.639751	-73.778925	37.618972	-122.374889
JFK	NAS	40.639751	-73.778925	25.038958	-77.466231
OAK	LGB	37.721278	-122.220722	33.817722	-118.151611
MCO	BOS	28.429394	-81.308994	42.364347	-71.005181
RSW	BOS	26.536167	-81.755167	42.364347	-71.005181
JFK	JAX	40.639751	-73.778925	30.494056	-81.687861
JFK	MBJ	40.639751	-73.778925	18.503717	-77.913358
DCA	RSW	38.852083	-77.037722	26.536167	-81.755167
BOS	LAX	42.364347	-71.005181	33.942536	-118.408075
LAX	BOS	33.942536	-118.408075	42.364347	-71.005181
DEN	BOS	39.861656	-104.673178	42.364347	-71.005181
FLL	AUS	26.072583	-80.15275	30.194528	-97.669889
JFK	LAX	40.639751	-73.778925	33.942536	-118.408075
TPA	JFK	27.975472	-82.53325	40.639751	-73.778925
JFK	CUN	40.639751	-73.778925	21.036528	-86.877083
JFK	PBI	40.639751	-73.778925	26.683161	-80.095589
FLL	BOS	26.072583	-80.15275	42.364347	-71.005181
JFK	MSY	40.639751	-73.778925	29.993389	-90.258028
SFO	FLL	37.618972	-122.374889	26.072583	-80.15275
JFK	HOU	40.639751	-73.778925	29.645419	-95.278889
HOU	JFK	29.645419	-95.278889	40.639751	-73.778925
SEA	BOS	47.449	-122.309306	42.364347	-71.005181
BOS	SAN	42.364347	-71.005181	32.733556	-117.189667
JFK	LAX	40.639751	-73.778925	33.942536	-118.408075
STI	JFK	19.406092	-70.604689	40.639751	-73.778925
BOS	CLE	42.364347	-71.005181	41.411689	-81.849794
MCO	SYR	28.429394	-81.308994	43.111187	-76.106311
CLE	FLL	41.411689	-81.849794	26.072583	-80.15275
BGI	JFK	13.074603	-59.492456	40.639751	-73.778925
LAX	FLL	33.942536	-118.408075	26.072583	-80.15275
JFK	SJU	40.639751	-73.778925	18.439417	-66.001833
MCO	SJU	28.429394	-81.308994	18.439417	-66.001833
LGB	SFO	33.817722	-118.151611	37.618972	-122.374889
PBI	JFK	26.683161	-80.095589	40.639751	-73.778925
AUA	JFK	12.501389	-70.015221	40.639751	-73.778925
LGA	PBI	40.777245	-73.872608	26.683161	-80.095589
MBJ	JFK	18.503717	-77.913358	40.639751	-73.778925
SXM	JFK	18.040953	-63.1089	40.639751	-73.778925
DCA	BOS	38.852083	-77.037722	42.364347	-71.005181
JFK	AUS	40.639751	-73.778925	30.194528	-97.669889
EWR	FLL	40.6925	-74.168667	26.072583	-80.15275
SJU	BOS	18.439417	-66.001833	42.364347	-71.005181
BOS	PBI	42.364347	-71.005181	26.683161	-80.095589
MCO	SWF	28.429394	-81.308994	41.504094	-74.104839
BOS	SJU	42.364347	-71.005181	18.439417	-66.001833
FLL	KIN	26.072583	-80.15275	17.935667	-76.7875
STI	EWR	19.406092	-70.604689	40.6925	-74.168667
PUJ	BOS	18.567367	-68.363431	42.364347	-71.005181
RSW	BDL	26.536167	-81.755167	41.938889	-72.683222
STT	SJU	18.337306	-64.973361	18.439417	-66.001833
JFK	TPA	40.639751	-73.778925	27.975472	-82.53325
EWR	MCO	40.6925	-74.168667	28.429394	-81.308994
PBI	DCA	26.683161	-80.095589	38.852083	-77.037722
STI	JFK	19.406092	-70.604689	40.639751	-73.778925
SRQ	BOS	27.395444	-82.554389	42.364347	-71.005181
BOS	MCO	42.364347	-71.005181	28.429394	-81.308994
MCO	BOS	28.429394	-81.308994	42.364347	-71.005181
CHS	DCA	32.898647	-80.040528	38.852083	-77.037722
HPN	MCO	41.066959	-73.707575	28.429394	-81.308994
FLL	JFK	26.072583	-80.15275	40.639751	-73.778925
POS	FLL	10.595369	-61.337242	26.072583	-80.15275
JFK	SAV	40.639751	-73.778925	32.127583	-81.202139
AUA	JFK	12.501389	-70.015221	40.639751	-73.778925
MCO	PVD	28.429394	-81.308994	41.732581	-71.420383
AUS	JFK	30.194528	-97.669889	40.639751	-73.778925
BOS	DFW	42.364347	-71.005181	32.896828	-97.037997
JFK	RSW	40.639751	-73.778925	26.536167	-81.755167
