State,Price,Size,Beds,Baths
NJ,375,2.1,3,2.5
NJ,200,0.9,1,1
NJ,599,2.3,5,2.5
NJ,365,2.1,3,3
NJ,220,2.1,5,2
NJ,250,1.9,4,2.5
NJ,410,2.2,4,2.5
NJ,429,2.8,5,2.5
NJ,325,2,3,2.5
NJ,235,1.1,4,1
NY,145,1.3,3,1.5
NY,875,2.9,7,3.75
NY,300,1.5,3,2.5
NY,370,1.1,2,1
NY,268,1.5,2,2
NY,1399,4.8,6,5
NY,1125,3.1,3,2.5
NY,299,1.4,3,2
NY,110,1.2,3,1
NY,2999,6,7,8
PA,282,2.6,5,3.5
PA,135,1.3,2,2.5
PA,179,1.8,3,1
PA,800,3,3,4
PA,145,1.2,2,2
PA,170,1.6,3,3
PA,495,2.9,4,2.5
PA,224,1.5,2,2
PA,325,2.5,3,3
PA,180,1.9,1,1
PA,269,2.6,3,3
PA,196,1.3,2,2
PA,180,1.2,2,2
PA,353,2.1,3,3
PA,110,1.7,4,1
PA,225,2.5,3,2.5
PA,270,2.6,3,3
PA,870,4.2,4,5
PA,184,1.8,3,2.5
PA,130,1.5,3,2
NJ,330,2.7,4,2.5
NJ,375,1.2,3,2
NJ,225,1.7,4,3
NJ,1150,5,5,4
NJ,127,1.5,2,2
NJ,499,4.8,3,1.5
NJ,250,1.2,4,2
NJ,430,1.8,4,2
NJ,320,2.3,4,2.5
NJ,150,1.1,4,2
NY,170,1,2,1
NY,269,1.5,3,1.5
NY,150,1,2,1.5
NY,288,1.8,3,2.1
NY,350,1.3,3,2
NY,120,0.9,1,1
NY,309,2.4,4,2.5
NY,1500,1.5,2,1.5
NY,635,2.5,4,2.5
NY,350,0.9,2,1
NY,459,1.8,4,2.5
NY,275,2.9,4,1.5
NY,275,1.8,3,2
NY,2500,3.7,3,3
NY,187,1.4,3,1.5
NY,238,1.7,3,1.5
NY,155,0.7,1,1
NY,175,1.6,3,1.5
NY,569,3.2,4,2
NY,105,1.2,2,2.5
CA,500,3.2,5,3.5
CA,995,3.7,4,3.5
CA,609,2.2,4,3
CA,1199,2.8,3,2.5
CA,949,1.4,3,2
CA,415,1.7,3,2.5
CA,895,2.1,3,2
CA,775,1.6,3,3
CA,109,0.6,1,1
CA,5900,4.8,4,4.5
CA,219,1.1,3,2
CA,255,1.2,3,2
CA,86,0.6,1,1
CA,62,1.2,3,2
CA,165,1.9,5,3.5
CA,1695,6.9,5,5.5
CA,499,1.4,3,2
CA,47,1.5,3,2
CA,195,2,3,2.5
CA,775,1,2,2
CA,199,1.4,3,2
CA,480,3,5,3
CA,173,0.9,3,1
CA,189,2.5,2,2
CA,230,1.7,3,2
CA,380,2.1,5,3
CA,110,0.8,2,1
CA,499,1.3,3,2
CA,399,1.4,3,2
CA,2450,5,4,5
NJ,845,3.4,4,2.5
NJ,220,2.1,5,2
NJ,215,1.8,3,2
NJ,430,1.8,4,2
NJ,208,1.3,2,1.5
NJ,375,1.2,3,2
NJ,749,3,4,3.5
NJ,245,1.2,3,1.5
NJ,435,1.6,4,2.5
NJ,669,4.2,5,4.5
PA,190,2.2,4,3
PA,219,1.4,3,2
PA,125,1.3,3,1.5
PA,125,1.2,3,2
PA,160,1.5,3,1.5
PA,189,1.4,3,2
PA,270,1.8,4,2
PA,90,1.3,3,1
PA,199,1.6,3,2
PA,199,1.6,3,2
