season,club,home_win,away_win,home_loss,away_loss,matches_won,matches_lost,matches_drawn,total_matches,points,home_goals,away_goals,goals_scored,goals_conceded,goal_difference
1970-71,Real Zaragoza,3,0,5,13,3,18,9,30,18,14,8,22,54,-32
1970-71,Elche,4,0,5,11,4,16,10,30,22,17,8,25,46,-21
1970-71,Las Palmas,5,0,3,12,5,15,10,30,25,25,8,33,42,-9
1970-71,Sabadell,8,0,3,14,8,17,5,30,29,19,9,28,49,-21
1970-71,Espanyol,7,1,4,9,8,13,9,30,33,13,5,18,25,-7
1970-71,Sporting de Gijon,9,1,4,11,10,15,5,30,35,29,6,35,44,-9
1970-71,CD Malaga,6,2,3,7,8,10,12,30,36,14,13,27,32,-5
1970-71,Granada,9,1,1,11,10,12,8,30,38,24,9,33,34,-1
1970-71,Real Sociedad,9,1,3,8,10,11,9,30,39,18,5,23,27,-4
1970-71,Sevilla,11,2,1,10,13,11,6,30,45,26,8,34,42,-8
1970-71,Athletic Club,11,3,1,8,14,9,7,30,49,23,17,40,31,9
1970-71,Celta de Vigo,12,3,0,10,15,10,5,30,50,23,14,37,32,5
1970-71,Real Madrid,10,7,2,4,17,6,7,30,58,30,16,46,24,22
1970-71,Atletico de Madrid,13,4,0,5,17,5,8,30,59,38,13,51,20,31
1970-71,Valencia,12,6,1,4,18,5,7,30,61,27,14,41,19,22
1970-71,Barcelona,11,8,3,3,19,6,5,30,62,32,18,50,22,28
1971-72,Sabadell,6,1,4,14,7,18,9,34,30,19,8,27,52,-25
1971-72,Cordoba,6,0,4,11,6,15,13,34,31,19,13,32,51,-19
1971-72,Sevilla,8,1,6,10,9,16,9,34,36,25,10,35,45,-10
1971-72,Betis,9,1,2,12,10,14,10,34,40,16,9,25,45,-20
1971-72,Burgos,11,0,4,12,11,16,7,34,40,27,7,34,42,-8
1971-72,Deportivo,10,1,2,13,11,15,8,34,41,20,8,28,38,-10
1971-72,Celta de Vigo,9,1,4,7,10,11,13,34,43,28,9,37,42,-5
1971-72,CD Malaga,6,3,1,7,9,8,17,34,44,18,9,27,31,-4
1971-72,Espanyol,10,2,3,11,12,14,8,34,44,31,12,43,43,0
1971-72,Sporting de Gijon,10,2,3,11,12,14,8,34,44,29,12,41,37,4
1971-72,Real Sociedad,11,3,2,12,14,14,6,34,48,29,9,38,36,2
1971-72,Athletic Club,10,5,4,11,15,15,4,34,49,28,11,39,32,7
1971-72,Granada,13,1,0,12,14,12,8,34,50,29,11,40,34,6
1971-72,Las Palmas,10,5,1,10,15,11,8,34,53,29,11,40,36,4
1971-72,Atletico de Madrid,9,5,3,6,14,9,11,34,53,30,15,45,28,17
1971-72,Barcelona,11,6,3,5,17,8,9,34,60,24,16,40,26,14
1971-72,Valencia,14,5,1,7,19,8,7,34,64,36,17,53,30,23
1971-72,Real Madrid,14,5,0,6,19,6,9,34,66,34,17,51,27,24
1972-73,Burgos,8,1,3,16,9,19,6,34,33,27,9,36,63,-27
1972-73,Deportivo,6,1,2,12,7,14,13,34,34,17,5,22,44,-22
1972-73,Betis,7,0,3,10,7,13,14,34,35,19,10,29,36,-7
