Game,Date,Location,Opp,Win,FG,FGA,FG3,FG3A,FT,FTA,Rebounds,OffReb,Assists,Steals,Blocks,Trunovers,Fouls,Points,OppFG,OppFGA,OppFG3,OppFG3A,OppFT,OppFTA,OppOffReb,OppRebounds,OppAssists,OppSteals,OppBlocks,OppTurnovers,OppFouls,OppPoints
1,10/26/2010,Away,BOS,L,27,74,8,20,18,25,39,11,15,10,6,17,21,80,32,69,8,16,16,25,8,42,25,6,4,18,19,88
2,10/27/2010,Away,PHI,W,33,69,8,16,23,31,37,5,15,8,6,16,18,97,36,83,7,18,8,11,10,38,24,10,4,16,22,87
3,10/29/2010,Home,ORL,W,33,81,9,18,21,27,51,14,17,6,5,12,27,96,21,69,4,24,24,34,8,40,5,5,3,14,20,70
4,10/31/2010,Away,NJN,W,36,67,5,16,24,34,40,5,29,10,6,8,21,101,30,85,3,14,15,23,19,43,16,5,0,15,19,78
5,11/2/2010,Home,MIN,W,46,79,12,21,25,31,47,8,31,9,7,14,27,129,31,84,6,18,29,38,13,40,14,10,2,18,23,97
6,11/5/2010,Away,NOH,L,33,78,5,21,22,24,36,8,19,6,5,13,17,93,39,79,4,14,14,17,10,42,26,9,1,13,22,96
7,11/6/2010,Home,NJN,W,36,74,6,15,23,29,44,6,19,7,7,12,16,101,35,85,8,20,11,17,11,41,17,5,3,13,21,89
8,11/9/2010,Home,UTA,L,36,82,6,15,36,47,46,10,21,3,7,11,20,114,45,93,8,19,18,21,10,44,30,6,5,12,32,116
9,11/11/2010,Home,BOS,L,36,72,3,16,32,41,37,11,18,4,4,14,22,107,43,79,9,16,17,25,9,35,24,5,0,10,30,112
10,11/13/2010,Home,TOR,W,40,79,3,10,26,36,38,11,18,5,2,9,22,109,37,82,5,19,21,29,13,44,17,5,4,11,29,100
11,11/17/2010,Home,PHO,W,47,86,7,19,22,25,42,9,29,9,3,11,27,123,32,72,5,19,27,37,6,32,19,4,4,17,22,96
12,11/19/2010,Home,CHA,W,34,80,5,17,22,27,44,10,14,6,3,12,18,95,33,71,4,17,17,22,2,38,21,8,1,14,23,87
13,11/20/2010,Away,MEM,L,38,79,10,22,9,12,32,6,20,6,1,6,22,95,38,80,1,11,20,27,14,47,17,2,5,12,15,97
14,11/22/2010,Home,IND,L,24,62,4,20,25,38,39,6,16,4,10,22,19,77,37,90,8,23,11,13,12,48,26,9,2,13,27,93
15,11/24/2010,Away,ORL,L,34,82,4,18,23,29,38,13,19,6,2,10,27,95,36,70,6,19,26,39,9,42,24,5,2,12,19,104
16,11/26/2010,Home,PHI,W,35,78,6,16,23,29,39,12,19,7,3,9,16,99,35,74,8,20,12,21,9,40,23,7,1,14,22,90
17,11/27/2010,Away,DAL,L,31,75,5,15,28,35,43,10,17,8,5,14,24,95,40,87,7,17,19,22,13,46,25,8,3,11,23,106
18,11/29/2010,Home,WAS,W,34,74,4,12,33,42,45,9,15,6,6,15,21,105,35,84,3,17,21,29,11,39,14,6,5,13,31,94
19,12/1/2010,Home,DET,W,39,76,6,12,13,21,45,10,23,10,4,10,18,97,28,76,5,19,11,19,13,39,11,5,3,16,16,72
