Year,Team,Game,Win,Home,MP,FG,FGA,FGP,TP,TPA,TPP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1980,Lakers,1,1,1,240,48,89,0.539,0,0,NA,13,15,0.867,12,31,43,30,5,9,17,24,109
1980,Lakers,2,0,1,240,48,95,0.505,0,1,0,8,12,0.667,15,37,52,32,12,7,26,27,104
1980,Lakers,3,1,0,240,44,92,0.478,0,1,0,23,30,0.767,22,34,56,20,5,5,20,25,111
1980,Lakers,4,0,0,240,44,93,0.473,0,0,NA,14,19,0.737,18,31,49,23,12,6,19,22,102
1980,Lakers,5,1,1,240,41,91,0.451,0,0,NA,26,33,0.788,19,37,56,28,7,6,21,27,108
1980,Lakers,6,1,0,240,45,92,0.489,0,2,0,33,35,0.943,17,35,52,27,14,4,17,22,123
1981,Celtics,1,1,1,240,41,95,0.432,0,1,0,16,20,0.8,25,29,54,23,6,5,19,21,98
1981,Celtics,2,0,1,240,41,82,0.5,0,3,0,8,13,0.615,14,34,48,17,6,7,22,27,90
1981,Celtics,3,1,0,240,40,89,0.449,2,3,0.667,12,19,0.632,16,28,44,24,12,6,11,25,94
1981,Celtics,4,0,0,240,35,74,0.473,0,3,0,16,24,0.667,17,30,47,22,5,6,22,22,86
1981,Celtics,5,1,1,240,41,94,0.436,0,3,0,27,35,0.771,19,35,54,25,5,8,14,23,109
1981,Celtics,6,1,0,240,43,78,0.551,1,4,0.25,15,18,0.833,9,28,37,26,6,0,13,21,102
1982,Lakers,1,1,0,240,49,93,0.527,0,0,NA,26,35,0.743,19,31,50,34,11,7,22,26,124
1982,Lakers,2,0,0,240,35,83,0.422,0,5,0,24,37,0.649,17,22,39,25,11,6,18,21,94
1982,Lakers,3,1,1,240,50,91,0.549,1,1,1,28,47,0.596,17,31,48,30,15,5,18,30,129
1982,Lakers,4,1,1,240,45,97,0.464,0,1,0,21,29,0.724,16,33,49,35,10,4,12,21,111
1982,Lakers,5,0,0,240,47,100,0.47,0,2,0,8,16,0.5,26,23,49,31,5,9,24,29,102
1982,Lakers,6,1,1,240,47,87,0.54,0,0,NA,20,25,0.8,15,34,49,33,12,11,22,26,114
1983,Sixers,1,1,1,240,45,96,0.469,0,0,NA,23,31,0.742,21,32,53,26,11,13,14,22,113
1983,Sixers,2,1,1,240,40,83,0.482,0,1,0,23,32,0.719,16,28,44,22,10,6,18,16,103
1983,Sixers,3,1,0,240,45,94,0.479,0,1,0,21,35,0.6,22,32,54,27,14,2,19,23,111
1983,Sixers,4,1,0,240,42,81,0.519,0,1,0,31,40,0.775,13,28,41,29,9,11,17,28,115
1984,Celtics,1,1,1,240,43,83,0.518,1,2,0.5,28,32,0.875,12,30,42,25,10,4,16,30,115
1984,Celtics,2,0,1,265,45,98,0.459,0,2,0,34,48,0.708,20,30,50,20,13,4,17,27,124
1984,Celtics,3,0,0,240,40,101,0.396,2,5,0.4,22,31,0.71,17,27,44,23,5,5,13,33,104
1984,Celtics,4,1,0,265,48,111,0.432,2,4,0.5,31,37,0.838,27,25,52,30,15,3,14,28,129
1984,Celtics,5,1,1,240,45,87,0.517,3,5,0.6,28,36,0.778,13,38,51,28,8,5,18,32,121
1984,Celtics,6,0,0,240,39,84,0.464,1,3,0.333,29,35,0.829,13,28,41,25,7,8,19,24,108
1984,Celtics,7,1,1,240,34,86,0.395,0,2,0,43,51,0.843,20,32,52,18,11,3,14,23,111
1985,Lakers,1,0,0,240,49,100,0.49,2,5,0.4,14,21,0.667,8,27,35,28,9,4,12,23,114
1985,Lakers,2,1,0,240,44,92,0.478,1,2,0.5,20,29,0.69,14,35,49,31,9,5,16,32,109
1985,Lakers,3,1,1,240,52,96,0.542,4,8,0.5,28,36,0.778,13,36,49,34,12,6,12,28,136
1985,Lakers,4,0,1,240,40,83,0.482,1,4,0.25,24,29,0.828,9,31,40,32,7,0,14,24,105
1985,Lakers,5,1,1,240,50,88,0.568,0,2,0,20,27,0.741,10,29,39,40,8,7,9,19,120
1985,Lakers,6,1,0,240,43,84,0.512,0,2,0,25,36,0.694,12,32,44,27,10,2,12,26,111
1986,Celtics,1,1,1,240,47,84,0.56,1,4,0.25,17,27,0.63,10,32,42,35,15,5,17,17,112
1986,Celtics,2,1,1,240,45,90,0.5,4,9,0.444,23,24,0.958,14,29,43,28,9,8,12,20,117
1986,Celtics,3,0,0,240,42,96,0.438,1,5,0.2,19,21,0.905,22,31,53,28,12,4,19,27,104
1986,Celtics,4,1,0,240,45,78,0.577,2,6,0.333,14,17,0.824,11,29,40,23,8,6,15,17,106
1986,Celtics,5,0,0,240,34,84,0.405,1,6,0.167,27,31,0.871,10,27,37,20,6,7,18,22,96
1986,Celtics,6,1,1,240,49,101,0.485,1,2,0.5,12,18,0.667,23,33,56,34,9,13,14,23,111
1987,Lakers,1,1,1,240,55,99,0.556,1,5,0.2,15,19,0.789,17,30,47,32,10,6,13,24,126
1987,Lakers,2,1,1,240,56,91,0.615,6,8,0.75,23,32,0.719,7,26,33,44,8,8,10,25,141
1987,Lakers,3,0,0,240,40,81,0.494,3,11,0.273,20,27,0.741,8,24,32,18,8,4,10,24,103
1987,Lakers,4,1,0,240,41,85,0.482,2,4,0.5,23,32,0.719,15,31,46,17,4,4,11,16,107
1987,Lakers,5,0,0,240,43,95,0.453,4,8,0.5,18,22,0.818,17,23,40,16,7,4,12,26,108
1987,Lakers,6,1,1,240,45,93,0.484,0,5,0,16,23,0.696,13,31,44,33,11,9,11,28,106
1988,Lakers,1,0,1,240,33,83,0.398,2,8,0.25,25,27,0.926,13,22,35,21,5,0,10,18,93
1988,Lakers,2,1,1,240,35,77,0.455,3,6,0.5,35,46,0.761,8,35,43,27,6,5,9,25,108
1988,Lakers,3,1,0,240,37,72,0.514,1,3,0.333,24,34,0.706,5,33,38,21,8,6,11,13,99
1988,Lakers,4,0,0,240,29,72,0.403,0,7,0,28,37,0.757,8,26,34,11,3,3,16,30,86
1988,Lakers,5,0,0,240,37,78,0.474,1,4,0.25,19,33,0.576,15,16,31,26,7,3,14,27,94
1988,Lakers,6,1,1,240,34,72,0.472,0,2,0,35,43,0.814,13,28,41,30,6,3,14,19,103
1988,Lakers,7,1,1,240,43,77,0.558,3,10,0.3,19,27,0.704,10,31,41,30,6,1,18,22,108
1989,Pistons,1,1,1,240,46,83,0.554,1,2,0.5,16,21,0.762,9,36,45,26,2,5,13,28,109
1989,Pistons,2,1,1,240,44,81,0.543,1,8,0.125,19,21,0.905,13,22,35,21,3,9,10,31,108
1989,Pistons,3,1,0,240,43,83,0.518,1,7,0.143,27,32,0.844,14,30,44,29,8,3,13,30,114
1989,Pistons,4,1,0,240,34,70,0.486,2,3,0.667,35,51,0.686,9,27,36,21,3,4,9,26,105
1990,Pistons,1,1,1,240,34,91,0.374,3,10,0.3,34,46,0.739,19,35,54,16,6,5,13,25,105
1990,Pistons,2,0,1,265,41,90,0.456,8,14,0.571,15,23,0.652,15,29,44,25,2,7,18,28,105
1990,Pistons,3,1,0,240,43,81,0.531,3,10,0.3,32,41,0.78,10,26,36,19,3,4,14,26,121
1990,Pistons,4,1,0,240,42,91,0.462,7,16,0.438,21,24,0.875,12,27,39,19,8,3,12,30,112
1990,Pistons,5,1,0,240,37,81,0.457,4,6,0.667,14,23,0.609,16,28,44,15,9,6,18,29,92
1991,Bulls,1,0,1,240,38,80,0.475,1,7,0.143,14,18,0.778,9,30,39,26,11,5,10,21,91
1991,Bulls,2,1,1,240,50,81,0.617,0,5,0,7,8,0.875,11,25,36,35,10,1,14,20,107
1991,Bulls,3,1,0,265,41,85,0.482,1,3,0.333,21,24,0.875,16,30,46,23,10,5,16,21,104
1991,Bulls,4,1,0,240,42,80,0.525,1,3,0.333,12,14,0.857,9,29,38,27,4,8,5,22,97
1991,Bulls,5,1,0,240,42,78,0.538,2,3,0.667,22,28,0.786,10,27,37,28,14,6,18,23,108
1992,Bulls,1,1,1,240,50,91,0.549,7,15,0.467,15,22,0.682,16,28,44,38,7,7,11,21,122
1992,Bulls,2,0,1,265,41,86,0.477,5,15,0.333,17,26,0.654,10,31,41,34,5,7,15,29,104
1992,Bulls,3,1,0,240,37,78,0.474,1,4,0.25,19,29,0.655,9,33,42,25,9,5,16,26,94
1992,Bulls,4,0,0,240,35,77,0.455,4,12,0.333,14,20,0.7,7,26,33,18,7,1,16,27,88
1992,Bulls,5,1,0,240,40,73,0.548,2,6,0.333,37,45,0.822,10,24,34,26,6,6,14,33,119
1992,Bulls,6,1,1,240,38,73,0.521,6,13,0.462,15,21,0.714,9,22,31,20,8,5,18,19,97
1993,Bulls,1,1,0,240,43,81,0.531,3,8,0.375,11,19,0.579,10,31,41,28,10,8,12,17,100
1993,Bulls,2,1,0,240,45,89,0.506,3,7,0.429,18,25,0.72,17,26,43,31,10,7,16,21,111
1993,Bulls,3,0,1,315,55,130,0.423,5,13,0.385,6,9,0.667,27,32,59,32,8,6,16,29,121
1993,Bulls,4,1,1,240,44,83,0.53,3,9,0.333,20,33,0.606,12,30,42,26,8,5,10,26,111
1993,Bulls,5,0,1,240,37,79,0.468,8,18,0.444,16,24,0.667,8,27,35,20,6,4,9,22,98
1993,Bulls,6,1,0,240,39,82,0.476,10,14,0.714,11,20,0.55,12,27,39,24,6,2,8,26,99
1994,Rockets,1,1,1,240,31,74,0.419,4,16,0.25,19,30,0.633,12,37,49,21,10,4,17,21,85
1994,Rockets,2,0,1,240,32,82,0.39,6,22,0.273,13,18,0.722,17,21,38,20,11,5,16,18,83
1994,Rockets,3,1,0,240,30,75,0.4,6,17,0.353,27,31,0.871,14,33,47,19,4,7,17,18,93
1994,Rockets,4,0,0,240,31,72,0.431,6,20,0.3,14,18,0.778,7,26,33,19,5,5,17,27,82
1994,Rockets,5,0,0,240,33,81,0.407,6,18,0.333,12,16,0.75,15,27,42,24,7,4,18,21,84
1994,Rockets,6,1,1,240,32,66,0.485,5,17,0.294,17,23,0.739,6,32,38,21,5,6,14,21,86
1994,Rockets,7,1,1,240,34,73,0.466,4,11,0.364,18,23,0.783,3,30,33,22,8,5,9,23,90
1995,Rockets,1,1,0,265,44,96,0.458,14,32,0.438,18,23,0.783,9,32,41,31,9,10,11,21,120
1995,Rockets,2,1,0,240,39,75,0.52,5,14,0.357,34,41,0.829,9,29,38,18,13,7,9,23,117
1995,Rockets,3,1,1,240,39,84,0.464,7,19,0.368,21,30,0.7,11,35,46,28,7,2,9,21,106
1995,Rockets,4,1,1,240,40,88,0.455,11,27,0.407,22,29,0.759,15,33,48,28,11,1,10,18,113
1996,Bulls,1,1,1,240,37,86,0.43,7,26,0.269,26,31,0.839,17,23,40,20,9,9,7,27,107
1996,Bulls,2,1,1,240,30,77,0.39,4,21,0.19,28,42,0.667,20,25,45,22,10,5,15,27,92
1996,Bulls,3,1,0,240,38,76,0.5,7,15,0.467,25,34,0.735,10,23,33,28,9,2,9,29,108
1996,Bulls,4,0,0,240,32,80,0.4,6,24,0.25,16,19,0.842,15,21,36,22,5,3,17,24,86
1996,Bulls,5,0,0,240,29,77,0.377,3,26,0.115,17,23,0.739,15,25,40,18,3,2,13,27,78
1996,Bulls,6,1,0,240,31,78,0.397,9,25,0.36,16,20,0.8,24,27,51,20,14,4,19,15,87
1997,Bulls,1,1,1,240,34,76,0.447,6,16,0.375,10,15,0.667,10,26,36,23,9,7,14,17,84
1997,Bulls,2,1,1,240,32,69,0.464,6,16,0.375,27,33,0.818,11,30,41,26,8,4,13,26,97
1997,Bulls,3,0,0,240,33,75,0.44,12,32,0.375,15,21,0.714,8,27,35,20,7,8,12,25,93
1997,Bulls,4,0,0,240,32,76,0.421,4,19,0.211,5,12,0.417,10,28,38,17,7,4,8,19,73
1997,Bulls,5,1,0,240,32,72,0.444,6,15,0.4,20,30,0.667,10,32,42,17,8,5,8,25,90
1997,Bulls,6,1,1,240,31,81,0.383,5,14,0.357,23,30,0.767,15,35,50,15,7,4,13,28,90
1998,Bulls,1,0,0,265,34,82,0.415,3,16,0.188,14,16,0.875,9,32,41,14,8,8,14,19,85
1998,Bulls,2,1,0,240,34,80,0.425,3,16,0.188,22,27,0.815,18,18,36,17,10,3,7,21,93
1998,Bulls,3,1,1,240,37,76,0.487,4,11,0.364,18,26,0.692,11,39,50,25,13,5,17,19,96
1998,Bulls,4,1,1,240,27,73,0.37,5,15,0.333,27,40,0.675,17,27,44,18,7,2,9,19,86
1998,Bulls,5,0,1,240,29,75,0.387,7,20,0.35,16,20,0.8,13,20,33,19,11,5,16,25,81
1998,Bulls,6,1,0,240,34,67,0.507,4,10,0.4,15,19,0.789,5,17,22,17,11,4,9,23,87
1999,Spurs,1,1,1,240,32,67,0.478,6,15,0.4,19,31,0.613,4,33,37,25,9,6,14,18,89
1999,Spurs,2,1,1,240,27,63,0.429,2,12,0.167,24,35,0.686,5,36,41,18,5,9,12,13,80
1999,Spurs,3,0,0,240,29,65,0.446,5,13,0.385,18,22,0.818,10,26,36,15,6,3,20,27,81
1999,Spurs,4,1,0,240,35,75,0.467,3,9,0.333,23,28,0.821,14,35,49,23,5,9,17,25,96
1999,Spurs,5,1,0,240,27,67,0.403,5,13,0.385,19,25,0.76,9,31,40,20,7,2,14,17,78
2000,Lakers,1,1,1,240,45,88,0.511,3,12,0.25,11,19,0.579,14,34,48,25,9,6,11,19,104
2000,Lakers,2,1,1,240,36,75,0.48,7,15,0.467,32,57,0.561,11,36,47,29,3,8,9,26,111
2000,Lakers,3,0,0,240,38,76,0.5,7,17,0.412,8,19,0.421,8,25,33,23,9,4,16,27,91
2000,Lakers,4,1,0,265,48,93,0.516,4,12,0.333,20,30,0.667,14,28,42,20,6,4,12,31,120
2000,Lakers,5,0,0,240,36,90,0.4,4,19,0.211,11,21,0.524,13,21,34,18,9,2,12,33,87
2000,Lakers,6,1,1,240,43,90,0.478,10,17,0.588,20,33,0.606,13,31,44,25,5,7,5,24,116
2001,Lakers,1,0,1,265,40,90,0.444,6,13,0.462,15,27,0.556,16,28,44,23,14,9,19,22,101
2001,Lakers,2,1,1,240,38,81,0.469,4,16,0.25,18,26,0.692,15,37,52,29,7,13,16,24,98
2001,Lakers,3,1,0,240,35,75,0.467,4,10,0.4,22,25,0.88,10,30,40,18,8,6,13,26,96
2001,Lakers,4,1,0,240,36,72,0.5,10,19,0.526,18,32,0.563,12,31,43,24,6,6,14,22,100
2001,Lakers,5,1,0,240,32,71,0.451,12,17,0.706,32,45,0.711,14,33,47,21,6,10,12,22,108
2002,Lakers,1,1,1,240,33,72,0.458,1,10,0.1,32,45,0.711,17,33,50,21,8,8,16,20,99
2002,Lakers,2,1,1,240,39,78,0.5,9,16,0.563,19,24,0.792,12,35,47,26,6,7,16,21,106
2002,Lakers,3,1,0,240,37,68,0.544,8,16,0.5,24,35,0.686,7,33,40,17,7,10,19,22,106
2002,Lakers,4,1,0,240,37,71,0.521,11,19,0.579,28,37,0.757,7,32,39,28,7,3,9,15,113
2003,Spurs,1,1,1,240,39,79,0.494,4,10,0.4,19,28,0.679,10,37,47,24,7,12,12,20,101
2003,Spurs,2,0,1,240,33,68,0.485,5,13,0.385,14,25,0.56,14,29,43,17,6,7,21,16,85
2003,Spurs,3,1,0,240,28,67,0.418,5,10,0.5,23,35,0.657,9,29,38,19,10,8,17,17,84
2003,Spurs,4,0,0,240,26,90,0.289,4,18,0.222,20,24,0.833,22,31,53,14,10,10,11,27,76
2003,Spurs,5,1,0,240,33,69,0.478,3,9,0.333,24,29,0.828,8,31,39,15,10,9,15,29,93
2003,Spurs,6,1,1,240,34,74,0.459,3,15,0.2,17,25,0.68,11,44,55,20,4,13,19,14,88
2004,Pistons,1,1,0,240,30,65,0.462,6,12,0.5,21,30,0.7,9,27,36,19,9,4,14,17,87
2004,Pistons,2,0,0,265,32,81,0.395,6,12,0.5,21,31,0.677,19,27,46,19,6,6,14,23,91
2004,Pistons,3,1,1,240,31,76,0.408,5,15,0.333,21,30,0.7,15,36,51,17,11,4,11,16,88
2004,Pistons,4,1,1,240,29,68,0.426,2,13,0.154,28,41,0.683,9,36,45,16,5,4,12,20,88
2004,Pistons,5,1,1,240,35,76,0.461,2,14,0.143,28,39,0.718,20,30,50,18,8,2,12,27,100
2005,Spurs,1,1,1,240,34,79,0.43,4,13,0.308,12,15,0.8,15,34,49,12,3,8,15,17,84
2005,Spurs,2,1,1,240,29,62,0.468,11,24,0.458,28,34,0.824,9,27,36,23,11,7,15,19,97
2005,Spurs,3,0,0,240,29,67,0.433,8,17,0.471,13,20,0.65,10,27,37,16,7,3,18,21,79
2005,Spurs,4,0,0,240,26,70,0.371,5,15,0.333,14,24,0.583,12,32,44,15,1,9,17,21,71
