Year,Team,Game,Win,Home,MP,FG,FGA,FGP,TP,TPA,TPP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1980,Sixers,1,0,0,240,40,90,0.444,0,2,0,22,28,0.786,14,26,40,28,12,13,14,17,102
1980,Sixers,2,1,0,240,43,85,0.506,0,1,0,21,27,0.778,5,29,34,34,14,11,20,21,107
1980,Sixers,3,0,1,240,45,93,0.484,1,4,0.25,10,17,0.588,13,24,37,34,12,8,13,25,101
1980,Sixers,4,1,1,240,41,79,0.519,0,0,NA,23,26,0.885,5,29,34,31,5,10,14,20,105
1980,Sixers,5,0,0,240,42,94,0.447,0,3,0,19,24,0.792,13,29,42,32,9,7,12,25,103
1980,Sixers,6,0,1,240,47,89,0.528,0,6,0,13,22,0.591,7,29,36,27,4,11,18,27,107
1981,Rockets,1,0,0,240,42,99,0.424,0,2,0,11,14,0.786,19,23,42,23,15,3,10,20,95
1981,Rockets,2,1,0,240,34,85,0.4,2,2,1,22,32,0.688,13,22,35,16,6,8,9,17,92
1981,Rockets,3,0,1,240,24,79,0.304,0,1,0,23,31,0.742,19,29,48,10,6,10,21,19,71
1981,Rockets,4,1,1,240,37,103,0.359,1,3,0.333,16,22,0.727,28,21,49,22,8,2,10,20,91
1981,Rockets,5,0,0,240,30,84,0.357,0,1,0,20,33,0.606,15,26,41,15,8,9,17,24,80
1981,Rockets,6,0,1,240,36,86,0.419,0,2,0,19,23,0.826,18,23,41,22,4,2,12,21,91
1982,Sixers,1,0,1,240,48,98,0.49,3,6,0.5,18,23,0.783,18,23,41,28,11,7,18,26,117
1982,Sixers,2,1,0,240,49,93,0.527,0,2,0,12,21,0.571,20,32,52,28,4,9,21,30,110
1982,Sixers,3,0,0,240,39,88,0.443,1,1,1,29,40,0.725,14,29,43,25,10,8,19,36,108
1982,Sixers,4,0,0,240,44,91,0.484,0,3,0,13,20,0.65,11,29,40,32,3,7,16,23,101
