Bill,Tip,Credit,Guests,Day,Server,PctTip
23.70,10,n,2,f,A,42.2
36.11,7,n,3,f,B,19.4
31.99,5.01,y,2,f,A,15.7
17.39,3.61,y,2,f,B,20.8
15.41,3,n,2,f,B,19.5
18.62,2.5,n,2,f,A,13.4
21.56,3.44,n,2,f,B,16
19.58,2.42,n,2,f,A,12.4
23.59,3,n,2,f,A,12.7
18.67,2,n,2,f,B,10.7
15.19,1.75,n,1,f,B,11.5
10.17,2.1,n,1,f,A,20.6
8.08,1,n,1,f,B,12.4
8.83,1.25,n,2,f,B,14.2
8.88,1.12,n,2,f,B,12.6
17.49,3,n,3,f,B,17.2
18.40,2.6,n,2,f,C,14.1
29.05,5.91,y,2,th,C,20.3
9.31,1.25,n,1,th,C,13.4
41.94,7.06,y,5,th,C,16.8
55.59,10,n,5,th,C,18
25.09,5,y,2,th,C,19.9
13.11,2,n,1,th,C,15.3
49.59,10.41,y,4,th,C,21
36.86,6.14,y,2,th,B,16.7
22.68,3.55,n,2,th,A,15.7
29.53,4.47,y,3,th,B,15.1
18.62,3.11,n,2,th,A,16.7
31.35,4.5,n,2,th,A,14.4
24.34,4,y,3,th,C,16.4
39.80,6.3,y,2,th,C,15.8
12.54,2,n,2,th,B,15.9
13.38,2,n,2,th,B,14.9
16.53,2.47,n,2,th,A,14.9
16.85,3,n,2,th,B,17.8
15.73,5,n,2,th,B,31.8
31.14,5,n,3,th,B,16.1
18.14,2.75,n,2,th,A,15.2
9.58,1.42,n,1,th,A,14.8
35.90,5,n,3,th,B,13.9
17.44,3.7,n,2,w,A,21.2
19.69,2.31,n,2,w,B,11.7
59.33,10,y,6,w,B,16.9
9.36,1.44,y,1,w,B,15.4
10.59,1.5,n,1,w,B,14.2
31.94,8.06,n,3,w,A,25.2
22.26,3.74,y,2,w,B,16.8
20.33,4,n,2,w,B,19.7
10.17,1.83,n,1,w,A,18
9.20,1.8,n,1,w,A,19.6
21.88,4,n,3,w,B,18.3
20.87,3.13,y,2,w,B,15
17.39,3.61,n,2,w,A,20.8
7.97,1.03,n,2,w,C,12.9
32.31,4.69,n,2,w,A,14.5
7.70,1,n,1,w,C,13
7.76,1,n,1,w,C,12.9
23.43,4,n,2,w,C,17.1
38.73,5.7,n,2,w,A,14.7
70.51,10.49,y,2,w,A,14.9
60.72,15,y,1,w,A,24.7
30.98,5.02,y,1,w,A,16.2
23.27,3.73,n,2,w,B,16
25.95,4.05,y,2,th,B,15.6
29.64,6,n,2,th,A,20.2
8.29,1,y,2,th,A,12.1
26.16,4.53,n,1,th,A,17.3
34.94,6.96,y,2,th,A,19.9
53.54,9,y,2,t,A,16.8
22.47,4,y,2,th,A,17.8
37.24,6.7,y,2,f,A,18
23.65,3.15,n,2,f,C,13.3
28.89,3.46,n,2,f,A,12
21.24,3.62,n,2,f,A,17
20.22,2,n,2,f,C,9.9
7.54,1.26,n,3,f,A,16.7
22.36,3,n,2,f,C,13.4
27.98,5.42,n,2,f,C,19.4
22.95,4.05,y,2,f,C,17.6
17.71,2.3,n,2,th,A,13
28.09,5.11,n,4,th,A,18.2
29.00,4,n,3,w,A,13.8
18.67,3,n,3,w,C,16.1
37.34,5.96,y,2,w,C,16
22.20,4,y,1,w,C,18
36.27,7,y,2,w,A,19.3
23.00,3.75,n,1,w,A,16.3
42.96,7.04,y,2,w,C,16.4
