Country,iPhone,Android,MacBook,Windows Powered,PS4,Xbox one,iPad mini,Samsung tablet,40 inch smart TV,Apple Watch,Brand headphone,hard drive 2TB,Portable charger,Printer
Kuwait,$641.50 ,$539.18 ,$795.38 ,$528.34 ,$315.83 ,$418.50 ,$242.90 ,$250.98 ,$383.60 ,$242.90 ,$196.95 ,$89.03 ,$2.44 ,$52.36 
Saudi Arabia,$513.86 ,$699.61 ,"$1,054.98 ",$686.88 ,$317.86 ,$254.24 ,$380.47 ,$152.44 ,$406.93 ,$381.48 ,$338.22 ,$114.27 ,$4.83 ,$30.03 
Malaysia,$532.06 ,$631.66 ,"$1,010.31 ","$1,022.67 ",$299.83 ,$355.47 ,$232.87 ,$354.99 ,$324.87 ,$248.43 ,$175.48 ,$116.16 ,$11.41 ,$108.69 
Canada,$555.25 ,$625.04 ,"$1,118.10 ","$1,081.40 ",$274.25 ,$233.14 ,$237.34 ,$392.89 ,$364.30 ,$259.21 ,$159.71 ,$87.12 ,$9.24 ,$57.13 
United Arab Emirates,$498.25 ,$592.31 ,"$1,073.30 ","$1,026.68 ",$324.72 ,$285.72 ,$259.71 ,$311.71 ,$467.68 ,$285.71 ,$181.73 ,$84.49 ,$10.13 ,$95.93 
Qatar,$608.71 ,$736.68 ,$964.36 ,$991.45 ,$315.57 ,$249.72 ,$236.61 ,$352.87 ,$420.85 ,$262.93 ,$262.28 ,$99.75 ,$14.48 ,$60.27 
Japan,$413.58 ,$548.37 ,"$1,268.35 ","$1,156.57 ",$298.90 ,$319.88 ,$269.57 ,$276.77 ,$552.42 ,$254.22 ,$195.42 ,$193.97 ,$5.35 ,$84.72 
USA,$625.88 ,$703.94 ,"$1,241.63 ",$925.69 ,$307.63 ,$317.27 ,$224.20 ,$287.53 ,$578.61 ,$288.34 ,$192.86 ,$179.26 ,$12.51 ,$46.97 
Australia,$574.50 ,$616.66 ,"$1,621.74 ",$810.34 ,$352.83 ,$294.25 ,$352.06 ,$205.86 ,$474.81 ,$256.51 ,$183.41 ,$131.56 ,$13.96 ,$50.90 
Poland,$615.00 ,$685.74 ,"$1,372.21 ","$1,151.64 ",$281.59 ,$254.88 ,$301.20 ,$281.59 ,$372.27 ,$319.61 ,$146.80 ,$100.45 ,$4.00 ,$58.32 
UK,$542.29 ,$786.83 ,"$1,535.89 ",$825.08 ,$319.86 ,$353.59 ,$258.13 ,$259.30 ,$515.17 ,$234.56 ,$151.47 ,$117.85 ,$23.55 ,$41.23 
Hong Kong,$583.89 ,$745.95 ,"$1,244.31 ","$1,095.71 ",$358.79 ,$311.64 ,$260.16 ,$291.65 ,$444.09 ,$260.16 ,$224.02 ,$82.85 ,$9.72 ,$72.24 
Spain,$686.14 ,$634.83 ,"$1,535.94 ",$599.35 ,$295.73 ,$447.16 ,$311.64 ,$434.60 ,$326.48 ,$326.37 ,$211.95 ,$147.41 ,$3.71 ,$55.65 
Pakistan,$537.97 ,$720.33 ,"$1,048.64 ","$1,139.79 ",$402.08 ,$315.28 ,$292.42 ,$345.58 ,$515.18 ,$319.84 ,$237.07 ,$91.38 ,$7.12 ,$53.80 
Colombia,$655.11 ,$943.57 ,$909.56 ,$875.16 ,$470.06 ,$282.19 ,$251.01 ,$121.10 ,$564.14 ,$366.83 ,$293.76 ,$158.24 ,$43.12 ,$92.69 
Germany,$613.74 ,$719.74 ,"$1,588.94 ","$1,192.45 ",$316.94 ,$263.94 ,$306.34 ,$232.14 ,$296.79 ,$338.14 ,$148.39 ,$104.94 ,$10.59 ,$63.59 
Turkey,$677.32 ,"$1,012.22 ","$1,503.13 ",$300.37 ,$398.56 ,$383.22 ,$367.88 ,$275.83 ,$521.29 ,$352.53 ,$192.98 ,$122.42 ,$19.94 ,$73.33 
China,$470.74 ,$606.89 ,"$1,329.73 ","$1,146.20 ",$314.83 ,$429.60 ,$284.61 ,$329.15 ,$572.54 ,$313.54 ,$213.19 ,$91.58 ,$11.17 ,$113.03 
Switzerland,$556.89 ,$687.94 ,"$1,482.94 ","$1,164.94 ",$349.75 ,$222.55 ,$306.34 ,$233.15 ,$550.14 ,$316.94 ,$148.35 ,$127.15 ,$20.09 ,$60.42 
Sweden,$569.42 ,$797.28 ,"$1,541.93 ",$640.59 ,$317.97 ,$317.97 ,$297.29 ,$371.85 ,$637.65 ,$318.55 ,$190.48 ,$137.30 ,$15.87 ,$73.86 
Myanmar,$749.21 ,$655.56 ,"$1,039.92 ",$447.12 ,$549.47 ,$318.41 ,$599.37 ,$250.23 ,$421.05 ,$415.82 ,$596.05 ,$76.87 ,$3.37 ,$120.82 
Sri Lanka,$579.77 ,$799.57 ,"$1,208.50 ",$528.34 ,$387.35 ,$452.22 ,$303.03 ,$251.98 ,$835.92 ,$452.28 ,$245.03 ,$144.16 ,$3.55 ,$98.73 
Panama,$681.11 ,$642.57 ,"$1,069.37 ",$951.13 ,$486.91 ,$384.77 ,$408.80 ,$350.29 ,$350.43 ,$340.78 ,$194.99 ,$334.96 ,$5.84 ,$97.35 
Kenya,$716.97 ,$677.21 ,"$1,276.59 ",$567.37 ,$378.21 ,$378.21 ,$540.62 ,$325.23 ,$444.44 ,$484.46 ,$247.28 ,$117.66 ,$9.56 ,$171.85 
Netherlands,$603.14 ,$740.94 ,"$1,375.88 ","$1,058.94 ",$310.58 ,$295.74 ,$528.94 ,$242.74 ,$497.14 ,$391.14 ,$168.54 ,$104.93 ,$9.54 ,$51.94 
Egypt,$814.37 ,$844.12 ,"$1,732.71 ",$655.53 ,$325.87 ,$450.01 ,$275.77 ,$246.81 ,$310.39 ,$344.91 ,$186.22 ,$173.80 ,$3.41 ,$70.88 
Dominican Republic,$965.62 ,$659.90 ,"$1,465.17 ",$527.32 ,$382.73 ,$382.73 ,$317.49 ,$215.46 ,$539.79 ,$486.89 ,$246.00 ,$95.52 ,$41.04 ,$125.38 
Italy,$613.74 ,$878.74 ,"$1,588.94 ","$1,047.27 ",$281.96 ,$280.89 ,$317.98 ,$458.21 ,$306.22 ,$359.34 ,$200.34 ,$100.65 ,$10.59 ,$68.89 
South Korea,$654.32 ,$775.45 ,"$1,335.60 ","$1,135.47 ",$316.86 ,$255.62 ,$302.40 ,$502.66 ,$503.81 ,$284.76 ,$243.27 ,$110.27 ,$8.29 ,$89.20 
Taiwan,$628.51 ,$627.78 ,"$1,285.11 ","$1,376.81 ",$336.84 ,$256.73 ,$272.91 ,$364.60 ,$670.98 ,$272.91 ,$214.74 ,$91.90 ,$11.00 ,$111.24 
Denmark,$666.41 ,$770.76 ,"$1,212.12 ","$1,262.89 ",$306.11 ,$311.25 ,$314.86 ,$457.10 ,$482.51 ,$342.22 ,$212.68 ,$83.58 ,$21.67 ,$79.73 
Romania,$513.42 ,$730.09 ,"$1,601.02 ","$1,153.78 ",$305.84 ,$223.46 ,$305.89 ,$282.36 ,$588.57 ,$452.06 ,$211.89 ,$98.75 ,$8.23 ,$77.70 
France,$565.36 ,$846.94 ,"$1,535.94 ","$1,628.48 ",$297.86 ,$227.90 ,$306.34 ,$225.78 ,$353.93 ,$316.94 ,$143.07 ,$105.58 ,$13.77 ,$57.34 
Hungary,$558.60 ,$863.35 ,"$1,442.21 ","$1,428.37 ",$246.89 ,$297.56 ,$274.08 ,$292.09 ,$431.29 ,$345.34 ,$198.99 ,$158.78 ,$11.25 ,$80.17 
Luxembourg,$565.36 ,$939.80 ,"$1,322.86 ","$1,556.97 ",$316.94 ,$445.20 ,$302.10 ,$288.32 ,$253.34 ,$347.47 ,$143.07 ,$105.58 ,$6.35 ,$118.80 
Thailand,$551.83 ,$734.99 ,"$1,155.55 ",$715.14 ,$716.70 ,$605.42 ,$384.40 ,$494.87 ,$525.28 ,$290.30 ,$360.06 ,$101.91 ,$20.70 ,$107.87 
Portugal,$625.39 ,$879.79 ,"$1,589.61 ","$1,045.00 ",$317.99 ,$307.39 ,$327.54 ,$296.79 ,$614.79 ,$369.94 ,$211.95 ,$137.79 ,$14.83 ,$68.89 
