code,name,latitude,longitude,country,countryRegion,population,regionCode,region,date
3040051,les Escaldes,42.50729,1.53414,AD,8,15853,1033,Europe/Andorra,10/15/08
3041563,Andorra la Vella,42.50779,1.52109,AD,7,20430,1037,Europe/Andorra,5/30/10
290594,Umm al Qaywayn,25.56473,55.55517,AE,7,44411,2,Asia/Dubai,11/3/12
291074,Ra's al Khaymah,25.78953,55.9432,AE,5,115949,2,Asia/Dubai,11/30/12
291696,Khawr Fakkan,25.33132,56.34199,AE,6,33575,20,Asia/Dubai,11/3/12
292223,Dubai,25.25817,55.30472,AE,3,1137347,11,Asia/Dubai,8/19/12
292239,Diba,25.61955,56.27291,AE,4,26395,4,Asia/Dubai,7/6/13
292672,Sharjah,25.33737,55.41206,AE,6,543733,6,Asia/Dubai,3/5/13
292688,Ar Ruways,24.11028,52.73056,AE,1,16e3,16,Asia/Dubai,11/3/12
292878,Al Fujayrah,25.11641,56.34141,AE,4,62415,15,Asia/Dubai,1/18/12
292913,Al Ain,24.19167,55.76056,AE,1,408733,275,Asia/Dubai,3/17/13
292932,Ajman,25.41111,55.43504,AE,2,226172,4,Asia/Dubai,3/24/13
292953,Adh Dhayd,25.28812,55.88157,AE,6,24716,114,Asia/Dubai,1/18/12
292968,Abu Dhabi,24.46667,54.36667,AE,1,603492,6,Asia/Dubai,1/18/12
1120985,Zaranj,30.96667,61.88333,AF,19,49851,486,Asia/Kabul,8/2/13
1123004,Taloqan,36.73605,69.53451,AF,26,64256,801,Asia/Kabul,5/11/13
1125155,Shindand,33.30294,62.1474,AF,11,29264,1071,Asia/Kabul,2/28/12
1125444,Shibirghan,36.66757,65.7529,AF,31,55641,360,Asia/Kabul,6/4/13
1125896,Shahrak,34.10738,64.3052,AF,9,15967,2357,Asia/Kabul,2/28/12
1127110,Sar-e Pul,36.21544,65.93249,AF,33,52121,636,Asia/Kabul,1/16/12
1127628,Sang-e Charak,35.84972,66.43694,AF,33,15377,1483,Asia/Kabul,1/27/06
1127768,Aibak,36.26468,68.01551,AF,32,47823,969,Asia/Kabul,1/16/12
1128265,Rustaq,37.12604,69.83045,AF,26,25636,1314,Asia/Kabul,2/28/12
1129516,Qarqin,37.41853,66.04358,AF,31,15018,263,Asia/Kabul,2/28/12
1129648,Qarawul,37.21959,68.7802,AF,24,24544,337,Asia/Kabul,9/5/13
1130490,Pul-e Khumri,35.94458,68.71512,AF,3,56369,638,Asia/Kabul,1/16/12
