danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri,duration_ms,time_signature,key_mode,playlist_name,playlist_img,track_name,artist_name,album_name,album_img,year
0.518,0.06,A#,-14.887,major,0.0441,0.987,7.87e-6,0.161,0.336,127.87,006Ndmw2hHxvnLbJsBFnPx,216373,4,A# major,summer_hits_1958,https://mosaic.scdn.co/640/5e8c49f7a8d161c1d6510999bd867b6a91640dae6488d1b4d3b17500498b1e648e8a15a663ee1cc083350f7f3e709bffbd6bf47bea2d4132c145484af0f2c3321ca683bdc121ba039b98c13bbf37d6b2,Nel blu dipinto di blu,Domenico Modugno,Tutto Modugno (Mister Volare),https://i.scdn.co/image/5e8c49f7a8d161c1d6510999bd867b6a91640dae,1958
0.543,0.332,C,-11.573,major,0.0317,0.669,0,0.134,0.795,154.999,5ayybTSXNwcarDtxQKqvWX,153933,4,C major,summer_hits_1958,https://mosaic.scdn.co/640/5e8c49f7a8d161c1d6510999bd867b6a91640dae6488d1b4d3b17500498b1e648e8a15a663ee1cc083350f7f3e709bffbd6bf47bea2d4132c145484af0f2c3321ca683bdc121ba039b98c13bbf37d6b2,Poor Little Fool,Ricky Nelson,Ricky Nelson (Expanded Edition / Remastered),https://i.scdn.co/image/f0f2c3321ca683bdc121ba039b98c13bbf37d6b2,1958
0.541,0.676,C,-7.988,major,0.135,0.188,0.803,0.123,0.911,76.231,4jmFSkpcqLOUN6scGU6BOO,128360,4,C major,summer_hits_1958,https://mosaic.scdn.co/640/5e8c49f7a8d161c1d6510999bd867b6a91640dae6488d1b4d3b17500498b1e648e8a15a663ee1cc083350f7f3e709bffbd6bf47bea2d4132c145484af0f2c3321ca683bdc121ba039b98c13bbf37d6b2,Patricia,Pérez Prado,El Rey Del Mambo,https://i.scdn.co/image/6488d1b4d3b17500498b1e648e8a15a663ee1cc0,1958
0.408,0.397,A,-12.536,major,0.03,0.873,0,0.28,0.697,72.615,3c7KT5CN8uYRaK3xThhdYt,162773,4,A major,summer_hits_1958,https://mosaic.scdn.co/640/5e8c49f7a8d161c1d6510999bd867b6a91640dae6488d1b4d3b17500498b1e648e8a15a663ee1cc083350f7f3e709bffbd6bf47bea2d4132c145484af0f2c3321ca683bdc121ba039b98c13bbf37d6b2,Little Star,The Elegants,Little Star: The Best Of The Elegants,https://i.scdn.co/image/83350f7f3e709bffbd6bf47bea2d4132c145484a,1958
0.554,0.189,E,-14.277,major,0.0279,0.915,1.37e-5,0.132,0.214,136.714,2urRqmAFhjZKo8Z6sEGzEv,165293,3,E major,summer_hits_1958,https://mosaic.scdn.co/640/5e8c49f7a8d161c1d6510999bd867b6a91640dae6488d1b4d3b17500498b1e648e8a15a663ee1cc083350f7f3e709bffbd6bf47bea2d4132c145484af0f2c3321ca683bdc121ba039b98c13bbf37d6b2,My True Love,Jack Scott,Best Of The Rockabilly Years,https://i.scdn.co/image/9105f52cfba8e58051ecedf325e17ffc6ab3287d,1958
0.679,0.279,G,-10.386,major,0.0384,0.645,0,0.118,0.854,117.287,1tKMOJW1eTIMSNtILF0ce9,161253,3,G major,summer_hits_1958,https://mosaic.scdn.co/640/5e8c49f7a8d161c1d6510999bd867b6a91640dae6488d1b4d3b17500498b1e648e8a15a663ee1cc083350f7f3e709bffbd6bf47bea2d4132c145484af0f2c3321ca683bdc121ba039b98c13bbf37d6b2,Just A Dream,Jimmy Clanton,R & B Megahits Of The 1950's - Volume 2,https://i.scdn.co/image/a036b49a7c34b0313af3c6aece152a5fbaa1770c,1958
0.663,0.619,F#,-5.731,major,0.0334,0.336,8.61e-6,0.0622,0.979,185.165,112ZDj3BKudS0w9nKFzJPN,150600,4,F# major,summer_hits_1958,https://mosaic.scdn.co/640/5e8c49f7a8d161c1d6510999bd867b6a91640dae6488d1b4d3b17500498b1e648e8a15a663ee1cc083350f7f3e709bffbd6bf47bea2d4132c145484af0f2c3321ca683bdc121ba039b98c13bbf37d6b2,When (Originally Performed By The Kalin Twins) [Full Vocal Version],Paris Music,"Karaoke Hits 1958, Vol. 2",https://i.scdn.co/image/d6468bb20e92587d38429ad8a31232d8861fd1c6,1958
0.684,0.556,B,-10.602,major,0.0377,0.468,0,0.0664,0.867,142.779,7mDEao1ygvaaYNIsVDEmg2,138733,4,B major,summer_hits_1958,https://mosaic.scdn.co/640/5e8c49f7a8d161c1d6510999bd867b6a91640dae6488d1b4d3b17500498b1e648e8a15a663ee1cc083350f7f3e709bffbd6bf47bea2d4132c145484af0f2c3321ca683bdc121ba039b98c13bbf37d6b2,Bird Dog,The Everly Brothers,Rock & Roll,https://i.scdn.co/image/e1ce1316cf44ea0130a0c572b7ab98cb3563b93d,1958
0.645,0.943,C,-1.526,major,0.0393,0.385,0,0.37,0.965,147.768,40fD7ct05FvQHLdQTgJelG,131720,4,C major,summer_hits_1958,https://mosaic.scdn.co/640/5e8c49f7a8d161c1d6510999bd867b6a91640dae6488d1b4d3b17500498b1e648e8a15a663ee1cc083350f7f3e709bffbd6bf47bea2d4132c145484af0f2c3321ca683bdc121ba039b98c13bbf37d6b2,Splish Splash,Bobby Darin,Bobby Darin,https://i.scdn.co/image/975278e9e3a15486bc087f225f252ed0c53ca1c0,1958
0.388,0.434,G,-11.997,major,0.0354,0.789,0.954,0.728,0.873,206.313,4nAJtcmiyoL0ARY5WZY9IN,153533,4,G major,summer_hits_1958,https://mosaic.scdn.co/640/5e8c49f7a8d161c1d6510999bd867b6a91640dae6488d1b4d3b17500498b1e648e8a15a663ee1cc083350f7f3e709bffbd6bf47bea2d4132c145484af0f2c3321ca683bdc121ba039b98c13bbf37d6b2,Rebel Rouser,Duane Eddy,The Best Of Duane Eddy,https://i.scdn.co/image/51bf334b15058b39192bda36a4e2b040d933f6b0,1958
