track_name,artist_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri,duration_ms,time_signature,key_mode,playlist_name,playlist_img,album_img,category
I Feel the Earth Move,Carole King,Tapestry,0.711,0.576,G,-8.784,minor,0.0305,0.648,0.00226,0.0528,0.645,120.116,1BWsOxeMx83OrKGCV4gxly,178560,4,G minor,grammy_albumoftheyear,https://mosaic.scdn.co/640/0850febcc1e38d3c919545e255b6ca05a8b052ca22d572f30398d3881b6f6f77edd4ecc59d24497d3af06ceb41722d5a2c0aa90c7a01657cfac4446043b3c479dcef6e30eb362945b535e2e6e5aa2d36,https://i.scdn.co/image/43b3c479dcef6e30eb362945b535e2e6e5aa2d36,_albumoftheyear
So Far Away,Carole King,Tapestry,0.488,0.172,D,-14.264,major,0.0372,0.895,3.52e-5,0.0753,0.362,143.631,4HHge4zAyIw3pkrtFzmwCl,235627,4,D major,grammy_albumoftheyear,https://mosaic.scdn.co/640/0850febcc1e38d3c919545e255b6ca05a8b052ca22d572f30398d3881b6f6f77edd4ecc59d24497d3af06ceb41722d5a2c0aa90c7a01657cfac4446043b3c479dcef6e30eb362945b535e2e6e5aa2d36,https://i.scdn.co/image/43b3c479dcef6e30eb362945b535e2e6e5aa2d36,_albumoftheyear
It's Too Late,Carole King,Tapestry,0.45,0.441,A,-12.718,minor,0.0352,0.498,0.00562,0.133,0.811,208.282,12q3V8ShACq2PSWINMc2rC,233173,4,A minor,grammy_albumoftheyear,https://mosaic.scdn.co/640/0850febcc1e38d3c919545e255b6ca05a8b052ca22d572f30398d3881b6f6f77edd4ecc59d24497d3af06ceb41722d5a2c0aa90c7a01657cfac4446043b3c479dcef6e30eb362945b535e2e6e5aa2d36,https://i.scdn.co/image/43b3c479dcef6e30eb362945b535e2e6e5aa2d36,_albumoftheyear
Home Again,Carole King,Tapestry,0.505,0.255,A,-12.558,major,0.0352,0.861,0.00389,0.0782,0.623,140.342,1381rfnkAKhUeqP0J12kk3,149053,4,A major,grammy_albumoftheyear,https://mosaic.scdn.co/640/0850febcc1e38d3c919545e255b6ca05a8b052ca22d572f30398d3881b6f6f77edd4ecc59d24497d3af06ceb41722d5a2c0aa90c7a01657cfac4446043b3c479dcef6e30eb362945b535e2e6e5aa2d36,https://i.scdn.co/image/43b3c479dcef6e30eb362945b535e2e6e5aa2d36,_albumoftheyear
Beautiful,Carole King,Tapestry,0.661,0.341,G#,-11.175,major,0.0284,0.843,1.33e-5,0.109,0.497,77.066,4EGyc152dlYpuQZ47cRC8j,186907,4,G# major,grammy_albumoftheyear,https://mosaic.scdn.co/640/0850febcc1e38d3c919545e255b6ca05a8b052ca22d572f30398d3881b6f6f77edd4ecc59d24497d3af06ceb41722d5a2c0aa90c7a01657cfac4446043b3c479dcef6e30eb362945b535e2e6e5aa2d36,https://i.scdn.co/image/43b3c479dcef6e30eb362945b535e2e6e5aa2d36,_albumoftheyear
Way over Yonder,Carole King,Tapestry,0.49,0.254,F,-11.823,minor,0.0321,0.755,9.39e-6,0.146,0.165,89.234,64lav7jWJqd5P4oWm4Ova6,283827,3,F minor,grammy_albumoftheyear,https://mosaic.scdn.co/640/0850febcc1e38d3c919545e255b6ca05a8b052ca22d572f30398d3881b6f6f77edd4ecc59d24497d3af06ceb41722d5a2c0aa90c7a01657cfac4446043b3c479dcef6e30eb362945b535e2e6e5aa2d36,https://i.scdn.co/image/43b3c479dcef6e30eb362945b535e2e6e5aa2d36,_albumoftheyear
You've Got a Friend,Carole King,Tapestry,0.474,0.263,G#,-10.684,major,0.0336,0.88,4.45e-5,0.123,0.458,168.683,1qhp5owrFGeZ5Jgin28nwR,308973,4,G# major,grammy_albumoftheyear,https://mosaic.scdn.co/640/0850febcc1e38d3c919545e255b6ca05a8b052ca22d572f30398d3881b6f6f77edd4ecc59d24497d3af06ceb41722d5a2c0aa90c7a01657cfac4446043b3c479dcef6e30eb362945b535e2e6e5aa2d36,https://i.scdn.co/image/43b3c479dcef6e30eb362945b535e2e6e5aa2d36,_albumoftheyear
Where You Lead,Carole King,Tapestry,0.784,0.459,C,-10.446,major,0.0304,0.763,1.28e-6,0.0684,0.931,106.957,0APt4t1Dab58sYmGQ4jgij,200147,4,C major,grammy_albumoftheyear,https://mosaic.scdn.co/640/0850febcc1e38d3c919545e255b6ca05a8b052ca22d572f30398d3881b6f6f77edd4ecc59d24497d3af06ceb41722d5a2c0aa90c7a01657cfac4446043b3c479dcef6e30eb362945b535e2e6e5aa2d36,https://i.scdn.co/image/43b3c479dcef6e30eb362945b535e2e6e5aa2d36,_albumoftheyear
Will You Love Me Tomorrow?,Carole King,Tapestry,0.403,0.329,C,-12.847,major,0.0314,0.79,3.96e-4,0.102,0.243,159.443,7qVd0TKcUDUdVaUogsGm4H,252440,4,C major,grammy_albumoftheyear,https://mosaic.scdn.co/640/0850febcc1e38d3c919545e255b6ca05a8b052ca22d572f30398d3881b6f6f77edd4ecc59d24497d3af06ceb41722d5a2c0aa90c7a01657cfac4446043b3c479dcef6e30eb362945b535e2e6e5aa2d36,https://i.scdn.co/image/43b3c479dcef6e30eb362945b535e2e6e5aa2d36,_albumoftheyear
Smackwater Jack,Carole King,Tapestry,0.656,0.552,G,-8.881,major,0.0315,0.445,2.69e-4,0.0822,0.769,125.795,0PrW6YZOBGeukTkvJsSIV3,221880,4,G major,grammy_albumoftheyear,https://mosaic.scdn.co/640/0850febcc1e38d3c919545e255b6ca05a8b052ca22d572f30398d3881b6f6f77edd4ecc59d24497d3af06ceb41722d5a2c0aa90c7a01657cfac4446043b3c479dcef6e30eb362945b535e2e6e5aa2d36,https://i.scdn.co/image/43b3c479dcef6e30eb362945b535e2e6e5aa2d36,_albumoftheyear
