"country","incomeperperson","alcconsumption","armedforcesrate","breastcancer","co2emissions","femaleemployrate","hivrate","internetuserate","lifeexpectancy","oilperperson","polityscore","relectricperperson","suicideper100th","employrate","urbanrate","continent"
"Afghanistan",NA,0.03,0.5696534,26.8,75944000,25.60000038,NA,3.654121623,48.673,NA,0,NA,6.6843853,55.70000076,24.04,"AS"
"Albania",1914.996551,7.29,1.0247361,57.4,223747333.3,42.09999847,NA,44.98994696,76.918,NA,9,636.3413834,7.699329853,51.40000153,46.72,"EE"
"Algeria",2231.993335,0.69,2.306817,23.5,2932108667,31.70000076,0.1,12.50007331,73.131,0.420094525,2,590.5098144,4.848769665,50.5,65.22,"AF"
"Angola",1381.004268,5.57,1.4613288,23.1,248358000,69.40000153,2,9.999953883,51.093,NA,-2,172.9992274,14.55467701,75.69999695,56.7,"AF"
"Argentina",10749.41924,9.35,0.560987,73.9,5872119000,45.90000153,0.5,36.00033495,75.901,0.635943801,8,768.4282997,7.765584,58.40000153,92,"LATAM"
"Armenia",1326.741757,13.66,2.6184384,51.6,51219666.67,34.20000076,0.1,44.00102458,74.241,NA,5,603.7630576,3.741587877,40.09999847,63.86,"EE"
"Australia",25249.98606,10.21,0.4862799,83.2,12970092667,54.59999847,0.1,75.8956538,81.907,1.913026109,10,2825.391095,8.470030125,61.5,88.74,"OC"
"Austria",26692.98411,12.4,0.8155798,70.5,4466084333,49.70000076,0.3,72.73157554,80.854,1.548790966,10,2068.123309,13.09437,57.09999847,67.16,"WE"
"Azerbaijan",2344.896916,13.34,1.9767462,31.5,511107666.7,56.20000076,0.1,46.67970157,70.739,0.35917261,-7,921.5621108,1.380964637,60.90000153,51.92,"EE"
"Bahamas",19630.54055,8.65,0.5452863,54.4,137555000,60.70000076,3.1,42.98458018,75.62,NA,NA,NA,3.374415875,66.59999847,83.7,"LATAM"
"Bahrain",12505.21255,4.19,5.2311429,40.2,503994333.3,30.20000076,NA,54.99280903,75.057,NA,-7,7314.355637,4.414990425,60.40000153,88.52,"AF"
"Bangladesh",558.0628766,0.17,0.2878915,16.6,598774000,53.59999847,0.06,3.70000326,68.944,0.032281466,5,68.11522858,14.53835678,68.09999847,27.14,"AS"
"Barbados",9243.587053,6.42,0.6639555,62.5,36160666.67,60.29999924,1.4,70.02859927,76.835,NA,NA,NA,3.108602524,66.90000153,39.84,"LATAM"
"Belarus",2737.670379,18.85,3.7119299,36,999874333.3,48.59999847,0.3,32.05214391,70.349,0.68782808,-7,614.9072872,26.8746903,53.40000153,73.46,"EE"
"Belgium",24496.04826,10.41,0.8156477,92,10897025333,41.70000076,0.2,73.73393447,80.009,NA,8,1920.962215,15.95385,48.59999847,97.36,"WE"
"Belize",3545.652174,5.92,0.7583556,29.8,14058000,38.79999924,2.3,12.64573333,76.072,NA,NA,NA,9.388795853,56.79999924,51.7,"LATAM"
"Benin",377.0396995,2.08,0.2233986,28.1,37950000,58.20000076,1.2,3.129961803,56.081,NA,7,38.22294336,6.057739735,71.59999847,41.2,"AF"
"Bhutan",1324.194906,0.54,NA,21.8,6024333.333,39.90000153,0.2,13.59887603,67.185,NA,3,NA,15.54260254,58.40000153,34.48,"AS"
"Bolivia",1232.794137,5.78,1.8821978,24.7,254939666.7,61.59999847,0.2,20.00171014,66.618,NA,7,213.0616137,2.034178495,70.40000153,65.58,"LATAM"
"Bosnia and Herzegovina",2183.344867,9.6,0.4628471,58.9,236419333.3,34.90000153,NA,52.00206064,75.67,NA,NA,927.1194974,11.8367157,41.20000076,47.44,"EE"
"Botswana",4189.436588,6.97,1.1319097,33.4,78943333.33,38.70000076,24.8,5.999835576,53.183,NA,8,454.7957053,11.21397018,46,59.58,"AF"
"Brazil",4699.411262,10.08,0.7213964,46,9580226333,53.29999924,0.45,40.650098,73.488,0.599651789,8,498.1653052,4.777007,64.5,85.58,"LATAM"
"Brunei",17092.46,1.86,4.683989,20.6,254206333.3,55.5,NA,49.98997494,78.005,NA,NA,3067.498901,1.370001555,63.79999924,74.82,"AS"
"Bulgaria",2549.558474,11.4,2.0433877,46.2,3157700333,42.09999847,0.1,45.98658991,73.371,0.560423531,9,1380.869289,9.216544,47.29999924,71.1,"EE"
"Burkina Faso",276.200413,7.32,0.1629041,30.6,20628666.67,75.80000305,1.2,1.4000607,55.439,NA,0,NA,8.204221726,81.30000305,19.56,"AF"
"Burundi",115.3059959,9.65,1.1577498,19.5,8092333.333,83.30000305,3.3,2.100212706,50.411,NA,6,NA,14.68093586,83.19999695,10.4,"AF"
