title,date,summary
Must go for a soccer fan,Reviewed 2 days ago ,"The stadium is great for any soccer fan, there’s a tour, the official store, and a couple of restaurants and bars. I don’t think the tour is worth your money if you’re going to a match, but if you cannot, then it’s a good oportunista...More"
Exceptional experience,Reviewed 2 days ago ,We saw a game between Barcelona and Athletico Madrid - an exceptional experience even if you are not a soccer fun.
Private tour in camp nou,Reviewed 2 days ago ,"A day before the game we went to see the stadium ,we (two families) took a private guided tour.
Our guide had a very good English and her explanations enlightened our knowledge. Unfortunately it is not possible to visit the barcelona's players dressing room but...More"
FUTBOL!!!!,Reviewed 2 days ago ,"This was the reason for trip to Spain.  Had to purchase advanced tickets, VIP area in box corner. Very nice area with food and drink.  Stadium was very impressive, helpful workers.  Saw the Great Team, Futbol Club Barcelona with all the players.   This is one...More"
Great fans,Reviewed 2 days ago ,Team with drums going round getting the fans hyped up about an hour before then game starts. Person with drums getting the home fans hyped up during the entire game. They hand out flags at the start of the game also. the megastore is within...More
Worth the money.,Reviewed 3 days ago ,"Visited Camp Nou because my husband is a huge football fan.  Interestingly, I think the tour was actually better for me than him.  I found it catered well to those who don't know the history/background of FC Barcelona.  While my husband enjoyed seeing the stadium,...More"
What a place!,Reviewed 3 days ago ,"Thank you for your visit and taking the time to comment QuinnC_11. We are glad that you enjoyed the overall experience. We hope to see you again on a match day or visiting the New Camp Nou and Espai Barça, a project undertaking the transformation...More"
Audio and VR tour,Reviewed 3 days ago ,"The most amazing experience if you are a football fan. This place has it all, in spades! It doesn't matter if you are a fan or not, this place will win you over. Pre-book over the net to get the best deals and you can...More"
Excellent game!!!!,Reviewed 3 days ago ,Really enjoyed the museum and the audio was very interesting. The VR experience was good but was much shorter than expected!
Great history,Reviewed 4 days ago ,"Managed to get tickets to watch a game, which was great!!!!!!!
Didn't manage to fit in the ground tour but will definitely do when we return"
An Experience,Reviewed 4 days ago ,"The stadium is old and outdated. It also does not serve alcohol inside. With that said, being with 98,000 fans rooting for FC Barcelona can't be beat. I'm glad we were able to attend a game here."
Camp Nou ,Reviewed 4 days ago ,"Excellent tour of the stadium with the family, had tickets prebooked so headed right in. It’s a football stadium, trophy rooms etc so you know what you are getting."
Outstanding,Reviewed 4 days ago ,"Of the huge amount of football stadiums I’ve visited, I can honestly say Camp Nou totally took my breath away - walking out to my seat for the first time was something I’ll never forget. The stadium is just awesome - you feel the passion...More"
Players experience VIP tour,Reviewed 4 days ago ,"I did the players experience tour this April. It was pricey (149 Euro) but I loved it. If you have the money to spare I would recommend it.

The tour is in small groups (we where with 7 persons) with a tour guide who tells...More"
Incomparable experience,Reviewed 4 days ago ,"The museum of the stadium can provide an incomparable experience, with video, audio and objects that really provide authentic emotions"
AMAZING!!,Reviewed 4 days ago ,"What an atmosphere!! Not sure I'll be able to go back to sitting with 20,000 people watching my local team now. The tour is an absolute must for football fans and non-fans alike. Barca winning and Messi scoring where the icing on the cake."
Great couple of hours,Reviewed 4 days ago ,"I'm not a die hard football fan however i was very impressed with Camp Nou. If you have any discount tickets on the basic tour, buy these because you can get the visual experience for €6 when you get inside. Think the basic is €29.50...More"
Different!!!,Reviewed 4 days ago ,Stadium from outside is dated and you think what's the fuss... but once inside feels like no other stadium i've been too. Watching Messi in action on his home turf is worth it!
Amazing Stadium,Reviewed 5 days ago ,"It`s the biggest stadium in Europe , do not miss out if you are in Barcelona.
If possible go to a match because nothing else can give you better experience to feel the real atmosphere of the Stadium."
Camp Nou,Reviewed 5 days ago ,Wonderful experience. Just had an incident with a staff who was rude as we were lost and needed to take the elevator.  Go Barca!!More
Tour ok but charged twice and still no refund a year later! Terrible customer service.,Reviewed 5 days ago ,Visited the stadium as a family in May 2018. The stadium tour and museum was ok...my husband enjoyed it more than me! On our return to the UK we realised our debit card had been charged twice. We emailed them to advise and they acknowledged...More
"Good sight, but not a must visit if unless you're a huge fan",Reviewed 5 days ago ,"I'm not an ardent Barca fan, but I have always appreciated the club.  With that being the case, I thought it would be a great idea to visit the stadium and take a tour during a couple day stop in Barcelona.  

Well, it's not necessarily...More"
Amazing stadium and team,Reviewed 5 days ago ,We were lucky enough to do the tour and see a Barcelona game a day later. The place and atmosphere are amazing. The tour is great and is full of history and inspiration. Excellent value for money and if you are in Barcelona it is...More
First time in Camp Nou,Reviewed 5 days ago ,"Amazing stadium , excellent match Barcelona scoring two goals ( Suarez n Messi against Atletico Madrid 0. The match was 6th April 2019. Thank you to the volunteers of Red Cross ."
The tour was perfect ,Reviewed 6 days ago ,I really enjoyed the tour and the beautiful atmosphere and I would definitely like to attend a match in there.
One of a kind tour,Reviewed 6 days ago ,"I believe this is a must visit. The place is great and the atmosphere was nice. Although it was a bit crowded during the visit, but this did not affect at all the fun. Lot of football history available and takes you back to the...More"
Camp Nou!,Reviewed 6 days ago ,"Dear AndyNaji, thank you for your visit and your very kind words. We are glad that you enjoyed the experience. We would love to have longer VR glasses, in fact, this week we update the videos and it will take more minutes, but we cannot...More"
Taking My Son to FC Barcelona. ,Reviewed 6 days ago ,"Took the tour and loved it! Fun to see my husband with the excitement of a 10yr old!! Didn’t feel the  higher price was worth it though as everything was self-explanatory. Got to see grounds, changing areas, physio massage beds, trophies, commentators box and large...More"
A cule's Haj!,Reviewed 6 days ago ,"The Museum & Ground Tour is 2nd to none, its brilliantly organized, it gives you the opportunity to get up close & personal with the achievements of this successful club

You can feel & smell the atmosphere when you sitting in the stand looking out...More"
Fc Barcelona - Atlético Madrid,Reviewed 6 days ago ,"Personally, I had come to Barcelona only to visit camp nou n watch Barca play! Bonus, was an amazing camp nou tour which included the museum, turf, locker rooms, dugouts etc. Great hospitality, great atmosphere during the match. As a Barca fan I need not...More"
Wow,Reviewed 6 days ago ,"Awesome experience, awesome view of the stadium. It was worth paying for a tour, got to see all of the trophies. Awesome."
Not as good as it should be,Reviewed 6 days ago ,"Had previously done the tour back in 2005 and loved it. Took my son this time and it was totally different. 
As someone else mentioned we were on the 1.30pm tour but half way through the ‘guides’ stated that certain areas were now closed?? Very...More"
Not great,Reviewed 6 days ago ,"First of all, thank you for your visit and for taking the time to comment MiddleAgedNorfolk.
As someone else mentioned in comments about sunday, april the 9th, the tour was really crowded after the match we played the day before against Atlético the Madrid. I...More"
Great stadium! VR isn't worth it!,Reviewed 6 days ago ,We arrived early for our 1.30 tour and apparently we were lucky we did so since it closed at 2.30pm - no mention of the closing time on the website when booking the tickets!  It's not really a 'tour' at all - you queue for...More
Huge stadium,Reviewed 1 week ago ,"Great place to visit if you love football!
DO NOT PAY ONLINE, PAY ON THE DESK! It's the same price AND if you book online, they can sometimes do 'security checks' and close the place down for the day, but keep your money. They offer...More"
Waste of time and money,Reviewed 1 week ago ,We came to see if we could get tickets for the Barcelona v Athletico Madrid match unfortunately they had sold out however the atmosphere was buzzing and we walked around the outside of the stadium.
Loved it!,Reviewed 1 week ago ,"Bought tickets for Sunday April 7 at 1:30. No indication about closing time when I bought the tickets.  When I arrived i was told they were closing at 2:30. Okay so 1 hour,  not ideal but I can work with it... until I realized we...More"
More than a football ground,Reviewed 1 week ago ,"Dear Rmoncayo, 
Firstly, thank you for your visit and review of the Barça Stadium Tour & Museum. We are sorry to hear that you did not enjoy the experience. Last sunday, the day after the Barça`s victory against Atlético de Madrid our tour was really...More"
Interesting,Reviewed 1 week ago ,"We almost missed our ticket time because we had a little too much fun the night before. We loved seeing the trophies, VIP press area and of course sitting in the coach's seat. The stadium itself seems smaller in person but I still recommend it."
Camp Nou experience is a great tour!,Reviewed 1 week ago ,"If you are lucky enough to get tickets for a big game here, then you will not be disappointed,an atmosphere all of its own, it is not just football it is almost religion.
I have done the stadium tour and that is excellent, but to...More"
Waste of money,Reviewed 1 week ago ,"Disgusting treatment on the tour. 

I live in Barcelona so have done the tour several times.

Went on a Sunday with my family who were visiting. We paid €26 each for tickets, arrived at 13.30 and on arrival we were told we had 1 hour...More"
Expected more atmosphere,Reviewed 1 week ago ,"First of all, thank you for your visit and for taking the time to comment. We're sorry to hear that you were disappointed with your experience. Last sunday, the day you came, you are right and it was really crowded after the match we played...More"
AMAZING!,Reviewed 1 week ago ,"Visited the match Barcelona Atletico Madrid. The stadium is really impressive, especially in this match I expected more crowd interaction."
A must for Barca fans,Reviewed 1 week ago ,"We planned to go on a match day, paid a bomb for the tickets but would do it all again! The day before the match we went for the tour (there are no tours on match days) which is really nice, the trophies, pictures, flags,...More"
Great experience,Reviewed 1 week ago ,"We went on a Sunday. Super crowded. Queueing everywhere. We did not join the guided tour. It is like an IKEA store - visitors follow a designated route from the beginning to the end, and cannot skip any parts (but you can linger as long...More"
Wonderful experience watching the most important match of the season,Reviewed 1 week ago ,"It's a must see in Barcelona.
We had tickets for audio guide, museum, stadium, VR experience and  guest locker room which looks soo cheap. I wonder  if it is deliberately.... 
 I loooved the stadium and the VIP sections above,  the museum was very interesting and...More"
Great tour,Reviewed 1 week ago ,Came all the way from San Francisco with the three boys to see this match between FCB and Atletico Madrid (first place vs second place).  the game did not disappoint and the atmosphere at the stadium lived up to its reputation.  getting into and out...More
"FC Barça match, VIP tickets ",Reviewed 1 week ago ,We took the player experience tour because my son is fan of the Barcelona soccer team. Even though I’m not fan decided to take this tour with my sons. It was a bit pricey but really worth it. I have to admit that the tour...More
