"ID","Churned","Age","Married","Cust_years","Churned_contacts"
"1",0,61,1,3,1
"2",0,50,1,3,2
"3",0,47,1,2,0
"4",0,50,1,3,3
"5",0,29,1,1,3
"6",0,43,1,4,3
"7",0,50,0,2,1
"8",0,29,0,3,2
"9",0,32,1,3,3
"10",0,48,1,4,0
"11",0,59,1,5,2
"12",0,35,1,5,0
"13",1,42,0,3,1
"14",0,34,0,3,1
"15",0,34,1,2,2
"16",0,59,1,2,1
"17",0,35,0,1,2
"18",1,22,1,3,2
"19",0,65,0,3,3
"20",0,63,1,2,1
"21",0,25,0,3,1
"22",1,48,1,2,1
"23",1,23,1,5,0
"24",1,28,1,3,1
"25",1,26,0,4,2
"26",0,40,1,4,1
"27",1,22,1,3,3
"28",0,43,0,3,2
"29",0,46,1,3,2
"30",0,57,1,3,2
"31",0,42,1,3,0
"32",1,29,1,2,1
"33",0,48,0,3,1
"34",0,47,1,3,1
"35",0,33,1,2,2
"36",1,30,0,2,3
"37",0,21,0,5,0
"38",0,51,1,2,3
"39",0,38,0,3,1
"40",0,50,1,4,2
"41",1,19,1,3,3
"42",1,31,1,2,0
"43",0,31,0,3,1
"44",0,45,0,3,1
"45",0,62,0,3,0
"46",0,33,1,5,0
"47",0,60,0,2,1
"48",0,45,1,4,2
"49",0,44,0,3,1
"50",0,56,0,2,2
"51",0,28,1,1,1
"52",0,51,0,2,0
"53",0,41,1,4,1
"54",0,53,1,2,3
"55",1,21,0,3,2
"56",0,45,1,3,2
"57",0,36,0,3,3
"58",0,31,0,4,1
"59",0,23,1,4,2
"60",0,23,1,3,0
"61",0,63,0,2,1
"62",1,41,1,4,2
"63",0,38,0,2,0
"64",1,19,0,3,2
"65",0,58,1,2,3
"66",0,33,1,4,0
"67",0,33,1,4,0
"68",1,19,0,2,2
"69",0,47,1,3,3
"70",0,50,0,4,3
"71",0,62,1,2,2
"72",1,27,0,2,1
"73",0,57,0,3,1
"74",0,57,1,3,0
"75",0,58,0,3,1
"76",0,48,0,2,2
"77",1,40,0,5,1
"78",0,43,1,2,1
"79",0,44,1,2,1
"80",0,56,1,2,1
"81",1,31,0,3,0
"82",0,53,0,3,2
"83",0,48,1,2,2
"84",0,39,1,3,2
"85",0,38,1,4,0
"86",0,27,1,3,3
"87",0,57,0,3,2
"88",0,37,1,3,1
"89",1,31,1,2,3
"90",0,61,1,5,0
"91",1,34,1,3,3
"92",0,59,1,2,1
"93",0,45,1,4,1
"94",0,45,1,3,0
"95",0,60,1,3,2
"96",1,23,1,3,3
"97",0,56,0,4,1
"98",0,53,0,3,1
"99",0,37,0,4,2
"100",0,62,0,3,1
"101",0,58,0,3,1
"102",0,21,0,2,1
"103",0,57,0,3,3
"104",1,31,0,4,2
"105",0,19,0,4,2
"106",0,26,1,3,0
"107",0,26,0,3,2
"108",0,60,1,4,3
"109",0,61,1,3,1
"110",0,56,1,2,2
"111",0,56,0,3,0
"112",0,59,0,3,0
"113",0,45,0,3,1
"114",0,62,0,3,0
"115",0,45,0,5,1
"116",1,32,0,4,1
"117",1,28,1,3,3
"118",0,32,1,2,2
"119",0,62,0,5,2
"120",0,37,1,3,1
"121",1,35,0,3,3
"122",0,50,1,3,1
"123",0,38,1,2,2
"124",1,21,1,4,1
"125",1,29,0,4,2
"126",0,46,1,3,1
"127",0,31,0,3,2
"128",1,26,1,6,0
"129",1,33,1,8,2
"130",0,45,0,2,2
"131",0,56,1,4,2
"132",0,22,1,3,2
"133",0,45,1,4,1
"134",0,24,0,3,0
"135",1,19,1,3,1
"136",0,55,1,3,1
"137",0,44,0,3,3
"138",0,52,1,5,2
"139",0,54,0,3,1
"140",0,46,1,2,3
"141",0,44,1,3,1
"142",0,34,1,3,2
"143",1,50,0,4,3
"144",0,63,0,3,1
"145",0,38,1,4,1
"146",0,28,1,5,1
"147",1,28,1,4,0
"148",0,51,0,3,2
"149",1,24,0,4,2
"150",0,53,1,2,1
"151",0,45,1,2,2
"152",0,40,1,3,1
"153",0,24,0,2,1
"154",0,37,0,3,3
"155",0,59,1,2,0
"156",0,45,1,4,1
"157",0,64,1,2,2
"158",0,43,0,2,1
"159",0,41,0,4,0
"160",0,40,0,3,2
"161",0,21,0,4,0
"162",0,30,0,3,1
"163",0,64,1,3,2
"164",0,26,0,2,1
"165",0,61,0,3,2
"166",0,32,0,3,2
"167",0,58,0,6,0
"168",1,27,0,2,3
"169",0,45,1,3,2
"170",0,54,0,3,1
"171",0,35,1,3,0
"172",0,30,0,4,0
"173",0,44,1,2,1
"174",1,24,0,2,1
"175",1,18,0,3,0
"176",0,47,0,3,1
"177",0,58,1,3,0
"178",0,40,1,5,1
"179",0,57,1,2,1
"180",0,59,1,4,1
"181",1,22,1,3,2
"182",0,61,1,4,3
"183",0,32,0,5,1
"184",0,59,1,3,2
"185",0,58,0,4,2
"186",0,50,1,2,3
"187",0,59,1,5,3
"188",0,60,1,4,0
"189",0,42,0,2,3
"190",0,39,1,4,1
"191",1,43,1,4,1
"192",0,37,0,3,2
"193",0,47,0,3,1
"194",0,40,1,5,0
"195",0,51,0,2,1
"196",0,20,1,4,0
"197",1,37,0,4,2
"198",1,34,0,3,2
"199",0,54,1,3,2
"200",0,33,1,4,3
"201",0,62,1,4,1
"202",0,36,0,2,1
"203",0,39,1,3,1
"204",0,37,0,2,1
"205",0,56,1,3,2
"206",0,64,1,2,3
"207",1,51,1,2,2
"208",0,24,1,4,0
"209",0,32,0,3,2
"210",0,28,1,3,2
"211",0,52,0,3,1
"212",1,29,1,4,2
"213",1,30,0,2,3
"214",0,36,1,4,2
"215",0,60,1,3,2
"216",1,18,0,4,1
"217",0,22,0,2,1
"218",0,43,0,4,2
"219",1,26,1,3,1
"220",0,25,1,4,2
"221",0,52,0,3,1
"222",0,47,1,4,1
"223",0,28,0,2,2
"224",0,32,0,3,0
"225",0,37,1,2,1
"226",0,33,0,3,2
"227",1,26,1,3,1
"228",0,38,0,4,0
"229",1,18,1,2,3
"230",0,56,0,6,2
"231",1,21,1,2,1
"232",0,39,1,2,2
"233",0,52,0,2,2
"234",0,49,1,3,0
"235",0,64,0,3,0
"236",1,20,0,3,0
"237",0,55,0,3,0
"238",1,34,0,3,1
"239",0,63,1,2,0
"240",0,62,1,4,2
"241",0,27,0,3,0
"242",0,53,0,3,1
"243",0,34,0,5,0
"244",0,30,0,4,1
"245",1,25,1,2,0
"246",0,53,0,3,1
"247",1,26,1,3,2
"248",0,53,1,5,1
"249",0,28,1,3,1
"250",0,33,1,4,1
"251",0,62,1,3,1
"252",0,55,0,2,0
"253",0,33,0,3,1
"254",0,61,1,3,3
"255",0,56,1,3,2
"256",0,55,0,3,2
"257",0,34,1,2,2
"258",0,56,1,3,3
"259",0,48,1,4,2
"260",0,40,1,5,2
"261",0,39,1,1,0
"262",0,61,0,2,2
"263",0,43,1,1,1
"264",0,54,1,3,2
"265",0,32,0,3,1
"266",0,50,1,3,1
"267",1,31,0,4,2
"268",0,34,1,3,0
"269",0,62,1,2,2
"270",0,51,1,2,2
"271",0,56,1,4,0
"272",0,59,1,3,0
"273",0,30,1,1,1
"274",0,59,0,2,0
"275",0,52,1,2,0
"276",1,26,1,3,3
"277",0,49,0,4,1
"278",0,53,0,4,1
"279",0,33,1,3,2
"280",1,25,1,3,3
"281",0,60,0,5,1
"282",0,21,1,3,1
"283",1,40,0,3,0
"284",1,30,0,3,2
"285",0,32,0,3,2
"286",1,20,1,5,2
"287",0,57,0,5,2
"288",0,28,1,4,0
"289",0,39,0,2,2
"290",0,29,1,5,0
"291",1,20,1,2,2
"292",1,23,1,6,2
"293",0,29,1,3,2
"294",0,46,0,1,0
"295",0,56,1,3,0
"296",1,18,1,5,2
"297",1,21,0,3,2
"298",1,20,1,2,1
"299",0,43,0,5,2
"300",0,32,0,3,2
"301",0,55,0,3,1
"302",0,38,1,3,1
"303",0,44,1,4,2
"304",0,50,1,3,2
"305",0,51,1,4,2
"306",0,52,0,2,0
"307",0,26,0,3,0
"308",1,22,0,5,1
"309",0,44,1,3,0
"310",0,63,0,3,3
"311",0,24,1,3,2
"312",1,18,0,4,2
"313",0,32,0,4,1
"314",0,34,0,6,1
"315",1,24,1,2,1
"316",1,23,0,2,1
"317",1,27,1,2,3
"318",0,48,1,1,1
"319",0,49,0,2,2
"320",0,37,0,2,1
"321",1,34,0,2,3
"322",0,20,1,2,1
"323",0,27,0,3,0
"324",0,58,1,2,2
"325",0,56,0,4,2
"326",0,63,1,2,1
"327",0,34,0,2,2
"328",1,41,1,3,3
"329",0,37,0,4,0
"330",0,57,1,3,0
"331",0,30,0,3,0
"332",1,33,1,2,0
"333",0,24,0,3,1
"334",0,27,0,2,2
"335",0,59,1,3,1
"336",0,43,0,2,3
"337",0,34,1,2,2
"338",0,58,0,3,2
"339",1,42,0,3,0
"340",0,62,0,2,1
"341",0,23,1,3,0
"342",0,55,0,6,3
"343",0,60,0,4,1
"344",0,27,0,4,2
"345",0,41,0,4,1
"346",0,39,1,2,1
"347",0,56,0,2,2
"348",0,48,1,3,1
"349",0,35,1,4,2
"350",1,29,1,3,0
"351",0,33,1,4,3
"352",0,20,1,4,1
"353",0,59,0,3,3
"354",0,58,0,4,1
"355",0,58,0,3,2
"356",0,41,0,4,0
"357",0,42,0,2,2
"358",0,53,1,2,1
"359",1,30,1,3,2
"360",0,28,0,4,3
"361",0,65,0,3,3
"362",0,58,1,5,2
"363",0,37,1,4,0
"364",0,61,0,4,1
"365",0,48,1,4,0
"366",0,46,1,3,0
"367",0,52,0,3,3
"368",0,28,0,4,0
"369",0,48,0,2,1
"370",0,55,0,2,0
"371",0,36,0,4,1
"372",0,48,0,2,1
"373",0,58,1,3,1
"374",0,59,0,4,2
"375",0,31,1,2,1
"376",0,62,0,3,2
"377",0,37,1,4,2
"378",0,56,1,2,3
"379",0,51,1,2,3
"380",0,37,0,3,2
"381",0,36,1,2,2
"382",0,39,0,3,2
"383",0,47,1,3,2
"384",0,37,1,3,2
"385",0,40,0,2,0
"386",0,59,0,4,3
"387",0,41,1,4,0
"388",0,26,1,3,3
"389",0,24,1,2,2
"390",0,30,0,4,3
"391",0,33,1,2,0
"392",0,33,1,3,2
"393",1,22,1,3,3
"394",0,47,1,4,0
