cities,vancouver,portland,new_york,miami,mexico_city,los_angeles,toronto,panama_city,winnipeg,montreal,san_francisco,calgary,chicago,halifax,new_orleans,saskatoon,guatemala_city,santa_fe,austin,edmonton,washington,phoenix,atlanta,seattle,denver
vancouver,0,76.11003381,659.9761793,696.3038864,599.673906,290.9056746,579.0356219,871.5474944,338.1000679,648.2166343,220.113494,124.3551544,484.0434039,779.5357234,554.733431,222.4858764,720.0170608,339.7309993,478.0349132,158.3561818,631.5280685,326.6358015,580.3920696,34.93750953,299.2599325
portland,76.11003381,0,639.7049827,649.0683294,533.1480917,215.9081194,563.8392681,811.5857933,344.4801984,638.3000855,144.0624329,160.9295538,461.3265034,768.7130207,505.5205747,250.5045593,656.6771133,282.6187789,422.1266566,210.3053264,606.3787772,257.6292657,541.584152,42.67455081,254.4111856
new_york,659.9761793,639.7049827,0,263.5734512,476.149107,587.6310161,88.96778672,501.5883803,351.0465898,89.98795989,632.363307,559.5880842,178.5089375,153.5572886,279.3854379,484.1061334,468.4689199,425.4640163,357.5670294,576.9400153,52.63582329,511.4127076,182.8809481,642.5988827,403.8715685
miami,696.3038864,649.0683294,263.5734512,0,263.7530034,512.1960576,305.0794933,245.6856642,484.341793,351.3495838,583.2938552,633.3298774,286.9085071,389.20836,144.1326306,591.9582919,212.8906983,371.266125,238.6834712,671.5970231,220.3196965,432.2683736,138.9764859,668.5971582,397.1965233
mexico_city,599.673906,533.1480917,476.149107,263.7530034,0,337.5951037,475.2850866,295.582614,527.5223303,547.9762329,421.0975439,584.2854571,394.9555612,623.7864139,199.4747316,584.981419,131.9001622,270.8892356,167.1402167,637.0931133,423.823482,276.0641996,294.1439664,565.9579522,336.1597642
los_angeles,290.9056746,215.9081194,587.6310161,512.1960576,337.5951037,0,533.531043,629.7219623,405.7753233,616.7099359,84.0220204,327.63986,421.2403387,736.0174561,372.4902477,379.217469,467.905939,162.2730807,273.8481949,385.9521848,542.2877337,80.93895451,440.2952854,256.0676732,198.7153019
toronto,579.0356219,563.8392681,88.96778672,305.0794933,475.2850866,533.531043,0,550.4376621,262.8345183,83.64411016,569.751425,474.6736228,112.3052316,206.6821453,276.4534659,396.4849898,491.9417311,374.1147878,334.058161,489.6725736,93.66016199,461.8093604,188.4906297,563.629094,340.6916225
panama_city,871.5474944,811.5857933,501.5883803,245.6856642,295.582614,629.7219623,550.4376621,0,714.6138342,591.2717347,711.9207146,832.4448868,526.3518,605.8155081,340.0618787,808.1262286,163.7650744,531.8364645,395.0466481,878.1920983,463.1140811,561.2650068,378.7122468,839.7390324,581.0690731
winnipeg,338.1000679,344.4801984,351.0465898,484.341793,527.5223303,405.7753233,262.8345183,714.6138342,0,319.1459497,404.1569045,221.0466676,203.1608761,449.3038706,377.1020803,134.3308569,603.0052101,294.2998818,360.8003338,227.9227156,338.2767362,364.2680231,345.8321419,331.3291704,224.3171417
montreal,648.2166343,638.3000855,89.98795989,351.3495838,547.9762329,616.7099359,83.64411016,591.2717347,319.1459497,0,651.1043603,538.1179849,195.5581922,131.3272759,348.56354,453.0922363,551.8023014,457.6878078,413.9737063,546.6365803,132.0669222,545.4026492,254.9126903,635.1910084,422.6239309
san_francisco,220.113494,144.0624329,632.363307,583.2938552,421.0975439,84.0220204,569.751425,711.9207146,404.1569045,651.1043603,0,281.1054423,458.5073021,775.6763811,440.7534487,350.0786699,550.8303218,217.3525673,344.9866454,337.622857,590.5212998,153.5141521,499.4487167,186.4615955,229.3255547
calgary,124.3551544,160.9295538,559.5880842,633.3298774,584.2854571,327.63986,474.6736228,832.4448868,221.0466676,538.1179849,281.1054423,0,390.2075476,669.0578741,499.1614128,98.22327551,692.2861474,313.3998602,439.4220745,58.36462919,537.1158705,333.4174599,505.9564315,130.1634541,252.7274776
chicago,484.0434039,461.3265034,178.5089375,286.9085071,394.9555612,421.2403387,112.3052316,526.3518,203.1608761,195.5581922,458.5073021,390.2075476,0,317.1761282,206.9473388,325.849901,437.1847637,262.3503248,238.8640692,415.0556661,147.7220499,350.1026086,148.4055903,465.2958181,229.1932711
halifax,779.5357234,768.7130207,153.5572886,389.20836,623.7864139,736.0174561,206.6821453,605.8155081,449.3038706,131.3272759,775.6763811,669.0578741,317.1761282,0,430.3242468,582.6735504,601.5107646,574.6023804,511.0640543,676.0113825,205.2676128,661.5114404,333.9757473,766.3039154,546.3692333
new_orleans,554.733431,505.5205747,279.3854379,144.1326306,199.4747316,372.4902477,276.4534659,340.0618787,377.1020803,348.56354,440.7534487,499.1614128,206.9473388,430.3242468,0,468.4912761,231.1485352,227.2154792,99.79625574,541.5866152,226.754731,291.7635064,96.54928308,526.1860805,255.5960127
saskatoon,222.4858764,250.5045593,484.1061334,591.9582919,584.981419,379.217469,396.4849898,808.1262286,134.3308569,453.0922363,350.0786699,98.22327551,325.849901,582.6735504,468.4912761,0,680.0002895,320.8231369,426.6999563,93.60688696,467.9972596,364.4834069,457.3200853,225.3514036,250.2314347
guatemala_city,720.0170608,656.6771133,468.4689199,212.8906983,131.9001622,467.905939,491.9417311,163.7650744,603.0052101,551.8023014,550.8303218,692.2861474,437.1847637,601.5107646,231.1485352,680.0002895,0,382.7052075,254.1111098,741.8003088,420.0891659,402.340656,303.8747627,687.1742037,439.6855275
santa_fe,339.7309993,282.6187789,425.4640163,371.266125,270.8892356,162.2730807,374.1147878,531.8364645,294.2998818,457.6878078,217.3525673,313.3998602,262.3503248,574.6023804,227.2154792,320.8231369,382.7052075,0,139.5097416,366.5253302,380.0465173,87.75328079,282.2637449,308.2631016,72.49370183
austin,478.0349132,422.1266566,357.5670294,238.6834712,167.1402167,273.8481949,334.058161,395.0466481,360.8003338,413.9737063,344.9866454,439.4220745,238.8640692,511.0640543,99.79625574,426.6999563,254.1111098,139.5097416,0,487.9364137,305.9711989,193.6211214,182.6923102,447.1992506,186.8176259
edmonton,158.3561818,210.3053264,576.9400153,671.5970231,637.0931133,385.9521848,489.6725736,878.1920983,227.9227156,546.6365803,337.622857,58.36462919,415.0556661,676.0113825,541.5866152,93.60688696,741.8003088,366.5253302,487.9364137,0,559.2549288,390.8014141,540.2674128,174.045402,302.5562572
washington,631.5280685,606.3787772,52.63582329,220.3196965,423.823482,542.2877337,93.66016199,463.1140811,338.2767362,132.0669222,590.5212998,537.1158705,147.7220499,205.2676128,226.754731,467.9972596,420.0891659,380.0465173,305.9711989,559.2549288,0,464.8302898,130.269284,612.1155517,363.8994412
phoenix,326.6358015,257.6292657,511.4127076,432.2683736,276.0641996,80.93895451,461.8093604,561.2650068,364.2680231,545.4026492,153.5141521,333.4174599,350.1026086,661.5114404,291.7635064,364.4834069,402.340656,87.75328079,193.6211214,390.8014141,464.8302898,0,359.9108139,292.2312892,142.2075768
atlanta,580.3920696,541.584152,182.8809481,138.9764859,294.1439664,440.2952854,188.4906297,378.7122468,345.8321419,254.9126903,499.4487167,505.9564315,148.4055903,333.9757473,96.54928308,457.3200853,303.8747627,282.2637449,182.6923102,540.2674128,130.269284,359.9108139,0,555.5963606,287.5250478
seattle,34.93750953,42.67455081,642.5988827,668.5971582,565.9579522,256.0676732,563.629094,839.7390324,331.3291704,635.1910084,186.4615955,130.1634541,465.2958181,766.3039154,526.1860805,225.3514036,687.1742037,308.2631016,447.1992506,174.045402,612.1155517,292.2312892,555.5963606,0,271.4836256
denver,299.2599325,254.4111856,403.8715685,397.1965233,336.1597642,198.7153019,340.6916225,581.0690731,224.3171417,422.6239309,229.3255547,252.7274776,229.1932711,546.3692333,255.5960127,250.2314347,439.6855275,72.49370183,186.8176259,302.5562572,363.8994412,142.2075768,287.5250478,271.4836256,0
