danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri,duration_ms,time_signature,key_mode,album,track,track_popularity,artist
0.654,0.782,C,-4.909,minor,0.0364,0.00325,0.000622,0.444,0.332,140.038,4hZKYsrMn0lC4k3PZLnb01,246857,4,C minor,The Journey,The Journey,23,Astronot
0.377,0.55,C,-12.429,minor,0.0499,0.0106,0.265,0.287,0.11,139.948,2Gen8hLAkbOE6r2T2XJhn0,234553,4,C minor,The Journey,Grow Up,2,Astronot
0.655,0.672,E,-10.817,minor,0.0354,0.00232,0.574,0.11,0.555,145.021,6Ya68q5VAe5VIvC7unSMwN,245656,4,E minor,The Journey,Navi,1,Astronot
0.617,0.576,A,-9.83,major,0.0678,0.00502,0,0.143,0.397,120.068,6FKm5wcmCMhBaOxiSVV7YK,245055,4,A major,The Journey,Zero Gravity (feat. Coyote 09),2,Astronot
0.676,0.544,A,-10.611,major,0.0549,0.0509,0.00323,0.232,0.22,120.03,6ko5XSa53IEc62DlNKEehO,242573,4,A major,The Journey,Zero Gravity (Instrumental),0,Astronot
0.548,0.624,E,-8.562,minor,0.0455,0.00507,3.55E-05,0.108,0.346,149.988,4whtsNjMRcAjM8duEIaTGn,275566,4,E minor,The Journey,Memories (feat. Leslie Carron),1,Astronot
0.581,0.784,E,-5.4,minor,0.0485,0.00408,0.000569,0.109,0.346,150.007,7E93JSeoQloKSojYYTZqqx,273554,4,E minor,The Journey,Memories (Instrumental),0,Astronot
0.66,0.655,G#,-8.322,minor,0.0537,0.000126,0.828,0.362,0.0735,144.89,5pLtfPgNgpqhFOi3pmBC2T,242573,4,G# minor,The Journey,Andromeda,0,Astronot
0.462,0.649,D#,-5.959,major,0.0393,0.0167,0,0.0863,0.0403,128.128,7abe5b2qHGbLkqUth285kX,364413,4,D# major,The Throes Of Winter (Remixes),A Way To Say Goodbye - Puppet Remix,29,Seven Lions
0.601,0.792,G,-6.865,major,0.07,0.00221,0.38,0.0877,0.401,124.94,6ZTM8iaIoTBpqGuVPFT5Y3,468053,4,G major,The Throes Of Winter (Remixes),The End - Birds Of Paradise Remix,25,Seven Lions
0.657,0.916,B,-2.621,minor,0.337,0.0283,6.61E-05,0.163,0.547,126.976,0LSlyiWpMGtEUnoxUP31rn,293599,4,B minor,The Throes Of Winter (Remixes),Lose Myself - Gazzo Remix,26,Seven Lions
0.506,0.883,A#,-4.747,minor,0.0372,0.000406,0.342,0.157,0.132,134.985,24ob6JXAjYDL4Xu41CZLFu,377159,4,A# minor,The Throes Of Winter (Remixes),December - Beatman & Ludmilla Remix,25,Seven Lions
0.464,0.883,G#,-4.184,major,0.0719,0.00323,2.54E-05,0.139,0.378,134.956,7g7w1Xs3cZehtN1e0kUnSo,299866,4,G# major,The Throes Of Winter (Remixes),A Way To Say Goodbye - Ricky Mears Remix,27,Seven Lions
0.565,0.75,D,-4.043,major,0.0432,0.0355,1.38E-05,0.199,0.185,127.004,4WAoSh9ymGycHZfxJSWq6a,299079,4,D major,The Throes Of Winter (Remixes),Lose Myself - Paris Blohm Remix,30,Seven Lions
0.514,0.738,D#,-6.872,major,0.0424,0.0154,0,0.284,0.175,128.078,3Klyjz0u1mHmE8n1x0PA6N,189973,4,D# major,The Throes Of Winter (Remixes),A Way To Say Goodbye - Acoustic,28,Seven Lions
0.212,0.293,D,-12.823,major,0.04,0.322,0.873,0.0609,0.0344,68.324,0pVYcwZYIKQhUmpN737Xgx,96869,5,D major,Creation,Intro,41,Seven Lions
0.469,0.764,D,-6.415,major,0.0733,0.000837,0.132,0.202,0.164,170.065,4zoTkNW6UenvTzt6js5UCV,340388,4,D major,Creation,Summer Of The Occult,41,Seven Lions
0.516,0.849,A,-4.896,minor,0.378,0.00199,1.75E-05,0.152,0.386,130.15,56WUwIcJkysSpZcsdehDWg,311272,4,A minor,Creation,Creation,36,Seven Lions
0.491,0.816,G,-4.63,major,0.0397,0.00622,0,0.512,0.424,126.008,2XPGUbPKl9CyYqj1puhFaq,188840,4,G major,Creation,Coming Home,36,Seven Lions
0.378,0.812,G,-6.197,minor,0.052,0.0011,0.489,0.179,0.114,169.998,4upriQHVBeJTtyHgnGHaOb,321478,4,G minor,Creation,The Journey,39,Seven Lions
0.482,0.828,G,-3.819,minor,0.054,0.0022,0,0.807,0.182,127.96,3g5a4r4gjgpB1DQ4Wg4srd,225015,4,G minor,Creation,Falling Away - Festival Mix (Radio Edit),43,Seven Lions
0.378,0.473,F#,-9.922,minor,0.0295,0.0889,0.889,0.0686,0.035,93.04,5jeJW9aZ17C1yaVfDSIGxR,426116,3,F# minor,Creation,Leaving Earth,47,Seven Lions
0.443,0.727,C,-5.171,minor,0.0984,0.0987,9.35E-06,0.118,0.424,74.827,720VccfW5GV9ZM4OKAAGUg,210884,4,C minor,Where I Wont Be Found,Freesol,62,Seven Lions
0.568,0.767,C,-3.634,major,0.0461,0.0919,0,0.3,0.275,129.931,3k08Cja0lw4MKJ72AyCGzU,180938,4,C major,Where I Wont Be Found,Where I Won't Be Found,49,Seven Lions
0.482,0.67,D,-4.705,minor,0.044,0.0627,0,0.127,0.151,149.992,5L4VOsq8v9HxxyuSZosBNU,264010,4,D minor,Where I Wont Be Found,Slow Dive,55,Seven Lions
0.22,0.337,F#,-8.879,minor,0.0332,0.333,0.0146,0.108,0.166,139.801,4KXInOqTj0gCgVTvzHvQuG,175795,4,F# minor,Where I Wont Be Found,Sun Won't Rise,44,Seven Lions
0.393,0.886,G#,-4.206,minor,0.223,0.0525,0,0.357,0.504,150.058,01Zr4Yhw7m2WKy2TjpFtDj,171454,4,G# minor,Where I Wont Be Found,Rescue Me,49,Seven Lions
0.518,0.713,D,-6.803,minor,0.0482,0.00154,0.00207,0.169,0.114,120.028,22eS8IQBVjZXJMQLf21GSY,258956,4,D minor,Where I Wont Be Found,Without You My Love,42,Seven Lions
0.564,0.83,D,-5.671,minor,0.0528,0.000121,0.0295,0.0519,0.248,126.024,0AanF5eMadDQeunt89Iug1,381481,4,D minor,Where I Wont Be Found,Steps of Deep Slumber,50,Seven Lions
0.434,0.788,C#,-5.682,minor,0.0696,0.00435,0,0.561,0.306,139.89,1WdhMGAc2q5gp2j049BZJy,246678,4,C# minor,Where I Wont Be Found,Silent Skies,59,Seven Lions
