mlb_id,mlb_name,mlb_pos,mlb_team,mlb_team_long,bats,throws,birth_year,bp_id,bref_id,bref_name,cbs_id,cbs_name,cbs_pos,espn_id,espn_name,espn_pos,fg_id,fg_name,fg_pos,lahman_id,nfbc_id,nfbc_name,nfbc_pos,retro_id,retro_name,debut,yahoo_id,yahoo_name,yahoo_pos,mlb_depth,ottoneu_id,ottoneu_name,ottoneu_pos
592091,A.J. Achter,P,LAA,Los Angeles Angels,R,R,1988,66919,achteaj01,A.J. Achter,2146207,A.J. Achter,RP,33637,A.J. Achter,RP,11387,A.J. Achter,P,achteaj01,9824,A.J. Achter,P,achta001,A.J. Achter,20140903,9824,A.J. Achter,RP,,18093,A.J. Achter,RP
150359,A.J. Burnett,P,PIT,Pittsburgh Pirates,R,R,1977,493,burnea.01,A.J. Burnett,21508,A.J. Burnett,SP,4153,A.J. Burnett,SP,512,A.J. Burnett,,burneaj01,6314,A.J. Burnett,P,burna001,A.J. Burnett,19990817,6314,A.J. Burnett,SP,,7183,A.J. Burnett,RP
595918,A.J. Cole,P,WSH,Washington Nationals,R,R,1992,68086,coleaj01,A.J. Cole,1839916,A.J. Cole,SP,31595,A.J. Cole,SP,11467,A.J. Cole,P,coleaj01,9638,A.J. Cole,P,colea002,A.J. Cole,20150428,9638,A.J. Cole,SP,SP6,14940,A.J. Cole,SP
454560,A.J. Ellis,C,MIA,Miami Marlins,R,R,1981,47564,ellisaj01,A.J. Ellis,1104367,A.J. Ellis,C,29258,A.J. Ellis,C,5677,A.J. Ellis,C,ellisaj01,8373,A.J. Ellis,C,ellia001,A.J. Ellis,20080915,8373,A.J. Ellis,C,C2,1543,A.J. Ellis,C
456167,A.J. Griffin,P,TEX,Texas Rangers,R,R,1988,65757,griffaj01,A.J. Griffin,1974327,A.J. Griffin,SP,32559,A.J. Griffin,SP,11132,A.J. Griffin,P,griffaj01,9220,A.J. Griffin,P,grifa002,A.J. Griffin,20120624,9220,A.J. Griffin,SP,SP5,13764,A.J. Griffin,SP
543362,A.J. Jimenez,C,TEX,Texas Rangers,R,R,1990,58320,jimenaj01,A.J. Jimenez,1798970,A.J. Jimenez,C,31050,A.J. Jimenez,C,7077,A.J. Jimenez,C,,10813,A.J. Jimenez,C,,,20170906,,,,,17777,A.J. Jimenez,C
621345,A.J. Minter,P,ATL,Atlanta Braves,L,L,1993,108235,minteaj01,A.J. Minter,2449982,A.J. Minter,RP,36133,A.J. Minter,RP,18655,A.J. Minter,P,,10794,A.J. Minter,P,,,20170823,,,,,23679,A.J. Minter,RP
571963,A.J. Morris,P,CIN,Cincinnati Reds,R,R,1986,60630,morriaj01,A.J. Morris,2119768,A.J. Morris,RP,31602,A.J. Morris,RP,9919,A.J. Morris,P,morriaj01,10301,A.J. Morris,P,morra002,A.J. Morris,20160524,10301,A.J. Morris,RP,,12432,A.J. Morris,SP/RP
150229,A.J. Pierzynski,C,ATL,Atlanta Braves,L,R,1976,1501,pierza.01,A.J. Pierzynski,18720,A.J. Pierzynski,C,3948,A.J. Pierzynski,C,746,A.J. Pierzynski,,pierzaj01,6109,A.J. Pierzynski,C,piera001,A.J. Pierzynski,19980909,6109,A.J. Pierzynski,C,,15276,A.J. Pierzynski,C
572041,A.J. Pollock,CF,ARI,Arizona Diamondbacks,R,R,1987,60932,polloaj01,A.J. Pollock,1740992,A.J. Pollock,CF,30699,A.J. Pollock,CF,9256,A.J. Pollock,OF,polloaj01,9157,A.J. Pollock,CF,polla001,A.J. Pollock,20120418,9157,A.J. Pollock,CF,CF1,12258,A.J. Pollock,OF
573109,A.J. Ramos,P,NYM,New York Mets,R,R,1986,60504,ramosaj01,AJ Ramos,1945284,AJ Ramos,RP,32104,AJ Ramos,RP,8350,A.J. Ramos,P,ramosaj01,9298,AJ Ramos,P,ramoa001,A.J. Ramos,20120904,9298,AJ Ramos,RP,RP1,6127,Alejandro Ramos,RP
607223,A.J. Reed,1B,HOU,Houston Astros,L,L,1993,70972,reedaj01,A.J. Reed,2165914,AJ Reed,1B,33674,AJ Reed,1B,16246,A.J. Reed,1B,reedaj01,10184,AJ Reed,1B,reeda002,A.J. Reed,20160625,10184,AJ Reed,1B,1B4,18384,A.J. Reed,1B
519263,A.J. Schugel,P,PIT,Pittsburgh Pirates,R,R,1989,65910,schugaj01,A.J. Schugel,1953535,A.J. Schugel,RP,32202,A.J. Schugel,RP,11432,A.J. Schugel,P,schugaj01,9927,A.J. Schugel,P,schua001,A.J. Schugel,20150412,9927,A.J. Schugel,RP,RP7,13794,AJ Schugel,RP
571437,Aaron Altherr,RF,PHI,Philadelphia Phillies,R,R,1991,59584,altheaa01,Aaron Altherr,2107840,Aaron Altherr,RF,31738,Aaron Altherr,RF,11270,Aaron Altherr,OF,altheaa01,9734,Aaron Altherr,LF,altha001,Aaron Altherr,20140616,9734,Aaron Altherr,LF,LF2,12359,Aaron Altherr,OF
502578,Aaron Barrett,P,WSH,Washington Nationals,R,R,1988,65829,barreaa01,Aaron Barrett,2052550,Aaron Barrett,RP,33005,Aaron Barrett,RP,11243,Aaron Barrett,P,barreaa01,9650,Aaron Barrett,P,barra001,Aaron Barrett,20140331,9650,Aaron Barrett,RP,,13631,Aaron Barrett,RP
594760,Aaron Blair,P,ATL,Atlanta Braves,R,R,1992,68746,blairaa01,Aaron Blair,2066705,Aaron Blair,SP,33186,Aaron Blair,SP,14934,Aaron Blair,P,blairaa01,9852,Aaron Blair,P,blaia001,Aaron Blair,20160424,9852,Aaron Blair,SP,SP7,18428,Aaron Blair,SP
