duration,offer,lapse,price,gender,age
766,30,152,-8.97,0,37
405,20,73,16.66,1,32
623,20,120,9.85,0,69
480,25,102,31.02,0,32
411,20,72,37.24,0,60
645,30,72,0,0,47
1136,25,112,-25.78,1,35
374,30,110,17.23,1,55
1335,25,44,0,0,62
561,30,12,-28.19,1,51
1031,30,48,-17.04,0,53
824,30,153,28.9,0,39
762,30,36,-30.11,1,26
965,25,150,0,0,71
1059,20,124,-11.08,0,38
815,20,108,16.3,0,39
681,30,109,0,1,69
938,25,77,0,0,41
707,30,103,9.24,0,33
696,20,124,0,1,30
746,30,119,-19.64,0,58
961,20,45,-37.44,1,71
919,20,46,0,1,32
410,20,77,0,1,30
708,30,154,9.4,0,63
1477,30,72,-9.68,1,42
671,20,109,0,0,50
572,30,127,18.78,0,39
1316,20,105,-20.46,0,72
704,20,16,39.44,1,47
1032,30,36,-10.53,1,70
925,25,198,0,1,47
692,25,101,0,0,44
731,30,69,0,1,50
537,25,105,0,0,49
500,30,81,-28.47,0,28
378,20,106,18.51,0,43
803,20,41,-27.12,0,40
609,25,107,0,0,27
594,20,95,-27.78,0,36
779,25,85,0,0,69
740,20,131,-11.73,1,51
1009,20,23,0,0,70
858,30,86,0,1,48
655,20,74,1.48,1,45
447,30,52,0,0,54
489,30,67,0,0,69
1438,25,64,0,1,43
125,30,118,18.07,1,31
820,20,47,0,1,30
1027,30,51,0,1,58
577,20,56,0,0,75
31,25,45,31.99,0,56
509,25,63,0,0,38
402,25,31,0,1,38
286,20,29,38.32,0,44
74,30,53,38.88,1,71
910,30,71,0,1,47
1079,20,79,0,1,28
930,30,61,0,0,70
695,30,68,10.97,1,70
1147,20,64,-34.13,0,29
286,30,98,0,0,45
439,30,65,0,0,29
283,30,89,25.86,1,41
834,25,93,0,1,31
475,30,51,0,0,57
460,30,136,0,0,62
416,30,53,0,0,44
524,30,46,0.23,1,64
837,25,108,-8.95,0,64
551,30,98,0,1,57
851,20,86,-25.44,0,29
430,25,51,11.3,0,53
553,30,165,-17.72,1,38
623,25,63,-1.36,0,58
273,25,12,0,1,62
562,30,86,0,1,40
992,25,63,26.37,1,62
985,20,118,-2.86,1,67
990,30,81,0,0,36
496,25,32,9.98,1,52
301,20,41,13.56,0,70
718,20,123,3.84,1,40
923,30,62,-25.24,1,68
510,20,153,0,0,51
1060,25,144,25.28,1,39
939,25,39,0,0,28
620,30,120,0,0,52
977,20,16,-28.48,0,41
499,20,12,-14.73,1,72
550,25,131,-0.54,1,72
966,30,69,-17.67,0,65
