song_name,artist,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Scotland,The Lumineers,3FWWh7YVaOwq1PurKgLWnh,0.581,0.604,10,-9.303,0,0.0256,0.0163,0.0321,0.106,0.208,96.97,audio_features,3FWWh7YVaOwq1PurKgLWnh,spotify:track:3FWWh7YVaOwq1PurKgLWnh,https://api.spotify.com/v1/tracks/3FWWh7YVaOwq1PurKgLWnh,https://api.spotify.com/v1/audio-analysis/3FWWh7YVaOwq1PurKgLWnh,228481,3
The Chicken Wing Beat,I have no idea- youtube says Ricky Desktop,4SgacK8EAeeP6tYklRIzJx,0.766,0.281,1,-8.698,1,0.623,0.814,0.0415,0.0882,0.556,137.246,audio_features,4SgacK8EAeeP6tYklRIzJx,spotify:track:4SgacK8EAeeP6tYklRIzJx,https://api.spotify.com/v1/tracks/4SgacK8EAeeP6tYklRIzJx,https://api.spotify.com/v1/audio-analysis/4SgacK8EAeeP6tYklRIzJx,60109,4
Cha Cha Slide,DJ Casper,3Xv5C02Wxlek0dmrYAM5A8,0.978,0.695,6,-5.746,1,0.213,0.00126,5.01e-5,0.284,0.496,122.027,audio_features,3Xv5C02Wxlek0dmrYAM5A8,spotify:track:3Xv5C02Wxlek0dmrYAM5A8,https://api.spotify.com/v1/tracks/3Xv5C02Wxlek0dmrYAM5A8,https://api.spotify.com/v1/audio-analysis/3Xv5C02Wxlek0dmrYAM5A8,387493,4
Lights go Down,Zeds Dead,1UOWNaUMhOxXxSZHGhVDVj,0.593,0.917,1,-3.738,0,0.0909,0.38,0.0052,0.29,0.262,170.033,audio_features,1UOWNaUMhOxXxSZHGhVDVj,spotify:track:1UOWNaUMhOxXxSZHGhVDVj,https://api.spotify.com/v1/tracks/1UOWNaUMhOxXxSZHGhVDVj,https://api.spotify.com/v1/audio-analysis/1UOWNaUMhOxXxSZHGhVDVj,213187,4
Downfall of Us All,A Day To Remember,6G7URf5rGe6MvNoiTtNEP7,0.589,0.881,0,-4.62,1,0.0666,2.56e-4,0,0.327,0.709,129.95,audio_features,6G7URf5rGe6MvNoiTtNEP7,spotify:track:6G7URf5rGe6MvNoiTtNEP7,https://api.spotify.com/v1/tracks/6G7URf5rGe6MvNoiTtNEP7,https://api.spotify.com/v1/audio-analysis/6G7URf5rGe6MvNoiTtNEP7,209093,4
Clear,Needtobreathe,3fq09awXzr1ghRFhvOMZsi,0.422,0.503,5,-8.553,1,0.0273,0.203,0.0029,0.11,0.19,155.996,audio_features,3fq09awXzr1ghRFhvOMZsi,spotify:track:3fq09awXzr1ghRFhvOMZsi,https://api.spotify.com/v1/tracks/3fq09awXzr1ghRFhvOMZsi,https://api.spotify.com/v1/audio-analysis/3fq09awXzr1ghRFhvOMZsi,411080,4
waves - Tame Impala Remix,"Miguel, Tame Impala",3lB0GMiI5KxDbTOG8V3bOx,0.529,0.894,2,-3.599,1,0.0412,0.308,5.38e-6,0.254,0.543,108.024,audio_features,3lB0GMiI5KxDbTOG8V3bOx,spotify:track:3lB0GMiI5KxDbTOG8V3bOx,https://api.spotify.com/v1/tracks/3lB0GMiI5KxDbTOG8V3bOx,https://api.spotify.com/v1/audio-analysis/3lB0GMiI5KxDbTOG8V3bOx,253347,4
YMCA,Village People,7Cp69rNBwU0gaFT8zxExlE,0.715,0.951,6,-6.488,1,0.132,0.152,0,0.302,0.671,126.643,audio_features,7Cp69rNBwU0gaFT8zxExlE,spotify:track:7Cp69rNBwU0gaFT8zxExlE,https://api.spotify.com/v1/tracks/7Cp69rNBwU0gaFT8zxExlE,https://api.spotify.com/v1/audio-analysis/7Cp69rNBwU0gaFT8zxExlE,284867,4
Ode to Viceroy,Mac Demarco,601KiLiZtBJRTXBrTjeieP,0.514,0.632,2,-6.305,1,0.0501,0.208,0.0132,0.115,0.31,94.569,audio_features,601KiLiZtBJRTXBrTjeieP,spotify:track:601KiLiZtBJRTXBrTjeieP,https://api.spotify.com/v1/tracks/601KiLiZtBJRTXBrTjeieP,https://api.spotify.com/v1/audio-analysis/601KiLiZtBJRTXBrTjeieP,233818,4
Granted,Josh Groban,3hwtcazrCEBhKtrbnZPtOP,0.465,0.558,0,-6.369,1,0.0293,0.575,7.34e-4,0.139,0.249,123.984,audio_features,3hwtcazrCEBhKtrbnZPtOP,spotify:track:3hwtcazrCEBhKtrbnZPtOP,https://api.spotify.com/v1/tracks/3hwtcazrCEBhKtrbnZPtOP,https://api.spotify.com/v1/audio-analysis/3hwtcazrCEBhKtrbnZPtOP,279600,4
