objectid,objectid_1,input_fid,near_fid,distance,distmet,distmiles,from_county,fromschoolnum,fromschool,fromlat,fromlon,tocounty,toschoolnum,toschoolname,tolat,tolon,tsid,fsid,tcoid,fcoid,copairid,from_lat_lon,to_lat_lon,drive_time,commute_dist
236,236,0,33,0.58940768,65506.184,40.703644,ALACHUA,161,ALACHUA ELEMENTARY SCHOOL,29.79541,-82.492447,BAKER,91,WESTSIDE ELEMENTARY SCHOOL,30.280935,-82.158279,38,10,2,1,1,29.79541+-82.492447,30.280935+-82.158279,54.666666666666664,44.75053189374055
15431,15431,33,27,0.60315299,67033.82,41.65287,BAKER,91,WESTSIDE ELEMENTARY SCHOOL,30.280935,-82.158279,ALACHUA,571,W. W. IRBY ELEMENTARY SCHOOL,29.779131,-82.492928,32,38,1,2,1,30.280935+-82.158279,29.779131+-82.492928,57.5,45.81369800365863
12553,12553,25,33,0.60940862,67729.063,42.084877,ALACHUA,950,THE ONE ROOM SCHOOL HOUSE PROJECT,29.689863,-82.306648,BAKER,91,WESTSIDE ELEMENTARY SCHOOL,30.280935,-82.158279,38,29,2,1,1,29.689863+-82.306648,30.280935+-82.158279,59.8,51.01892448103078
14525,14525,30,25,0.61391056,68229.406,42.395775,BAKER,31,J FRANKLYN KELLER INTERMEDIATE SCHOOL,30.277275,-82.128227,ALACHUA,950,THE ONE ROOM SCHOOL HOUSE PROJECT,29.689863,-82.306648,30,37,1,2,1,30.277275+-82.128227,29.689863+-82.306648,61.916666666666664,51.51229320766722
15452,15452,33,2,0.61633909,68499.313,42.563484,BAKER,91,WESTSIDE ELEMENTARY SCHOOL,30.280935,-82.158279,ALACHUA,541,C. W. NORTON ELEMENTARY SCHOOL,29.696526,-82.354088,3,38,1,2,1,30.280935+-82.158279,29.696526+-82.354088,61.13333333333333,48.955350751610595
12499,12499,25,57,0.31886026,35437.813,22.020029,ALACHUA,950,THE ONE ROOM SCHOOL HOUSE PROJECT,29.689863,-82.306648,BRADFORD,81,SOUTHSIDE ELEMENTARY SCHOOL,29.935579,-82.103439,70,29,4,1,2,29.689863+-82.306648,29.935579+-82.103439,29.833333333333332,24.177553089954664
19127,19127,58,25,0.32023278,35590.348,22.114811,BRADFORD,51,STARKE ELEMENTARY SCHOOL,29.95179,-82.122414,ALACHUA,950,THE ONE ROOM SCHOOL HOUSE PROJECT,29.689863,-82.306648,30,67,1,4,2,29.95179+-82.122414,29.689863+-82.306648,33.6,24.82626461465044
12498,12498,25,58,0.32023278,35590.348,22.114811,ALACHUA,950,THE ONE ROOM SCHOOL HOUSE PROJECT,29.689863,-82.306648,BRADFORD,51,STARKE ELEMENTARY SCHOOL,29.95179,-82.122414,71,29,4,1,2,29.689863+-82.306648,29.95179+-82.122414,32.31666666666667,24.683349240435852
3774,3774,7,58,0.32304946,35903.395,22.309326,ALACHUA,492,FEARNSIDE FAMILY SERVICES CENTER,29.685831,-82.305786,BRADFORD,51,STARKE ELEMENTARY SCHOOL,29.95179,-82.122414,71,19,4,1,2,29.685831+-82.305786,29.95179+-82.122414,32.86666666666667,24.680863755666905
9136,9136,18,57,0.32351583,35955.227,22.341536,ALACHUA,341,MARJORIE KINNAN RAWLINGS ELEM,29.68434,-82.307251,BRADFORD,81,SOUTHSIDE ELEMENTARY SCHOOL,29.935579,-82.103439,70,16,4,1,2,29.68434+-82.307251,29.935579+-82.103439,31.966666666666665,24.345323311858746
139447,139447,284,20,0.56278849,62547.75,38.865356,CITRUS,181,CITRUS SPRINGS ELEMENTARY SCHOOL,28.980583,-82.494537,ALACHUA,951,MICANOPY AREA COOPERATIVE SCHOOL INC.,29.504831,-82.289848,23,326,1,9,3,28.980583+-82.494537,29.504831+-82.289848,61.3,46.39343732601606
9942,9942,20,287,0.61540937,68395.977,42.499279,ALACHUA,951,MICANOPY AREA COOPERATIVE SCHOOL INC.,29.504831,-82.289848,CITRUS,171,HERNANDO ELEMENTARY SCHOOL,28.896627,-82.383759,322,30,9,1,3,29.504831+-82.289848,28.896627+-82.383759,58.916666666666664,48.86214507277499
141834,141834,287,20,0.61540937,68395.977,42.499279,CITRUS,171,HERNANDO ELEMENTARY SCHOOL,28.896627,-82.383759,ALACHUA,951,MICANOPY AREA COOPERATIVE SCHOOL INC.,29.504831,-82.289848,23,325,1,9,3,28.896627+-82.383759,29.504831+-82.289848,54.93333333333333,48.60738288395768
9943,9943,20,286,0.61958897,68860.5,42.787918,ALACHUA,951,MICANOPY AREA COOPERATIVE SCHOOL INC.,29.504831,-82.289848,CITRUS,25,FOREST RIDGE ELEMENTARY SCHOOL,28.9048,-82.444298,321,30,9,1,3,29.504831+-82.289848,28.9048+-82.444298,61.416666666666664,51.58996460669689
141019,141019,286,20,0.61958897,68860.5,42.787918,CITRUS,25,FOREST RIDGE ELEMENTARY SCHOOL,28.9048,-82.444298,ALACHUA,951,MICANOPY AREA COOPERATIVE SCHOOL INC.,29.504831,-82.289848,23,319,1,9,3,28.9048+-82.444298,29.504831+-82.289848,58.75,51.38864034041199
2217,2217,4,301,0.19281016,21428.73,13.315191,ALACHUA,281,CHESTER SHELL ELEMENTARY SCHL,29.593885,-82.090927,CLAY,301,KEYSTONE HEIGHTS ELEMENTARY,29.779119,-82.037407,336,12,10,1,4,29.593885+-82.090927,29.779119+-82.037407,22.933333333333334,16.125203809751053
149195,149195,301,4,0.19281016,21428.73,13.315191,CLAY,301,KEYSTONE HEIGHTS ELEMENTARY,29.779119,-82.037407,ALACHUA,281,CHESTER SHELL ELEMENTARY SCHL,29.593885,-82.090927,5,334,1,10,4,29.779119+-82.037407,29.593885+-82.090927,23.766666666666666,16.817411317903442
149240,149240,301,15,0.26762646,29743.738,18.481895,CLAY,301,KEYSTONE HEIGHTS ELEMENTARY,29.779119,-82.037407,ALACHUA,71,LAKE FOREST ELEMENTARY SCHOOL,29.647249,-82.270287,18,334,1,10,4,29.779119+-82.037407,29.647249+-82.270287,28.416666666666668,22.19040801717967
149217,149217,301,25,0.28365386,31525.004,19.588724,CLAY,301,KEYSTONE HEIGHTS ELEMENTARY,29.779119,-82.037407,ALACHUA,950,THE ONE ROOM SCHOOL HOUSE PROJECT,29.689863,-82.306648,30,334,1,10,4,29.779119+-82.037407,29.689863+-82.306648,29.8,23.638824266284896
12463,12463,25,301,0.28365386,31525.004,19.588724,ALACHUA,950,THE ONE ROOM SCHOOL HOUSE PROJECT,29.689863,-82.306648,CLAY,301,KEYSTONE HEIGHTS ELEMENTARY,29.779119,-82.037407,336,29,10,1,4,29.689863+-82.306648,29.779119+-82.037407,35.35,23.046657520082718
167832,167832,352,0,0.25685164,28546.234,17.737803,COLUMBIA,121,FORT WHITE ELEMENTARY SCHOOL,29.926691,-82.713219,ALACHUA,161,ALACHUA ELEMENTARY SCHOOL,29.79541,-82.492447,1,387,1,12,5,29.926691+-82.713219,29.79541+-82.492447,28.083333333333332,17.91102461624115
13349,13349,27,352,0.26514596,29468.055,18.310595,ALACHUA,571,W. W. IRBY ELEMENTARY SCHOOL,29.779131,-82.492928,COLUMBIA,121,FORT WHITE ELEMENTARY SCHOOL,29.926691,-82.713219,387,28,12,1,5,29.779131+-82.492928,29.926691+-82.713219,25.766666666666666,17.840809671518333
166891,166891,349,1841,0.26792797,29777.248,18.502718,COLUMBIA,261,COLUMBIA CITY ELEMENTARY SCHOOL,30.080526,-82.696281,ALACHUA,461,HIGH SPRINGS COMMUNITY SCHOOL,29.8344,-82.590416,12,390,1,12,5,30.080526+-82.696281,29.8344+-82.590416,27.15,26.36664380020679
167804,167804,352,22,0.30555204,33958.746,21.100981,COLUMBIA,121,FORT WHITE ELEMENTARY SCHOOL,29.926691,-82.713219,ALACHUA,531,NEWBERRY ELEMENTARY SCHOOL,29.637859,-82.613525,25,387,1,12,5,29.926691+-82.713219,29.637859+-82.613525,34.3,24.68148512685914
1014357,1014357,1841,358,0.33679581,37431.148,23.258631,ALACHUA,461,HIGH SPRINGS COMMUNITY SCHOOL,29.8344,-82.590416,COLUMBIA,271,WESTSIDE ELEMENTARY SCHOOL,30.153028,-82.699539,393,17,12,1,5,29.8344+-82.590416,30.153028+-82.699539,30.85,30.194911715581007
273556,273556,562,22,0.36743641,40836.516,25.374626,DIXIE,41,OLD TOWN ELEMENTARY SCHOOL,29.592583,-82.978157,ALACHUA,531,NEWBERRY ELEMENTARY SCHOOL,29.637859,-82.613525,25,397,1,14,6,29.592583+-82.978157,29.637859+-82.613525,30.15,24.369556788356
