treatment,yield
control,0.827415583
control,3.612627509
control,2.619258092
control,1.741219001
control,0.659058907
control,0.489110674
control,0.107882673
control,0.191069119
control,2.975662122
control,1.515091875
nitogen,3.007918169
nitrogen,1.171815603
nitrogen,0.607055067
nitrogen,4.235874031
nitrogen,1.713683048
nitrogen,4.230293659
nitrogen,2.833388671
nitrogen,1.58176348
nitrogen,0.785866042
nitrogen,2.732240312
phosphorus,0.023420466
phosphorus,0.108355863
phosphorus,1.804177357
phosphorus,3.847526437
phosphorus,0.167943657
phosphorus,2.446301181
phosphorus,2.346838684
phosphorus,4.083904932
phosphorus,1.292035918
phosphorus,2.638777326
both N and P,3.360026532
both N and P,6.277272499
both N and P,4.560968384
both N and P,5.644173399
both N and P,1.500993584
both N and P,3.003610943
both N and P,2.943975624
both N and P,2.149358583
both N and P,5.038073245
both N and P,0.323390008
