due_date,comments
document_01,"I enjoyed the way she explained and differentiated support and confidence, in that support is based on the probability of both sets occurring together, while confidence is the probability that those items occur together given that the person has the same set of items X already themselves. "
document_01,"Here is a research proposal paper about the Application of Data Mining Techniques to Find Relationships Between the Dishes Offered by a Restaurant for the Elaboration of Combos Based on the Preferences of the Diners.  ( )The research paper presents the implementation of a system that serves as support to help elaborate comb preferences diners have by using data mining and association rule mining to find key relationships based on what they frequently order. Some of their research included using the Apriori Algorithm, which presented the options of a list of suggested combos of the selected restaurant and the list of dishes that are sold together with a dish that the diner has selected. In reading the conclusion, the authors decided that after investigating multiple methodologies, using the Apriori Algorithm appeared to be the best, and that ""the algorithm yield(s) the frequent items within a transaction base, which guarantees that the combos suggested by the algorithm are obtained based on the preferences of the diners, acting in the same way to obtain the elements that are frequently acquired with a selected element."""
document_01,The way she explained how transactions even on a large scale can be mostly predictable was very interesting to me. the large web diagram that she showed with all the products a person was buying and how each correlated or did not correlate with each other was an interesting practice that I didn't know supermarkets used.
document_01,"The research paper I choose is ""Pushing support constraints into association rules mining"". https://ieeexplore.ieee.org/abstract/document/1198396 ( )"
document_01,"This document is about using association rules mining to examine support constraints and improve you businesses support system. By looking at the patterns at the different levels of support appear we can understand how to improve our support systems. "" Our approach is to ""push"" support constraints into the Apriori itemset generation so that the ""best"" minimum support is determined for each itemset at runtime to preserve the essence of Apriori."""
document_01,"As someone who actually enjoyed Statistics (and was also my better performing math classes) I very much like how she presented as the transaction data as essentially probability, in which it pretty much is.  Which makes it much easier for my head to understand and then jump into the newer jargon such as Support and Lift."
document_01,"A paper that I have found called Privacy-preserving association rule mining for horizontally partitioned healthcare data: a case study on the heart diseases goes about to help in making association rule mining in Electronic Healthcare Records (EHRs) abide by the confidentiality laws that are in place with health records.  Because in order for association rule mining to work in healthcare, data will need to be shared but in doing so would break patient confidentiality.  Their solution is to implement Privacy-preserving Distributed Association Rule Mining (PPDARM), with a secure algorithm on horizontally partitioned data with the added ability to be extended to vertically partitioned EHRs."
document_01,https://link.springer.com/article/10.1007/s12046-018-0916-9 ( )
document_01,great post!
document_01,"The primary thing I love about these data presentations is how much twitter has become a big part of them. For some reason, Twitter has become a super easy and interesting dataset that can change daily and has millions of records to access. It provides a great platform for examples like the one in the presentation. "
document_01,"I find ARM interesting, and so far we have only used APRIORI. I looked up papers about different methods and found this paper by ISSN from Research India Publications. ( ) To say I was overwhelmed was an understatement! The paper essentially summarizes and looks at a bunch of ARM methods and algorithms and discusses their invention. There are tons of different methods like DHP which is a hash based version of APRIORI that aims for efficiency. There is also a newer algorithm from 2005 called Recursive Elimination which makes a linked list to simplify the process and visualization. Another interesting point the paper brought up is that some algorithms were built specifically for niche implementations. "
document_01,"I very much enjoyed the video, I found it extremely informative and relatable . I thought that the way that Dr. Gates presented and worded the way that association rule mining works allowed for greater utilization of the process.  I also found it extremely relatable in her discussion of the relationship that one needs to make with R Code in data analysis. The ability to calculate lift associated with a group of variables allows for the researcher to better understand which variables (and by association their superscripts) have the most association with others. "
document_01,"Share the name of the paper, a short description of the main results (check the abstract and conclusions of the paper), and a direct link to the work."
document_01,"The article that I found interesting in the field of association rule mining is titled: ""Application of Association Rule Mining and Social Network Analysis for Understanding Causality of Construction Defects ( )"" posted by MPDI in 2019. The goal of the analysis was to use Association Rule Mining and social network analysis to log and categorize the causality of defects that occur on a construction site. The suggested approach was applied to 2949 defect instances that were logged through the completion of a project. Through this application, it was confirmed that the proposed approach can systematically identify and quantify causality among defect causes."
document_01,I found the presentation very interesting. It was a great review of the basics of association rule mining and some practical applications of it. Being able to find rules among tweets or among the contents of your grocery basket really shows how you can use ARM for many different things. I also liked how she talked about how she cleaned the data since it is really important but not always mentioned.
document_01,AR-ANN: Incorporating Association Rule Mining in Artificial Neural Network for Thyroid Disease Knowledge Discovery and Diagnosis. ( )
document_01,This paper describes a use of Association Rule Mining for thyroid disease analysis. ARM is used to determine which qualities of a patient contribute to thyroid disease. The study shows how the rules created shows that age and sex are the most important characteristics for determining whether someone has thyroid disease. The knowledge generated by these rules can then be feed into a neural network. It is quite interesting how Association Rule Mining is used as a type of dimensionality reduction by showing what features are most important for diagnosing thyroid disease.
document_01,I liked seeing Ami Gates' illustrations of moving from Basket to Single to Sparse Matrix transaction data representation. It was worth noting that she said transaction ID numbers are unnecessary. It is clear from her presentation that other applications of transaction data require a lot of data formatting and cleaning.
document_01,Discovering the relationships between yarn and fabric properties using association rule mining ( ) from the Turkish Journal of Electrical Engineering & Computer Sciences
document_01,"The research paper explores the effects of yarn parameters on fabric quality and also finding important parameters to achieve desired fabric properties. Specific properties of materials are known, but as the authors state ""Data mining plays an important role in discovering hidden patterns from fabric data and transforming it into knowledge."" The researchers used the Apriori algorithm, frequent pattern growth, and Equivalence Class Clustering and bottom-up Lattice Traversal (Eclat). They applied these algorithms to a yarn and fabric dataset to discover relationships among a set of yarn parameters (i.e. hairiness, capillary, and diameter) and fabric properties (i.e. pilling, wrinkle, and bending rigidity). The study's experimental results discovered a set of association rules that demonstrate that the association rule mining method is a viable approach to discovering rules on textile data. The authors mention that they have more areas to investigate, such as negative rules, and the effectiveness of their novel approaches such as cf-item and mf-item to perform single item-based data analysis."
document_01,"Something I found very helpful was the way she explained support, confidence, and lift. As she said in the video, the examples helped me ""feel"" what each of those means. I also found it decently funny that the data in one of her slides said ""chocloate"" instead of ""chocolate."" Making tweets into transactions was also very interesting to me. It makes me think about possible applications beyond the items people buy together at stores. Very cool!"
document_01,"After a bit of searching, I found a paper on a topic that is both interesting and something I didn't know existed up to this point: the intersection of data and coffee. I worked for a local shop called Concord Coffee for a year before quitting to do research at the university, along with some other shops for a few years before that, and coffee still holds a very special place in my heart. In ""Correlating Espresso Quality with Coffee-Machine Parameters by Means of Association Rule Mining,""  ( )Apiletti and Pastor explore the quality evaluation of espresso through association rule mining, rather than the traditional method of expert tasting. They validated the rules you learn while training as a barista, such as balancing the amount of coffee, the grind settings, and machine pressure. The study found that the most important external factors outside of industry-level factors (coffee type, roast characteristics, etc) are directly controlled by the barista. For instance, pressure (a factor determined by the machine and often not easily changed) is much less important than the grind settings and coffee amount (two things that can be changed each shot). An interesting, but not directly related, statistic that was brought up was the fact that 97% of Italian adults have at least one shot of espresso every day. There were a lot of other interesting finds, but I'm not going to bore everyone by ranting about coffee."
document_01,I really liked learning about the arulesViz graphic she used. I didn't realize you could make an interactive graph in R. It very clearly shows the support and confidence of each association.
document_01,http://www.ijsrp.org/research-paper-0714/ijsrp-p3158.pdf ( )
document_01,"This article shows how association rule mining techniques can be used to improve the field of agriculture. Some examples are, collecting summary information about crop production to make algorithms to help with decision making. This can help the farmers identify the different crop losses and prevent them in future. Also, researchers are designing an effective risk management system using extreme rainfall events and climatic indices to trace frequent occurrences of droughts and floods. "
document_01,I really enjoyed this presentation.  Two things I took away from this lecture was the term interestingness and also that the Apriori Algorithm handles pruning and efficiency very similar to the AI Game Theory Minimax with Alpha-Beta pruning.  
document_01,I found an interesting research paper combining both association rule mining and Dota 2.
document_01,https://www.researchgate.net/publication/328434167_Analysis_of_Players_Transfers_in_Esports_The_Case_of_Dota_2 ( )
document_01,This paper is an analysis using association rule mining to see relationships between pro Dota 2 players moving to other teams.  It was found two of the biggest reasons were the region of the world the player was from and if they were a TI(The Grand Championship of Dota) winner or not.
document_01,"I found the part where Dr. Gates mentioned people had created a list of the happiest cities based on tweets from each city using geo-data very interesting. I never would have guessed Boulder, Colorado would be one of the happiest. I wish she would have talked a little bit more about the group’s methodology for that experiment. "
document_01,"There was an economic study done in 2012 at the Hong Kong Polytechnic University that used association rule mining to determine the effects of global market indexes, GDP, and other economic indicators have on the Hang Seng Index. The result was finding a satisfactory model generated by association rule mining, so this study, named “Using a fuzzy association rule mining approach to identify the financial data association”, ended up combining association rule mining with statistical learning methods! "
document_01,Link: https://www.sciencedirect.com/science/article/pii/S0957417412002916 ( )
document_01,"This was a great talk overall! I loved her energy, and it kept me engaged from start to finish. Her review of what association rule mining was really good to bring together a lot of concepts we have seen in class. It was interesting to hear about how she cleaned the data from twitter/twitteR and how to use association rules for things that you might not traditionally think of as ""transactions."" Cleaning always seems like the hardest part of data analysis. "
document_01,"I found this article ( ) on how association rule mining was used to suggest that owning pets (particularly cats and dogs) likely reduces the risk of developing heart disease. It's something I have heard of in the past, but always assumed that this study was conducted via blood pressure cuffs and large groups of people, not the Apriori algorithm. It was interesting to see that the outcome wasn't necessarily that animals lowered stress (what seems to be the most common explanation on the topic), but a large contribution is that animals force people to stay more active, mentally and physically. "
document_01,"The presenter was clearly very passionate about R and association rules, which made the video easier to understand and stay with. She had some very helpful visuals, such as the arulesViz plot about chocolate and the related words."
document_01,"My only personality trait is liking baseball, so I tried to find something about baseball. Unfortunately, I could not find anything. However, I did find this ( ) paper titled ""Applying Association Rule Mining to analyze the performance of Indian Cricket Team in T20"". I don't know anything about cricket, but it seemed close enough. The authors of this paper used association rule mining to try and find factors that could lead to winning games. One thing they found was that when India bats first against a team called SI and scores less than 150 runs, they usually lose. They also found that India performs better in the T20 cricket format than the ODI format. They provided this and more information to the managers of the Indian team so that they could possibly improve their performance. Being still kinda lost in this subject I don't know what else to pull from this but I'm sure it's full of interesting stuff!"
