news_date,news_title,news_summary
2023-04-13,"Purple Fire Robotics team tops U.S. combat bot stats, readies for national championship","Florida Polytechnic University student Russell Williams has spent the last two years building and refining a combat robot that has become the No. 2 robot in the country in its class. In just a few weeks, the robot could battle its way to ending the season as the top bot in its category nationally."
2023-04-12,Q&A: Phoenix proud to be one of Florida Poly's first applied mathematics grads,"David Schindler '23 is excited to receive his bachelor's degree in applied mathematics with a concentration in data science from Florida Polytechnic University on May 7. Schindler, from Philadelphia, Pennsylvania, was part of the Campus Activity Board and Math Club, and also worked for the Office of Residential Life during his time at the University. He is a graduate of George Washington Carver High School of Engineering and Science in Philadelphia and is looking forward to starting his high-tech career."
2023-04-07,Florida Poly to carry out Board of Governors amended cybersecurity regulation,"Florida Poly, alongside the other institutions in the State University System (SUS), is taking immediate steps to comply with the Florida Board of Governors' emergency amendment to Regulation 3.0075 - Security of Data and Related Information Technology Resources, which was adopted March 29."
2023-04-06,Q&A: Grad dreams of making impact with transportation data analysis,"Isabella Morales '23 will receive her bachelor's degree in data science with a concentration in intelligent mobility from Florida Polytechnic University on May 7. The student from Brandon, Florida, is set on making an impact on the world of public transportation, starting by earning her master's degree in data science at Florida Poly. She is a graduate of Middleton Magnet High School and is determined to do everything she can to achieve her dreams."
2023-04-05,Florida Poly inks international partnership with Fulbright Portugal,Florida Polytechnic University has formalized an agreement with Fulbright Portugal to provide exceptional educational opportunities between the University and the Southwestern European nation.
2023-04-03,Florida Poly researcher: Scrapping recycling programs ineffective at saving money or environment,"As municipalities across Florida and the nation scrutinize their recycling programs to decide their future, they may not consider much more than how the program affects their budget's bottom line."
2023-03-29,Florida Poly breaks ground on third student residential building,Florida Polytechnic University is starting construction of its third student residential building to expand its on-campus housing offerings and keep pace with the school's high demand and enrollment growth.
2023-03-15,Annual STEM awards luncheon celebrates STEM standouts,"Three outstanding leaders who are making a big impact on Florida and the world were honored at Florida Polytechnic University Foundation's 2023 Women in STEM Awards on Thursday, March 2. The event was part of annual Women's History Month celebrations."
2023-03-14,Annual Florida PolyCon bringing fandom fun to Lakeland,"Anime characters, Jedis, and superheroes will pour into the Florida Polytechnic University campus on Saturday, March 18, for Florida PolyCon, a daylong annual community celebration of comics, anime, and all things geek."
2023-03-09,Florida Poly students designing tiny tech for big hotels,Hotels may one day be able to track whether a room is occupied without ever having to knock. A senior capstone design team at Florida Polytechnic University is developing a tiny device that could have big effects on the hotel industry.
