annualGrammy,category,awardType,awardFor,name
1,Record Of The Year,Individual,Nel Blu Dipinto Di Blu (Volare),Nel Blu Dipinto Di Blu (Volare)
1,Album Of The Year,Work,The Music From Peter Gunn,Henry Mancini
1,Song Of The Year,Individual,Nel Blu Dipinto Di Blu (Volare),Nel Blu Dipinto Di Blu (Volare)
1,"Best Vocal Performance, Female",Work,Ella Fitzgerald Sings The Irving Berlin Song Book,Ella Fitzgerald
1,"Best Vocal Performance, Male",Individual,Catch A Falling Star,Catch A Falling Star
1,Best Performance By An Orchestra,Individual,Billy May's Big Fat Brass,Billy May's Big Fat Brass
1,Best Performance By A Dance Band,Individual,Basie,Basie
1,Best Performance By A Vocal Group Or Chorus,Individual,That Old Black Magic,That Old Black Magic
1,"Best Jazz Performance, Individual",Work,Ella Fitzgerald Sings The Duke Ellington Song Book,Ella Fitzgerald
1,"Best Jazz Performance, Group",Individual,Basie,Basie
1,Best Comedy Performance,Individual,The Chipmunk Song,The Chipmunk Song
1,Best Country & Western Performance,Individual,Tom Dooley,Tom Dooley
1,Best Rhythm & Blues Performance,Individual,Tequila,Tequila
1,Best Arrangement,Work,The Music From Peter Gunn,Henry Mancini
1,Best Engineered Record (Classical),Individual,Duets With A Spanish Guitar,Duets With A Spanish Guitar
1,Best Engineered Record - Non-Classical,Individual,The Chipmunk Song,The Chipmunk Song
1,Best Album Cover,Work,Only The Lonely,Frank Sinatra
1,Best Musical Composition First Recorded And Released In 1958 (Over 5 Minutes Duration),Individual,Cross Country Suite,Cross Country Suite
1,Best Original Cast Album (Broadway Or TV),Individual,The Music Man,The Music Man
1,"Best Sound Track Album, Dramatic Picture Score Or Original Cast",Work,Gigi,André Previn
1,"Best Performance, Documentary Or Spoken Word",Individual,The Best Of The Stan Freberg Shows,The Best Of The Stan Freberg Shows
1,Best Recording For Children,Individual,The Chipmunk Song,The Chipmunk Song
1,Best Classical Performance - Orchestra,Individual,Gaiete Parisienne,Gaiete Parisienne
1,Best Classical Performance - Instrumentalist (With Concerto Scale Accompaniment),Individual,"Tchaikovsky: Piano Concerto No. 1 In B Flat Minor, Op. 23","Tchaikovsky: Piano Concerto No. 1 In B Flat Minor, Op. 23"
1,Best Classical Performance - Instrumentalist (Other Than Concerto-Scale Accompaniment),Individual,Segovia Golden Jubilee,Segovia Golden Jubilee
1,Best Classical Performance - Chamber Music (Including Chamber Orchestra),Individual,Beethoven: Quartet 130,Beethoven: Quartet 130
1,Best Classical Performance - Vocal Soloist (With Or Without Orchestra),Individual,Operatic Recital,Operatic Recital
1,Best Classical Performance - Operatic Or Choral,Individual,Virtuoso,Virtuoso
2,Record Of The Year,Individual,Mack The Knife,Mack The Knife
2,Album Of The Year,Work,Come Dance With Me,Frank Sinatra
2,Song Of The Year,Individual,The Battle Of New Orleans,The Battle Of New Orleans
2,"Best Vocal Performance, Female",Work,But Not For Me,Ella Fitzgerald
2,"Best Vocal Performance, Male",Work,Come Dance With Me,Frank Sinatra
2,Best Performance By A Dance Band,Work,Anatomy Of A Murder,Duke Ellington
2,Best Performance By An Orchestra,Work,Like Young,André Previn
2,Best Performance By A Vocal Group Or Chorus,Individual,Battle Hymn Of The Republic,Battle Hymn Of The Republic
2,Best Jazz Performance - Soloist,Work,Ella Swings Lightly,Ella Fitzgerald
2,Best Jazz Performance - Group,Individual,I Dig Chicks,I Dig Chicks
2,Best Classical Performance - Orchestra,Individual,Debussy: Images For Orchestra,Debussy: Images For Orchestra
2,Best Classical Performance - Chamber Music (Including Chamber Orchestra),Individual,Beethoven: Sonatas No. 21 In C (Waldstein) And No. 18 In E Flat,Beethoven: Sonatas No. 21 In C (Waldstein) And No. 18 In E Flat
2,Best Classical Performance - Concerto Or Instrumental Soloist (With Full Orchestral Accompaniment),Individual,Rachmaninoff: Piano Concerto No. 3,Rachmaninoff: Piano Concerto No. 3
2,Best Classical Performance - Opera Cast Or Choral,Individual,Mozart: The Marriage Of Figaro,Mozart: The Marriage Of Figaro
2,Best Classical Performance - Concerto Or Instrumental Soloist (Other Than Full Orchestral Accompaniment),Individual,Beethoven: Sonatas No. 21 In C (Waldstein) And No. 18 In E Flat,Beethoven: Sonatas No. 21 In C (Waldstein) And No. 18 In E Flat
2,Best Classical Performance - Vocal Soloist (With Or Without Orchestra),Individual,Bjoerling In Opera,Bjoerling In Opera
2,Best Musical Composition First Recorded And Released In 1959 (More Than 5 Minutes Duration),Work,Anatomy Of A Murder,Duke Ellington
2,Best Sound Track Album - Background Score From A Motion Picture Or Television,Work,Anatomy Of A Murder,Duke Ellington
2,"Best Sound Track Album, Original Cast - Motion Picture Or Television",Individual,Porgy And Bess,Porgy And Bess
2,Best Broadway Show Album,Individual,Gypsy,Gypsy
2,Best Comedy Performance - Spoken Word,Individual,Inside Shelley Berman,Inside Shelley Berman
2,Best Comedy Performance - Musical,Individual,The Battle Of Kookamonga,The Battle Of Kookamonga
2,Best Performance - Documentary Or Spoken Word (Other Than Comedy),Individual,A Lincoln Portrait,A Lincoln Portrait
2,"Best Performance By A ""Top 40"" Artist",Individual,Midnight Flyer,Midnight Flyer
2,Best Country & Western Performance,Individual,The Battle Of New Orleans,The Battle Of New Orleans
2,Best Rhythm & Blues Performance,Individual,What A Diff'rence A Day Makes,What A Diff'rence A Day Makes
2,Best Performance - Folk,Individual,The Kingston Trio At Large,The Kingston Trio At Large
2,Best Recording For Children,Individual,Peter And The Wolf,Peter And The Wolf
2,Best Arrangement,Individual,Come Dance With Me,Come Dance With Me
2,Best Engineering Contribution - Classical Recording,Individual,"Victory At Sea, Vol. I","Victory At Sea, Vol. I"
2,Best Engineering Contribution - Novelty Recording,Individual,Alvin's Harmonica,Alvin's Harmonica
2,Best Engineering Contribution - Other Than Classical Or Novelty,Individual,Belafonte At Carnegie Hall,Belafonte At Carnegie Hall
2,Best Album Cover,Individual,Shostakovich: Symphony No. 5,Shostakovich: Symphony No. 5
2,Best New Artist Of 1959,Individual,Bobby Darin,Bobby Darin
3,Record Of The Year,Individual,The Theme From A Summer Place,The Theme From A Summer Place
3,Album Of The Year,Individual,The Button-Down Mind Of Bob Newhart,The Button-Down Mind Of Bob Newhart
3,Song Of The Year,Individual,Theme From Exodus,Theme From Exodus
3,"Best Vocal Performance Single Record Or Track, Female",Individual,Mack The Knife,Mack The Knife
3,"Best Vocal Performance Album, Female",Work,Mack The Knife - Ella In Berlin,Ella Fitzgerald
3,"Best Vocal Performance Single Record Or Track, Male",Individual,Georgia On My Mind,Georgia On My Mind
3,"Best Vocal Performance Album, Male",Individual,The Genius Of Ray Charles,The Genius Of Ray Charles
3,Best Arrangement,Work,Mr. Lucky,Henry Mancini
3,Best Performance By A Band For Dancing,Individual,Dance With Basie,Dance With Basie
3,Best Performance By An Orchestra,Work,Mr. Lucky,Henry Mancini
3,Best Performance By A Vocal Group (2 To 6),Individual,We Got Us,We Got Us
3,Best Performance By A Chorus (7 Or More Persons),Individual,Songs Of The Cowboy,Songs Of The Cowboy
3,Best Jazz Performance Solo Or Small Group,Work,West Side Story,André Previn
3,Best Jazz Performance Large Group,Work,Blues And The Beat,Henry Mancini
3,Best Classical Performance - Orchestra,Individual,"Bartók: Music For Strings, Percussion And Celeste","Bartók: Music For Strings, Percussion And Celeste"
3,Best Classical Performance - Vocal Or Instrumental - Chamber Music,Individual,Conversations With The Guitar,Conversations With The Guitar
3,Best Classical Performance - Concerto Or Instrumental Soloist,Individual,Brahms: Piano Concerto No. 2 In B Flat,Brahms: Piano Concerto No. 2 In B Flat
3,Best Classical Performance - Instrumental Soloist Or Duo (Other Than With Orchestral Accompaniment),Individual,The Spanish Guitars Of Laurindo Almeida,The Spanish Guitars Of Laurindo Almeida
3,Best Classical Performance - Vocal Soloist,Individual,A Program Of Song - Leontyne Price Recital,A Program Of Song - Leontyne Price Recital
3,Best Classical Opera Production,Individual,Puccini: Turandot,Puccini: Turandot
3,Best Classical Performance - Choral (Including Oratorio),Individual,Handel: Messiah,Handel: Messiah
3,Best Contemporary Classical Composition,Individual,Copland: Orchestral Suite From Tender Land Suite,Copland: Orchestral Suite From Tender Land Suite
3,Best Sound Track Album Or Recording Of Music Score From Motion Picture Or Television,Individual,Exodus,Exodus
3,Best Sound Track Album Or Recording Of Original Cast From A Motion Picture Or Television,Individual,Can Can,Can Can
3,Best Show Album (Original Cast),Individual,The Sound Of Music,The Sound Of Music
3,Best Comedy Performance - Spoken Word,Individual,The Button-Down Mind Strikes Back!,The Button-Down Mind Strikes Back!
3,Best Comedy Performance (Musical),Individual,Jonathan And Darlene Edwards In Paris,Jonathan And Darlene Edwards In Paris
3,Best Performance - Documentary Or Spoken Word (Other Than Comedy),Individual,FDR Speaks,FDR Speaks
3,Best Performance By A Pop Single Artist,Individual,Georgia On My Mind,Georgia On My Mind
3,Best Country & Western Performance,Individual,El Paso,El Paso
3,Best Rhythm & Blues Performance,Individual,Let The Good Times Roll,Let The Good Times Roll
3,Best Performance - Folk,Individual,Swing Dat Hammer,Swing Dat Hammer
3,Best Album Created For Children,Individual,Let's All Sing With The Chipmunks,Let's All Sing With The Chipmunks
3,Best Engineering Contribution - Classical Recording,Individual,The Spanish Guitars Of Laurindo Almeida,The Spanish Guitars Of Laurindo Almeida
3,Best Engineering Contribution - Popular Recording,Individual,Ella Fitzgerald Sings The George And Ira Gershwin Songbook,Ella Fitzgerald Sings The George And Ira Gershwin Songbook
3,Best Engineering Contribution - Novelty Recording,Individual,The Old Payola Roll Blues,The Old Payola Roll Blues
3,Best Album Cover,Individual,Latin A La Lee,Latin A La Lee
3,Best New Artist Of 1960,Individual,Bob Newhart,Bob Newhart
