danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri,duration_ms,time_signature,key_mode,playlist_name,playlist_img,track_name,artist_name,album_name,album_img
0.554,0.58,B,-8.05,minor,0.0322,0.344,0.00842,0.0989,0.402,167.83,4mOxpj82q6n3EO7HBZCelX,264200,4,B minor,grammys,https://mosaic.scdn.co/640/2657cc092b7c4c266095e158a30fe58484da6fd767112f1f45f276abd2c7fef06af03e63efbffc2b91c5003087de7071dc25c6bddb32144f49c8f27ea48d13ddf477327cdfa249d6db40d0c77b9ddf29,Sunny Came Home,Shawn Colvin,A Few Small Repairs,https://i.scdn.co/image/2657cc092b7c4c266095e158a30fe58484da6fd7
0.428,0.276,E,-11.729,major,0.0312,0.732,5.33e-6,0.117,0.0382,99.195,3oEHQmhvFLiE7ZYES0ulzv,28e4,1,E major,grammys,https://mosaic.scdn.co/640/2657cc092b7c4c266095e158a30fe58484da6fd767112f1f45f276abd2c7fef06af03e63efbffc2b91c5003087de7071dc25c6bddb32144f49c8f27ea48d13ddf477327cdfa249d6db40d0c77b9ddf29,"My Heart Will Go On - Love Theme from ""Titanic""",Céline Dion,Let's Talk About Love,https://i.scdn.co/image/67112f1f45f276abd2c7fef06af03e63efbffc2b
0.609,0.923,A,-3.908,major,0.0338,0.16,4.73e-6,0.295,0.961,115.996,0n2SEXB2qoRQg171q7XqeW,294987,4,A major,grammys,https://mosaic.scdn.co/640/2657cc092b7c4c266095e158a30fe58484da6fd767112f1f45f276abd2c7fef06af03e63efbffc2b91c5003087de7071dc25c6bddb32144f49c8f27ea48d13ddf477327cdfa249d6db40d0c77b9ddf29,Smooth,Santana,Supernatural (Remastered),https://i.scdn.co/image/91c5003087de7071dc25c6bddb32144f49c8f27e
0.537,0.921,D,-6.474,major,0.0481,0.0144,0.00479,0.382,0.467,136.264,1VuBmEauSZywQVtqbxNqka,248067,4,D major,grammys,https://mosaic.scdn.co/640/2657cc092b7c4c266095e158a30fe58484da6fd767112f1f45f276abd2c7fef06af03e63efbffc2b91c5003087de7071dc25c6bddb32144f49c8f27ea48d13ddf477327cdfa249d6db40d0c77b9ddf29,Beautiful Day,U2,All That You Can't Leave Behind,https://i.scdn.co/image/a48d13ddf477327cdfa249d6db40d0c77b9ddf29
0.653,0.609,B,-7.519,minor,0.037,0.263,0.00101,0.233,0.482,95.982,0KQx6HOpJueiSkztcS0r7D,210200,3,B minor,grammys,https://mosaic.scdn.co/640/2657cc092b7c4c266095e158a30fe58484da6fd767112f1f45f276abd2c7fef06af03e63efbffc2b91c5003087de7071dc25c6bddb32144f49c8f27ea48d13ddf477327cdfa249d6db40d0c77b9ddf29,Fallin',Alicia Keys,Songs In A Minor,https://i.scdn.co/image/fc6e847fc9f0d26c15ea1c16bae44dbbb9364c5f
0.732,0.198,F,-11.775,major,0.028,0.883,1.1e-5,0.0659,0.618,88.174,6ybViy2qrO9sIi41EgRJgx,186147,4,F major,grammys,https://mosaic.scdn.co/640/2657cc092b7c4c266095e158a30fe58484da6fd767112f1f45f276abd2c7fef06af03e63efbffc2b91c5003087de7071dc25c6bddb32144f49c8f27ea48d13ddf477327cdfa249d6db40d0c77b9ddf29,Don't Know Why,Norah Jones,Come Away With Me,https://i.scdn.co/image/7395b879b24be999705701931b042642de38af73
0.739,0.341,A#,-9.971,major,0.0378,0.525,1.1e-6,0.072,0.231,80.958,7snmvZMLdGGk3l9PcvoYSM,266e3,4,A# major,grammys,https://mosaic.scdn.co/640/2657cc092b7c4c266095e158a30fe58484da6fd767112f1f45f276abd2c7fef06af03e63efbffc2b91c5003087de7071dc25c6bddb32144f49c8f27ea48d13ddf477327cdfa249d6db40d0c77b9ddf29,Dance With My Father - Radio Version,Luther Vandross,Dance With My Father,https://i.scdn.co/image/ff884ca656a3d38dac1e45a207e47e047b7ab379
0.674,0.413,D,-7.816,major,0.0274,0.837,1.91e-5,0.098,0.503,124.895,5FPnjikbwlDMULCCCa6ZCJ,237907,3,D major,grammys,https://mosaic.scdn.co/640/2657cc092b7c4c266095e158a30fe58484da6fd767112f1f45f276abd2c7fef06af03e63efbffc2b91c5003087de7071dc25c6bddb32144f49c8f27ea48d13ddf477327cdfa249d6db40d0c77b9ddf29,Daughters,John Mayer,Heavier Things,https://i.scdn.co/image/431b95063028599f2e885b0f9f3b1753cccba59a
0.527,0.595,D,-5.43,major,0.0243,0.00243,0.339,0.111,0.382,95.985,1AKfLYTm4RqfLKqgQmv9V2,308893,4,D major,grammys,https://mosaic.scdn.co/640/2657cc092b7c4c266095e158a30fe58484da6fd767112f1f45f276abd2c7fef06af03e63efbffc2b91c5003087de7071dc25c6bddb32144f49c8f27ea48d13ddf477327cdfa249d6db40d0c77b9ddf29,Sometimes You Can't Make It On Your Own,U2,How To Dismantle An Atomic Bomb,https://i.scdn.co/image/a2a8847ea810c00761edf6e1e1dd7e934de87b53
0.425,0.554,F#,-4.145,major,0.0298,0.134,8.56e-5,0.0963,0.288,83.917,6LCEyZZHFF4ebF1Mike1s5,237297,4,F# major,grammys,https://mosaic.scdn.co/640/2657cc092b7c4c266095e158a30fe58484da6fd767112f1f45f276abd2c7fef06af03e63efbffc2b91c5003087de7071dc25c6bddb32144f49c8f27ea48d13ddf477327cdfa249d6db40d0c77b9ddf29,Not Ready to Make Nice,Dixie Chicks,Taking The Long Way,https://i.scdn.co/image/5964c375be96fe5a1658eb714708c63cb2f18a97
0.534,0.859,C,-2.846,major,0.0785,0.034,1.23e-6,0.413,0.729,72.776,1L5tZi0izXsi5Kk5OJf4W0,213760,4,C major,grammys,https://mosaic.scdn.co/640/2657cc092b7c4c266095e158a30fe58484da6fd767112f1f45f276abd2c7fef06af03e63efbffc2b91c5003087de7071dc25c6bddb32144f49c8f27ea48d13ddf477327cdfa249d6db40d0c77b9ddf29,Rehab,Amy Winehouse,Back To Black,https://i.scdn.co/image/956e8cece8267a7ebd76ea48f5904acbb0f1b107
