"ID","Income","Age","Education","Gender"
"1",113,69,12,1
"2",91,52,18,0
"3",121,65,14,0
"4",81,58,12,0
"5",68,31,16,1
"6",92,51,15,1
"7",75,53,15,0
"8",76,56,13,0
"9",56,42,15,1
"10",53,33,11,1
"11",70,29,16,1
"12",91,57,16,1
"13",84,54,19,1
"14",77,50,16,1
"15",95,57,12,1
"16",65,50,16,0
"17",41,20,12,0
"18",99,52,20,0
"19",106,60,16,0
"20",87,52,17,0
"21",91,37,18,1
"22",88,46,16,1
"23",105,66,11,0
"24",47,26,12,1
"25",104,52,19,0
"26",62,37,15,1
"27",75,30,19,1
"28",81,50,17,0
"29",66,50,10,0
"30",101,58,16,0
"31",44,23,11,1
"32",80,50,15,0
"33",98,43,20,1
"34",63,58,11,0
"35",84,47,19,1
"36",41,26,17,0
"37",102,68,19,1
"38",92,66,20,0
"39",103,63,17,1
"40",98,24,19,0
"41",81,55,13,1
"42",75,26,17,0
"43",82,54,13,0
"44",116,59,11,0
"45",99,55,13,0
"46",44,21,14,0
"47",71,37,14,1
"48",94,59,14,1
"49",108,66,18,1
"50",63,37,14,1
"51",87,37,17,1
"52",94,55,20,1
"53",41,25,13,0
"54",62,31,18,0
"55",85,65,16,1
"56",78,49,16,0
"57",84,37,14,0
"58",63,43,14,0
"59",58,22,15,1
"60",34,37,10,0
"61",61,28,12,0
"62",90,66,11,1
"63",56,26,15,1
"64",74,51,19,1
"65",94,66,12,1
"66",69,40,10,1
"67",26,27,12,1
"68",108,68,17,0
"69",77,21,20,1
"70",113,68,18,1
"71",60,18,19,0
"72",50,29,11,1
"73",45,28,12,1
"74",46,34,12,0
"75",64,22,18,0
"76",67,44,16,0
"77",84,43,16,1
"78",94,57,12,1
"79",51,37,11,0
"80",64,39,18,1
"81",91,68,10,0
"82",71,63,16,1
"83",61,29,13,1
"84",86,55,11,0
"85",61,22,16,0
"86",74,53,14,1
"87",76,50,12,0
"88",70,35,16,1
"89",87,28,20,0
"90",96,56,13,0
"91",76,27,13,1
"92",97,62,12,0
"93",83,53,12,1
"94",56,18,13,0
"95",66,25,12,1
"96",98,53,17,1
"97",89,66,18,1
"98",72,48,15,0
"99",51,29,16,1
"100",51,42,12,0
"101",67,45,13,0
"102",49,31,11,1
"103",72,53,17,1
"104",72,57,16,1
"105",68,26,14,0
"106",89,64,11,0
"107",101,48,20,0
"108",50,23,15,1
"109",99,57,16,0
"110",74,26,14,0
"111",52,20,13,1
"112",54,43,17,1
"113",59,24,12,0
"114",37,35,10,1
"115",38,22,13,1
"116",70,20,20,0
"117",85,47,15,0
"118",86,48,19,0
"119",105,49,18,0
"120",99,58,13,0
"121",71,33,17,1
"122",95,35,20,0
"123",89,47,17,1
"124",96,56,19,0
"125",34,25,11,0
"126",50,46,11,1
"127",71,25,17,0
"128",115,61,17,0
"129",102,66,15,0
"130",85,43,12,0
"131",58,19,13,1
"132",75,51,12,0
"133",104,69,16,0
"134",92,56,14,0
"135",72,50,14,1
"136",88,61,13,0
"137",99,57,12,0
"138",94,60,17,0
"139",69,27,17,1
"140",80,55,13,0
"141",51,40,10,1
"142",87,62,17,0
"143",73,39,16,1
"144",62,35,15,1
