country,gini,secpay,gdp,hetero,democrat,union
Mexico,53.7,1.211,7704,86.6666666666667,0,30
Hungary,28.9,1.115,10232,97.3333333333333,0,NA
Brazil,60.1,1.232,6625,82.6666666666667,0,30
Nigeria,45,1.196,739,68.3333333333333,0,5
Chile,56.5,1.361,8787,96.6666666666667,0,15
Belarus,28.8,1.075,6319,92.3333333333333,0,NA
CzechRepublic,26.6,1.557,12362,97.6666666666667,0,NA
Slovenia,29.2,1.108,14293,97,0,NA
Bulgaria,30.8,1.164,4809,91,0,NA
Romania,28.2,1.133,5648,91.6666666666667,0,NA
China,41.5,1.131,3105,95.6666666666667,0,NA
Taiwan,27.7,1.075,12090,94.6666666666667,0,43
Turkey,41.5,1.207,6422,85,0,16
Lithuania,33.6,1.096,6436,89.3333333333333,0,NA
Latvia,28.5,1.07,5728,70,0,NA
Estonia,35.4,1.054,7682,74,0,NA
Ukraine,47.3,1.085,3194,91,0,NA
Russia,48,1.076,6460,89.3333333333333,0,NA
Uruguay,42.3,1.273,8623,98.6666666666667,0,5
Moldova,34.4,1.127,1947,87.6666666666667,0,NA
Georgia,37.1,1.086,3353,86.6666666666667,0,NA
Armenia,44.4,1.061,2072,96,0,NA
Azerbaijan,36,1.07,2175,89.3333333333333,0,NA
Bangladesh,28.3,1.057,1361,93.6666666666667,0,5
Croatia,29,1.092,6749,85,0,NA
Slovakia,19.5,1.622,9699,94,0,NA
