artist_name,duration_ms,id,track_name,track_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,album_name,popularity
The Weeknd,250053,6b5P51m8xx2XA6U7sdNZ5E,Alone Again,1,0.218,0.652,4,-7.953,0,0.0641,0.033,0.111,0.172,0.0599,65.375,4,After Hours,100
The Weeknd,239973,2K9Ovn1o2bTGqbsABGC6m3,Too Late,2,0.638,0.863,4,-5.221,0,0.132,0.052,5.46e-5,0.685,0.226,120.077,4,After Hours,100
The Weeknd,211400,6kWxIqQDsKFYCJGbU4AjCX,Hardest To Love,3,0.467,0.608,10,-7.847,1,0.0707,0.0909,8.83e-5,0.125,0.108,80.957,4,After Hours,100
The Weeknd,191306,4BGZF4oLbTL0pWm7C18pbv,Scared To Live,4,0.504,0.498,0,-8.24,1,0.0499,0.131,0,0.0929,0.196,87.221,4,After Hours,100
The Weeknd,247186,3WlbeuhfRSqU7ylK2Ui5U7,Snowchild,5,0.55,0.611,0,-7.475,1,0.137,0.162,6.88e-5,0.121,0.243,148.062,4,After Hours,100
The Weeknd,355960,1sOW4PuG5X3Ie3EXUhAopJ,Escape From LA,6,0.404,0.524,5,-8.996,0,0.0593,0.0456,0.00316,0.199,0.168,145.74,4,After Hours,100
The Weeknd,198266,6bnF93Rx87YqUBLSgjiMU8,Heartless,7,0.537,0.746,10,-5.507,0,0.15,0.0236,1.01e-6,0.156,0.252,170.062,4,After Hours,100
The Weeknd,283226,3orEOtd8CPL8GFlpRpKuoE,Faith,8,0.375,0.605,0,-7.268,0,0.0729,0.612,0.0448,0.147,0.128,175.946,4,After Hours,100
The Weeknd,200040,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,9,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-5,0.0897,0.334,171.005,4,After Hours,100
The Weeknd,237520,7szuecWAPwGoV1e5vGu8tl,In Your Eyes,10,0.667,0.719,7,-5.371,0,0.0346,0.00285,8.1e-5,0.0736,0.717,100.021,4,After Hours,100
The Weeknd,215626,5QO79kh1waicV47BqGRL3g,Save Your Tears,11,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-5,0.543,0.644,118.051,4,After Hours,100
The Weeknd,195813,40U8d12pC5UHqmHwXjHjjl,Repeat After Me (Interlude),12,0.555,0.619,0,-7.918,1,0.0314,0.0323,2.24e-4,0.0917,0.141,95.032,4,After Hours,100
The Weeknd,361026,2p8IUWQDrpjuFltbdgLOag,After Hours,13,0.664,0.572,5,-6.099,0,0.0305,0.0811,0.00604,0.121,0.143,108.959,4,After Hours,100
