Name,Artist,Album,Genre,Size,Time,Year,Bit Rate,Sample Rate
Hello,Adele,25,Pop,8308736,295,2015,223,44100
Send My Love (To Your New Lover),Adele,25,Pop,6299648,223,2015,224,44100
I Miss You,Adele,25,Pop,9809920,348,2015,223,44100
When We Were Young,Adele,25,Pop,8183808,291,2015,223,44100
Remedy,Adele,25,Pop,6918144,245,2015,223,44100
Water Under The Bridge,Adele,25,Pop,6780928,240,2015,224,44100
River Lea,Adele,25,Pop,6361088,225,2015,224,44100
Love In The Dark,Adele,25,Pop,8046592,286,2015,223,44100
Million Years Ago,Adele,25,Pop,6402048,227,2015,223,44100
All I Ask,Adele,25,Pop,7650331,271,2015,223,44100
Sweetest Devotion,Adele,25,Pop,7106560,251,2015,224,44100
Sometime Around Midnight (live),The Airborne Toxic Event,iConcerts,,7473405,311,,192,44100
Faded,Alan Walker,NOW That’s What I Call Dance Hits 2016,Dance,8604692,212,2016,320,44100
Por ti mamá,Alerta Kamarada,Somos Uno,,7491257,230,,256,44100
Heroes (We Could Be),Alesso feat. Tove Lo,NOW That's What I Call Music! 90,,8678404,209,2015,320,44100
Heroes (We Could Be),Alesso feat. Tove Lo,NOW That’s What I Call Dance Hits 2016,Dance,8531550,210,2016,320,44100
Make Me Feel Better,Alex Adair,NOW That's What I Call Music! 90,,8363867,202,2015,320,44100
"Suite Bergamasque: 3. ""Clair de Lune""",Alexis Weissenberg,The Darjeeling Limited,Soundtrack,11984696,297,2007,320,44100
The Householder [Title Music],Ali Akbar Khan/Jyotitindra Moitra,The Darjeeling Limited,Soundtrack,4013736,97,2007,320,44100
Farewell to Earnest [From The Householder],Ali Akbar Khan/Jyotitindra Moitra,The Darjeeling Limited,Soundtrack,4861479,119,2007,320,44100
Empire State of Mind,Alicia Keys,Broken Down,,5266764,216,,192,44100
Unbreakable,Alicia Keys,Unplugged,Other,8092869,253,,256,44100
Lift your spitit,Aloe Blacc,Lift your spitit,,7184928,205,,256,44100
The Man,Aloe Blacc,Lift your spitit,,8508387,255,,256,44100
I'm In Control (Feat. Popcann),AlunaGeorge,Now That's What I Call Music 59,Pop,8773972,209,2016,320,44100
Dancing Kizomba,Alx Veliz,Now That's What I Call Music 59,Pop,7994461,189,2016,320,44100
Estadio Azteca,Andres Calamaro,El Cantante ,Rock,5292032,220,2004,192,44100
Me Voy,Andre_s Cepeda,Sé morir ,,7696547,240,,256,44100
I Put A Spell On You,Annie Lennox,Fifty Shades of Grey,OST,8482620,210,2015,320,44100
Do I Wanna Know,Arctic Monkeys,AM,,8283284,258,,256,44100
Do I Wanna Know ,Arctic Monkeys,(Fox Uninvited Guest),,9297321,282,,256,44100
Dangerous Woman,Ariana Grande,Now That's What I Call Music 59,Pop,9583754,229,2016,320,44100
This Is What It Feels Like,Armin van Buuren,This Is What It Feels Like,,6631799,206,,256,44100
The Nights,Avicii,NOW That's What I Call Music! 90,,7380592,177,2015,320,44100
The Nights,Avicii,NOW That’s What I Call Dance Hits 2016,Dance,7114668,175,2016,320,44100
You Make Me,Avicii,TRUE,,8045444,238,,256,44100
I'm On Fire,AWOLNATION,Fifty Shades of Grey,OST,6237067,154,2015,320,44100
Don't You Want Me,Bahamas feat. The Weather Station,The Secret Life of Walter Mitty,Soundtrack,8085910,199,2013,320,44100
Pa Bailar (con Ryota Komatsu),Bajofondo,Pa Bailar,Other,3826897,239,2010,128,44100
Pa Bailarte Mix,Bajofondo,Pa Bailar,Other,4594258,287,2010,128,44100
Pa Bailar (feat Julieta Venegas),Bajofondo,Pa Bailar,Other,3434853,214,2010,128,44100
Pa Bailar Bandido,Bajofondo,Pa Bailar,Other,6153248,384,2010,128,44100
Pa Bailar Maestros,Bajofondo,Pa Bailar,Other,2639048,164,2010,128,44100
Intro,Bajofondo,Presente,Tango,4230003,105,2013,320,44100
Codigo De Barra,Bajofondo,Presente,Tango,7269621,181,2013,320,44100
Segundos Afuera,Bajofondo,Presente,Tango,9002062,225,2013,320,44100
Pide Piso,Bajofondo,Presente,Tango,12964309,324,2013,320,44100
Nocturno,Bajofondo,Presente,Tango,8523491,213,2013,320,44100
Pena En Mi Corazon,Bajofondo,Presente,Tango,12676971,316,2013,320,44100
Caminante,Bajofondo,Presente,Tango,9888129,247,2013,320,44100
La Trufa Y El Sifon,Bajofondo,Presente,Tango,10075176,251,2013,320,44100
Sabelo,Bajofondo,Presente,Tango,11103342,277,2013,320,44100
Patras,Bajofondo,Presente,Tango,11127375,278,2013,320,44100
Oigo Voces,Bajofondo,Presente,Tango,5511053,137,2013,320,44100
Cuesta Arriba,Bajofondo,Presente,Tango,10563137,264,2013,320,44100
Rendezvous,Bajofondo,Presente,Tango,10554775,263,2013,320,44100
Lluvia,Bajofondo,Presente,Tango,12295571,307,2013,320,44100
Noviembre,Bajofondo,Presente,Tango,4394056,109,2013,320,44100
Circular,Bajofondo,Presente,Tango,11814920,295,2013,320,44100
A Repechaje,Bajofondo,Presente,Tango,10054270,251,2013,320,44100
Milongon,Bajofondo,Presente,Tango,6839116,170,2013,320,44100
Asi Es (Propergol),Bajofondo,Presente,Tango,9435697,235,2013,320,44100
Olvidate,Bajofondo,Presente,Tango,9301940,232,2013,320,44100
