X,Y,OBJECTID,FOLIO,NAME,CAMPUS,ADDRESS,UNIT,CITY,ZIPCODE,PHONE,TYPE,CAPACITY,CAP_DESC,LAT,LON,POINT_X,POINT_Y,CREATEDBY
-80.38458595,25.80840296,1,3.5303E+12,Miami Dade College West,West Campus,3800 NW 115TH AVE,    ,Doral,33178,305-237-8918,C,3096,Enrollment,25.8084,-80.38458,858629.647,536526.1485,abreui
-80.35929205,25.59037216,2,3.66005E+12,Barry University South,South Dade,18958 S DIXIE HWY,    ,Cutler Bay,33157,305-969-5833,U,50,Enrollment,25.59037,-80.35929,867335.4657,457321.5435,bincao
-80.25654384,25.84821203,3,3.03109E+12,Universidad Politecnica De Puerto Rico - Miami,Miami Campus,8180 NW 36TH AVE,Suite 401,Miami,33147,305-592-7659,U,0,Enrollment,25.84821,-80.25654,900673.1348,551212.8787,abreui
-80.13645792,25.81180817,4,2.3222E+11,Talmudic College of Florida,Main Campus,4000 ALTON RD,    ,Miami Beach,33140,305-534-7050,C,40,Enrollment,25.8118,-80.13646,940255.2453,538222.5675,abreui
-80.17513087,25.89104881,5,6.2229E+11,International Academy Training Center, ,1175 NE 125TH ST,Suite 612,North Miami,33161,305-895-4244,T,0,Enrollment,25.89104,-80.17513,927351.2599,566942.6492,abreui
-80.32155049,25.77342719,6,3.04003E+12,New Horizons Computer Learning Centers, ,7757 W FLAGLER ST,Suite 200,Miami,33126,305-265-7576,T,0,Enrollment,25.77342,-80.32155,879433.4456,523915.7705,abreui
-80.18202991,25.89026527,7,6.223E+11,North Miami Nursing School, ,812 NE 125TH ST,    ,North Miami,33161,786-275-4414,T,0,Enrollment,25.89026,-80.18203,925084.8123,566643.6548,abreui
-80.15540938,25.92398832,8,7.2216E+11,SAE Institute - Miami , ,16051 W DIXIE HWY,Suite 200,North Miami Beach,33160,305-944-7494,C,0,Enrollment,25.92398,-80.15541,933758.0618,578956.6051,abreui
-80.36733514,25.74046214,9,3.04017E+12,Security Agency & Training Academy, ,3027 SW 107TH AVE,    ,Miami,33165,305-221-1253,T,0,Enrollment,25.74046,-80.36733,864423.6177,511859.4215,abreui
-80.3073188,25.86015872,10,4.30021E+11,Florida National College (12th Ave),Training Center,4206 W 12TH AVE,   ,Hialeah,33012,305-231-3326,C,160,Enrollment,25.86015,-80.30732,883951.0057,555463.8284,abreui
-80.19492098,25.80352465,11,1.3125E+11,"Assoc. for The Development of The Exceptional, Inc", ,2801 N MIAMI AVE,    ,Miami,33127,305-573-3737,T,0,Enrollment,25.80352,-80.19492,921039.6987,535089.8121,abreui
-80.28698761,25.80662403,12,3.0313E+12,Atlas Air Training Center, ,5600 NW 36TH ST,    ,Miami,33122,786-265-2724,T,0,Enrollment,25.80662,-80.28698,890742.5077,536041.637,abreui
-80.36635462,25.68582507,13,3.05005E+12,Barry University Kendall,South Dade,8900 SW 107TH AVE ,Suite 205,Miami,33176,305-275-2761,U,300,Enrollment,25.68582,-80.36635,864841.6711,492002.8529,abreui
-80.39340322,25.66267525,14,3.05912E+12,American Medical Academy, ,12215 SW 112TH ST,    ,Miami,33186,305-271-6555,T,400,Enrollment,25.66267,-80.3934,855972.3245,483547.2118,abreui
-80.30759518,25.85654141,15,4.30021E+11,Advanced Science Institute Inc, ,3750 W 12TH AVE,    ,Hialeah,33012,305-827-7720,C,149,Enrollment,25.85654,-80.30759,883867.0469,554148.5833,abreui
-80.35395566,25.73350486,16,3.04017E+12,Justilanguage Audio Visual Center, ,9811 SW 40TH ST,    ,Miami,33165,305-553-5222 ,T,486,Enrollment,25.7335,-80.35395,868840.2716,509352.0953,abreui
-80.40077399,25.62258731,17,3.05926E+12,University of Miami South,South Campus,12500 SW 152ND ST,    ,Miami,33177,305-232-7020,U,10368,Enrollment      ,25.62258,-80.40077,853610.3846,468966.1819,abreui
-80.31421513,25.77040818,18,3.04002E+12,A B C Bartending Schools,Miami,7329 W FLAGLER ST,    ,Miami,33144,305-267-1446,T,16,Enrollment,25.7704,-80.31421,881853.1653,522830.9743,abreui
-80.26428497,25.77732376,19,1.4105E+11,Management Resources Institute, ,550 NW 42ND AVE,    ,Miami,33126,305-442-9223,C,0,Enrollment,25.77732,-80.26428,898271.2345,525433.1598,abreui
-80.31879358,25.86499913,20,4.30021E+11,Miami Dade College Hialeah,Hialeah Campus,1780 W 49TH ST,   ,Hialeah,33012,305-237-8700,C,5077,Enrollment,25.86499,-80.31879,880168.3699,557203.4139,abreui
-80.36684488,25.77079272,21,3.04005E+12,Florida International University Engineering,Center For Engineering & Applied Science,10555 W FLAGLER ST,    ,Miami,33174,305-348-2522,U,0,     ,25.77079,-80.36684,864532.0629,522884.0621,abreui
-80.47425104,25.47454935,22,1.07918E+12,Miami Dade College Homestead,Homestead Campus,500 COLLEGE TER,    ,Homestead,33030,305-237-5000,C,4651,Enrollment,25.47454,-80.47425,829612.4372,415060.0937,abreui
-80.23815945,25.76640352,23,1.41031E+11,Miami Dade College Interamerican,Interamerican Center,627 SW 27TH AVE,    ,Miami,33135,305-237-6000,C,8985,Enrollment,25.7664,-80.23816,906891.6877,521512.9066,abreui
-80.37323191,25.67516924,24,3.05006E+12,Miami Dade College Kendall,Kendall Campus,11011 SW 104TH ST,   ,Miami,33176,305-237-2000,C,33401,Enrollment,25.67516,-80.37323,862595.1249,488119.1566,abreui
-80.21334066,25.78690967,25,1.31351E+11,UM Epidemiology and Public Health, ,1120 NW 14TH ST,Suite 912,Miami,33136,305-243-8331,U,0,Enrollment,25.7869,-80.21334,915015.4404,529014.1766,abreui
-80.26759464,25.84473392,26,4.3108E+11,University of Florida Dental School Clinic,Dental School-Clinic,750 E 25TH ST,    ,Hialeah,33013,305-694-5400,U,0,       ,25.84473,-80.26759,897045.7044,549928.2943,abreui
-80.19096896,25.76317964,27,1.021E+11,Florida International University Brickell,Downtown Miami Campus,1101 BRICKELL AVE,    ,Miami,33131,305-779-7870,U,0,Enrollment,25.76317,-80.19097,922430.0434,520433.6941,abreui
-80.27592811,25.72228145,28,3.413E+11,UM School of Communication, ,5100 BRUNSON DR,    ,Coral Gables,33146,305-284-2265,U,0,Enrollment,25.72228,-80.27593,894549.5132,505406.1922,abreui
-80.13240342,25.78100511,29,2.3234E+11,Florida International University Wolfsonian,The Wolfsonian-FIU,1001 WASHINGTON AVE,    ,Miami Beach,33139,305-531-1001,U,0,       ,25.781,-80.1324,941662.9379,527035.313,abreui
-80.33392283,25.76107449,30,3.0401E+12,Florida Atlantic University,Small Business Development Center,8500 SW 8TH ST,Suite 224,Miami,33144,786-388-9040,U,0,     ,25.76107,-80.33392,875384.4999,519405.2914,abreui
-80.18326869,25.87402693,31,3.02231E+12,Miami Country Day School, ,601 NE 107TH ST,    ,Miami,33161,305-779-7200,T,1120,Enrollment,25.87402,-80.18327,924714.2625,560738.9247,emilym
-80.20027937,25.87893621,32,1.12136E+12,Barry University Main,Main Campus,11300 N Miami Ave,,Miami Shores,33161,305-899-3000,U,600,Enrollment,25.87893,-80.20028,919109.9377,562488.8751,abreui
-80.29323422,25.86572848,33,4.3001E+11,Nouvelle Institute,Hialeah,500 W 49TH ST,2nd Floor,Hialeah,33012,305-557-3017,C,0,Enrollment,25.86572,-80.29323,888571.872,557512.9197,abreui
-80.16296889,25.73223835,34,3.0422E+12,UM School of Marine and Atmospheric Science,Marine Campus,4600 RICKENBACKER CSWY,    ,Miami,33149,305-361-4000,U,200,Enrollment,25.73223,-80.16297,931716.9999,509245.0937,abreui
-80.4198365,25.72308279,35,3.04922E+12,Professional Training Center (PTC), ,13926 SW 47TH ST,    ,Miami,33175,305-220-4120,T,0,Enrollment,25.72308,-80.41983,847168.984,505463.3916,abreui
