mydate,myloc,total,ppg,mileage,month,year,dayofweek
2016-08-23,Mobil Station,29,NA,29531,Aug,2016,Tue
2016-08-27,NA,25.51,NA,29736,Aug,2016,Sat
2016-08-31,NA,26,NA,29917,Aug,2016,Wed
2016-09-07,NA,17,NA,30142,Sep,2016,Wed
2016-09-10,NA,26,NA,30304,Sep,2016,Sat
2016-09-15,Exxon Pepitos ,28.5,2.669,30541,Sep,2016,Thu
2016-09-22,Mobil ,15,2.59,30710,Sep,2016,Thu
2016-09-29,Mobil ,20,2.65,30945,Sep,2016,Thu
2016-10-05,Exxon Pepitos ,26,NA,31105,Oct,2016,Wed
2016-10-12,Mobil,13,NA,31223,Oct,2016,Wed
2016-10-20,Mobil,26.25,NA,31483,Oct,2016,Thu
2016-10-25,Mobil FIU,21.5,NA,31667,Oct,2016,Tue
2016-11-01,Chevron Doral,27.08,NA,31905,Nov,2016,Tue
2016-11-08,Mobil FIU,25,NA,32142,Nov,2016,Tue
2016-11-15,Mobil Sedanos ,25.93,2.49,32399,Nov,2016,Tue
2016-11-19,Shell Flagler ,26,2.459,32640,Nov,2016,Sat
2016-11-23,Mobil FIU,11,NA,32755,Nov,2016,Wed
2016-11-30,Marathon ,30,2.59,33008,Nov,2016,Wed
2016-12-07,Mobil Doral ,27.02,2.67,33260,Dec,2016,Wed
2016-12-09,Mobil Doral ,22,2.75,33442,Dec,2016,Fri
2017-01-03,Mobil Doral ,24.01,2.79,33916,Jan,2017,Tue
2017-01-13,Chevron ,28,NA,34163,Jan,2017,Fri
2017-01-14,Chevron ,14.5,NA,34302,Jan,2017,Sat
2017-01-18,Chevron Doral,24,NA,34595,Jan,2017,Wed
2017-01-25,Chevron Doral ,22,2.58,347920,Jan,2017,Wed
2017-02-01,Speedway Doral ,24.29,2.58,350032,Feb,2017,Wed
2017-02-05,Mobil Sedanos,17.23,NA,35190,Feb,2017,Sun
2017-02-10,Exxon Pepitos ,27.27,2.79,35414,Feb,2017,Fri
2017-02-14,Exxon Brickell ,13,3.19,47924,Feb,2017,Tue
2017-02-15,Speedway Chevron ,28.59,2.65,35654,Feb,2017,Wed
2017-02-23,Mobil Sedanos ,25.35,2.79,35880,Feb,2017,Thu
2017-03-01,Speedway Doral ,20.33,2.71,36039,Mar,2017,Wed
2017-03-06,Sunshine Doral ,27.14,2.69,36312,Mar,2017,Mon
2017-03-11,Mobil Doral ,15,2.67,36475,Mar,2017,Sat
2017-03-18,Mobil doral ,27.09,2.67,36686,Mar,2017,Sat
2017-03-20,Mobil Miami Lakes ,25,2.56,36937,Mar,2017,Mon
2017-03-25,Speedway Doral ,21.64,2.58,37127,Mar,2017,Sat
2017-03-31,Mobil Pepitos ,31.69,2.85,37387,Mar,2017,Fri
2017-04-06,Mobil Doral ,22.19,2.85,37563,Apr,2017,Thu
2017-04-16,Mobil Doral ,25.07,2.79,37783,Apr,2017,Sun
2017-04-22,Chevron FIU ,27.01,2.65,38011,Apr,2017,Sat
2017-04-27,Speedway Doral ,23.79,2.65,38217,Apr,2017,Thu
2017-05-06,Mobil Doral ,28,2.67,38480,May,2017,Sat
2017-05-09,Mobil Doral ,17,2.67,38625,May,2017,Tue
2017-05-13,Mobil Doral ,27.54,2.67,38889,May,2017,Sat
2017-05-18,Mobil Miami Lakes ,24,2.53,39125,May,2017,Thu
2017-05-26,Mobil Sedanos ,21.21,2.75,39289,May,2017,Fri
2017-06-05,Exxon Pepitos ,21.49,2.79,39491,Jun,2017,Mon
2017-06-14,Exxos Pepitos ,23.74,2.75,39710,Jun,2017,Wed
2017-06-19,Exxon Pepitos ,25.55,2.75,40000,Jun,2017,Mon
2017-06-24,Mobil Doral ,12.68,2.67,40064,Jun,2017,Sat
2017-06-29,Exxon coral gables ,31,2.79,40305,Jun,2017,Thu
2017-07-02,Chevron Doral ,14.08,2.61,40436,Jul,2017,Sun
2017-07-05,Exxon Pepitos ,20,2.7,40588,Jul,2017,Wed
2017-07-10,Mobil Sedanos ,25.52,2.59,40951,Jul,2017,Mon
2017-07-14,Shell Sunny Isles ,20,2.89,41181,Jul,2017,Fri
