state,population,total,murder_rate
Alabama,"4,853,875",348,7.2
Alaska,"737,709",59,8
Arizona,"6,817,565",309,4.5
Arkansas,"2,977,853",181,6.1
California,"38,993,940","1,861",4.8
Colorado,"5,448,819",176,3.2
Connecticut,"3,584,730",117,3.3
Delaware,"944,076",63,6.7
District of Columbia,"670,377",162,24.2
Florida,"20,244,914","1,041",5.1
Georgia,"10,199,398",615,6
Hawaii,"1,425,157",19,1.3
Idaho,"1,652,828",32,1.9
Illinois,"12,839,047",744,5.8
Indiana,"6,612,768",373,5.6
Iowa,"3,121,997",72,2.3
Kansas,"2,906,721",128,4.4
Kentucky,"4,424,611",209,4.7
Louisiana,"4,668,960",481,10.3
Maine,"1,329,453",23,1.7
Maryland,"5,994,983",516,8.6
Massachusetts,"6,784,240",128,1.9
Michigan,"9,917,715",571,5.8
Minnesota,"5,482,435",133,2.4
Mississippi,"2,989,390",259,8.7
Missouri,"6,076,204",502,8.3
Montana,"1,032,073",36,3.5
Nebraska,"1,893,765",62,3.3
Nevada,"2,883,758",178,6.2
New Hampshire,"1,330,111",14,1.1
New Jersey,"8,935,421",363,4.1
New Mexico,"2,080,328",117,5.6
New York,"19,747,183",609,3.1
North Carolina,"10,035,186",517,5.2
North Dakota,"756,835",21,2.8
Ohio,"11,605,090",500,4.3
Oklahoma,"3,907,414",234,6
Oregon,"4,024,634",99,2.5
Pennsylvania,"12,791,904",658,5.1
Rhode Island,"1,055,607",29,2.7
South Carolina,"4,894,834",399,8.2
South Dakota,"857,919",32,3.7
Tennessee,"6,595,056",406,6.2
Texas,"27,429,639","1,316",4.8
Utah,"2,990,632",54,1.8
Vermont,"626,088",10,1.6
Virginia,"8,367,587",383,4.6
Washington,"7,160,290",211,2.9
West Virginia,"1,841,053",70,3.8
Wisconsin,"5,767,891",240,4.2
Wyoming,"586,107",16,2.7
