dataset,x,y
dino,55.3846,97.1795
dino,51.5385,96.0256
dino,46.1538,94.4872
dino,42.8205,91.4103
dino,40.7692,88.3333
dino,38.7179,84.8718
dino,35.641,79.8718
dino,33.0769,77.5641
dino,28.9744,74.4872
dino,26.1538,71.4103
dino,23.0769,66.4103
dino,22.3077,61.7949
dino,22.3077,57.1795
dino,23.3333,52.9487
dino,25.8974,51.0256
dino,29.4872,51.0256
dino,32.8205,51.0256
dino,35.3846,51.4103
dino,40.2564,51.4103
dino,44.1026,52.9487
dino,46.6667,54.1026
dino,50,55.2564
dino,53.0769,55.641
dino,56.6667,56.0256
dino,59.2308,57.9487
dino,61.2821,62.1795
dino,61.5385,66.4103
dino,61.7949,69.1026
dino,57.4359,55.2564
dino,54.8718,49.8718
dino,52.5641,46.0256
dino,48.2051,38.3333
dino,49.4872,42.1795
dino,51.0256,44.1026
dino,45.3846,36.4103
dino,42.8205,32.5641
dino,38.7179,31.4103
dino,35.1282,30.2564
dino,32.5641,32.1795
dino,30,36.7949
dino,33.5897,41.4103
dino,36.6667,45.641
dino,38.2051,49.1026
dino,29.7436,36.0256
dino,29.7436,32.1795
dino,30,29.1026
dino,32.0513,26.7949
dino,35.8974,25.2564
dino,41.0256,25.2564
dino,44.1026,25.641
dino,47.1795,28.718
dino,49.4872,31.4103
dino,51.5385,34.8718
dino,53.5897,37.5641
dino,55.1282,40.641
dino,56.6667,42.1795
dino,59.2308,44.4872
dino,62.3077,46.0256
dino,64.8718,46.7949
dino,67.9487,47.9487
dino,70.5128,53.718
dino,71.5385,60.641
dino,71.5385,64.4872
dino,69.4872,69.4872
dino,46.9231,79.8718
dino,48.2051,84.1026
dino,50,85.2564
dino,53.0769,85.2564
dino,55.3846,86.0256
dino,56.6667,86.0256
dino,56.1538,82.9487
dino,53.8462,80.641
dino,51.2821,78.718
dino,50,78.718
dino,47.9487,77.5641
dino,29.7436,59.8718
dino,29.7436,62.1795
dino,31.2821,62.5641
dino,57.9487,99.4872
dino,61.7949,99.1026
dino,64.8718,97.5641
dino,68.4615,94.1026
dino,70.7692,91.0256
dino,72.0513,86.4103
dino,73.8462,83.3333
dino,75.1282,79.1026
dino,76.6667,75.2564
dino,77.6923,71.4103
dino,79.7436,66.7949
dino,81.7949,60.2564
dino,83.3333,55.2564
dino,85.1282,51.4103
dino,86.4103,47.5641
dino,87.9487,46.0256
dino,89.4872,42.5641
dino,93.3333,39.8718
dino,95.3846,36.7949
dino,98.2051,33.718
dino,56.6667,40.641
dino,59.2308,38.3333
dino,60.7692,33.718
dino,63.0769,29.1026
dino,64.1026,25.2564
dino,64.359,24.1026
dino,74.359,22.9487
dino,71.2821,22.9487
dino,67.9487,22.1795
dino,65.8974,20.2564
dino,63.0769,19.1026
dino,61.2821,19.1026
dino,58.7179,18.3333
dino,55.1282,18.3333
dino,52.3077,18.3333
dino,49.7436,17.5641
dino,47.4359,16.0256
dino,44.8718,13.718
dino,48.7179,14.8718
dino,51.2821,14.8718
dino,54.1026,14.8718
dino,56.1538,14.1026
dino,52.0513,12.5641
dino,48.7179,11.0256
dino,47.1795,9.8718
dino,46.1538,6.0256
dino,50.5128,9.4872
dino,53.8462,10.2564
dino,57.4359,10.2564
dino,60,10.641
dino,64.1026,10.641
dino,66.9231,10.641
dino,71.2821,10.641
dino,74.359,10.641
dino,78.2051,10.641
dino,67.9487,8.718
dino,68.4615,5.2564
dino,68.2051,2.9487
dino,37.6923,25.7692
dino,39.4872,25.3846
dino,91.2821,41.5385
dino,50,95.7692
dino,47.9487,95
dino,44.1026,92.6923
away,32.3311102266,61.411101248
away,53.4214628807,26.1868803879
away,63.92020226,30.8321939163
away,70.2895057187,82.5336485877
away,34.1188302357,45.7345513203
away,67.6707164012,37.110947969
