County,Municipality,Location,Route,Owner,Built,Date.Inspected,SD.FO.Status,Condition,YearInspected,AgeAtInspection,Manhattan
Albany,Albany City,0.1 MI N JCT RTE 5 & I90,5 X,City,1968,9/4/14,N,5.211,2014.674,46.673973,0
Albany,Albany City,JCT US 9 & PATROON CREEK,9   9 11081025,NYSDOT,1971,10/27/15,N,4.75,2015.8192,44.819178,0
Albany,Albany City,JCT RTE 9 & I90,9   9 11081028,NYSDOT,1971,7/8/15,FO,4.833,2015.5151,44.515068,0
Albany,Albany City,DOWNTOWN ALBANY,9 X,NYSDOT,1969,10/14/15,FO,4.403,2015.7836,46.783562,0
Albany,Albany City,0.1 MI S JCT RT 9W & I787,9W  9W11012007,NYSDOT,1966,5/7/15,FO,4.328,2015.3452,49.345205,0
Albany,Albany City,JCT OF US 9W & I787,9W  9W11012008,NYSDOT,1966,6/16/14,FO,4.391,2014.4548,48.454795,0
Albany,Albany City,.7 MI S JCT US 9W & I787,9W  9W11051120,NYSDOT,1987,7/1/14,N,5.319,2014.4959,27.49589,0
Albany,Albany City,JCT RTS 20 & 85,20  20 11202010,NYSDOT,1960,11/17/14,FO,4.712,2014.8767,54.876712,0
Albany,Albany City,JCT I90 & RTE 85,85  85 11012021,NYSDOT,1968,8/12/14,FO,4.563,2014.611,46.610959,0
Albany,Albany City,JCT I90 & RTE 85,85  85 11012021,NYSDOT,1968,8/12/14,FO,4.641,2014.611,46.610959,0
Albany,Albany City,.4MI N JCT 87I+WASH AV.EX,87I 87I11081000,NYSDOT,1959,5/14/15,FO,4.844,2015.3644,56.364384,0
Albany,Albany City,.4MI N JCT 87I+WASH.AV.EX,87I 87I11081000,NYSDOT,1959,5/14/15,FO,5.094,2015.3644,56.364384,0
Albany,Albany City,JCT I87 & RENSSELAER LAKE,87I 87I11081002,NYSDOT,1959,3/26/15,FO,4.984,2015.2301,56.230137,0
Albany,Albany City,JCT I87 & RENSSELAER LAKE,87I 87I11081002,NYSDOT,1959,3/26/15,N,5.206,2015.2301,56.230137,0
Albany,Albany City,JCT OF I90 & FULLER RD,90I 90I11011006,NYSDOT,1968,6/8/15,FO,4.391,2015.4329,47.432877,0
Albany,Albany City,JCT I90 & RTE 5,90I 90I11011023,NYSDOT,1968,5/4/15,N,4.984,2015.337,47.336986,0
Albany,Albany City,1.3 MI SE JCT I90 & RT 5,90I 90I11011036,NYSDOT,2004,8/29/14,N,6.552,2014.6575,10.657534,0
Albany,Albany City,0.6 MI NW JCT I90 & I787,90I 90I11013014,NYSDOT,1967,5/13/14,FO,4.667,2014.3616,47.361644,0
Albany,Albany City,0.6 MI NW JCT I90 & I787,90I 90I11013014,NYSDOT,1967,4/29/15,FO,4.681,2015.3233,48.323288,0
Albany,Albany City,0.5 MI NW JCT I90 & I787,90I 90I11013014,NYSDOT,1967,4/23/14,FO,4.667,2014.3068,47.306849,0
Albany,Albany City,0.5 MI NW JCT I90 & I787,90I 90I11013014,NYSDOT,1967,4/23/14,FO,4.986,2014.3068,47.306849,0
Albany,Albany City,0.3 MI NW JCT I90 & I787,90I 90I11013016,NYSDOT,1967,10/28/14,SD,4.167,2014.8219,47.821918,0
Albany,Albany City,0.3 MI NW JCT I90 & I787,90I 90I11013016,NYSDOT,1968,10/28/14,FO,4.486,2014.8219,46.821918,0
Albany,Albany City,JCT I90 & I787,90I 90I11013018,NYSDOT,1968,12/17/14,FO,5.016,2014.9589,46.958904,0
Albany,Albany City,JCT I90 & I787,90I 90I11013018,NYSDOT,1967,12/17/14,FO,4.873,2014.9589,47.958904,0
Albany,Albany City,JCT I90 & HUDSON RIVER,90I 90I11013020,NYSDOT,1968,6/11/15,N,3.789,2015.4411,47.441096,0
Albany,Albany City,JCT I90 & HUDSON RIVER,90I 90I11013020,NYSDOT,1968,4/29/15,FO,5.683,2015.3233,47.323288,0
Albany,Albany City,JCT I90 & HUDSON RIVER,90I 90I11013020,NYSDOT,1968,4/28/15,N,4.781,2015.3205,47.320548,0
Albany,Albany City,ROUTE 155 OVER 90IX,155,NYS Thruway Authority,1999,9/9/15,N,6.365,2015.6877,16.687671,0
Albany,Albany City,JCT RTE 443 & I87 TO I90,443,NYS Thruway Authority,1952,8/26/14,FO,4.719,2014.6493,62.649315,0
Albany,Albany City,RTE 443 OVER NORMANSKILL,443 443 11021237,NYSDOT,1996,9/29/15,N,6.042,2015.7425,19.742466,0
Albany,Albany City,RAMP I787 NB - SO MALL WB,787 NB TO SXE WB,NYSDOT,1973,8/25/15,FO,3.952,2015.6466,42.646575,0
Albany,Albany City,I787 SB RAMP & BROADWAY,787I SB to 9&20EB,NYSDOT,1972,8/26/15,FO,4.125,2015.6493,43.649315,0
Albany,Albany City,0.2 MI E JCT RT 9W & I787,787I787I11011004,NYSDOT,1966,7/31/14,FO,4.172,2014.5781,48.578082,0
Albany,Albany City,JCT RT 32 & I787,787I787I11011008,NYSDOT,1966,5/11/15,N,4,2015.3562,49.356164,0
Albany,Albany City,IN ALBANY,787I787I11011013,NYSDOT,1973,11/3/15,FO,4.167,2015.8384,42.838356,0
Albany,Albany City,I787 & B:WAY - D&H RWY,787I787I11011013,NYSDOT,1973,10/22/15,N,4.333,2015.8055,42.805479,0
Albany,Albany City,I787 & BWAY-QUAY ST CONN,787I787I11011021,NYSDOT,1973,8/12/15,N,5.5,2015.611,42.610959,0
Albany,Albany City,I787 & BWAY-QUAY ST CONN,787I787I11011021,NYSDOT,1973,8/12/15,FO,5.719,2015.611,42.610959,0
Albany,Albany City,JCT I787 & CONRAIL/AMTRAK,787I787I11011025,NYSDOT,1970,11/4/14,FO,5.264,2014.8411,44.841096,0
Albany,Albany City,JCT I787 & CSX  RR/ AMTRA,787I787I11011025,NYSDOT,1970,11/21/14,FO,5.069,2014.8877,44.887671,0
Albany,Albany City,I787 NB TO DUNN BR RAMP,787NB TO SMX EB,NYSDOT,1973,10/26/15,FO,4.259,2015.8164,42.816438,0
Albany,Albany City,0.4 MI S JCT RTS 20 & 85,85   85 11012007,NYSDOT,2008,8/29/14,N,6.867,2014.6575,6.6575342,0
Albany,Albany City,INT 23 ON I87,871X,NYS Thruway Authority,1954,4/29/15,FO,5.056,2015.3233,61.323288,0
Albany,Albany City,RAMP SE OVER I90,87I  SB TO 90I E,NYSDOT,1989,7/7/15,N,5.958,2015.5123,26.512329,0
Albany,Albany City,.1 MI N OF EXIT 24 OF I90,87I X SB RAMP,NYS Thruway Authority,1986,9/24/15,FO,5.127,2015.7288,29.728767,0
Albany,Albany City,.56 MI SE EXIT 23 OF I87,87IX,NYS Thruway Authority,1954,12/9/15,N,4.704,2015.937,61.936986,0
Albany,Albany City,3 MI SE EXIT 24 ON I87,87IX,NYS Thruway Authority,1952,8/12/14,N,5.585,2014.611,62.610959,0
Albany,Albany City,INT 23 ON I87,87IX,NYS Thruway Authority,1954,4/29/15,FO,5.338,2015.3233,61.323288,0
Albany,Albany City,WATER TUNNEL,87IX,City,1954,7/16/15,N,5.286,2015.537,61.536986,0
Albany,Albany City,EB EXIT 23 RAMP OF I87,87IX NB OFF RAMP,NYS Thruway Authority,1997,11/12/15,FO,5.639,2015.863,18.863014,0
Albany,Albany City,Jct I90 & Everett Rd.,90I 90I11011034,NYSDOT,2006,12/29/14,N,6.042,2014.9918,8.9917808,0
Albany,Albany City,Jct I90 & Everett Rd,90I 90I11011034,NYSDOT,2006,12/29/14,N,6,2014.9918,8.9917808,0
Albany,Albany City,JCT I90 & I787,90I EB TO 787I N,NYSDOT,1968,11/25/14,FO,4.381,2014.8986,46.89863,0
Albany,Albany City,RAMP I90 EB OFF TO 9 NB,90I EB TO 9NB,NYSDOT,1972,7/14/15,FO,5.264,2015.5315,43.531507,0
Albany,Albany City,JCT I90 & I787,90I WB TO 787I S,NYSDOT,1968,11/25/14,FO,4.094,2014.8986,46.89863,0
Albany,Albany City,RAMP I90 WB OFF TO 9 SB,90I WB TO 9SB,NYSDOT,1972,7/14/15,FO,5.306,2015.5315,43.531507,0
Albany,Albany City,I87 RAMP TO I90,910D910D11011023,NYSDOT,1969,5/6/14,N,4.847,2014.3425,45.342466,0
Albany,Albany City,JCT RTS 910D & 910F,910D910D11011023,NYSDOT,1968,8/29/14,FO,4.328,2014.6575,46.657534,0
Albany,Albany City,JCT I87 OVER I90,910F910F11011007,NYSDOT,1985,4/3/15,N,5.578,2015.2521,30.252055,0
