team,percent_abroad,market_value,rank,confederation,number,position,birth_date,shirt_name,club,height,weight,league,age,name,caps
France,69.6,108e7,7,UEFA,1,GK,1986-12-26,LLORIS,Tottenham Hotspur FC,188,82,ENG,31.465753424657535,Hugo Lloris,98
France,69.6,108e7,7,UEFA,2,DF,1996-03-28,PAVARD,VfB Stuttgart,186,76,GER,22.213698630136985,Benjamin Pavard,6
France,69.6,108e7,7,UEFA,3,DF,1995-08-13,KIMPEMBE,Paris Saint-Germain FC,182,78,FRA,22.835616438356166,Presnel Kimpembe,2
France,69.6,108e7,7,UEFA,4,DF,1993-04-25,VARANE,Real Madrid CF,191,79,ESP,25.136986301369863,Raphaël Varane,42
France,69.6,108e7,7,UEFA,5,DF,1993-11-14,UMTITI,FC Barcelona,183,84,ESP,24.58082191780822,Samuel Umtiti,19
France,69.6,108e7,7,UEFA,6,MF,1993-03-15,POGBA,Manchester United FC,191,86,ENG,25.24931506849315,Paul Pogba,54
France,69.6,108e7,7,UEFA,7,FW,1991-03-21,GRIEZMANN,Atletico Madrid,174,72,ESP,27.232876712328768,Antoine Griezmann,54
France,69.6,108e7,7,UEFA,8,FW,1995-11-12,LEMAR,AS Monaco,172,65,FRA,22.586301369863016,Thomas Lemar,12
France,69.6,108e7,7,UEFA,9,FW,1986-09-30,GIROUD,Chelsea FC,193,91,ENG,31.704109589041096,Olivier Giroud,74
France,69.6,108e7,7,UEFA,10,FW,1998-12-20,MBAPPE,Paris Saint-Germain FC,178,78,FRA,19.482191780821918,Kylian Mbappé,15
France,69.6,108e7,7,UEFA,11,FW,1997-05-15,DEMBELE,FC Barcelona,178,70,ESP,21.08219178082192,Ousmane Dembélé,12
France,69.6,108e7,7,UEFA,12,MF,1994-08-03,TOLISSO,FC Bayern München,180,82,GER,23.863013698630137,Corentin Tolisso,9
France,69.6,108e7,7,UEFA,13,MF,1991-03-29,KANTE,Chelsea FC,168,70,ENG,27.21095890410959,N'Golo Kanté,24
France,69.6,108e7,7,UEFA,14,MF,1987-04-09,MATUIDI,Juventus FC,180,74,ITA,31.18082191780822,Blaise Matuidi,67
France,69.6,108e7,7,UEFA,15,MF,1988-12-15,NZONZI,Sevilla FC,197,87,ESP,29.495890410958904,Steven Nzonzi,4
France,69.6,108e7,7,UEFA,16,GK,1985-03-28,MANDANDA,Olympique Marseille,187,88,FRA,33.21369863013699,Steve Mandanda,27
France,69.6,108e7,7,UEFA,17,DF,1985-12-27,RAMI,Olympique Marseille,190,90,FRA,32.463013698630135,Adil Rami,35
France,69.6,108e7,7,UEFA,18,FW,1993-07-18,FEKIR,Olympique Lyon,173,76,FRA,24.90684931506849,Nabil Fekir,12
France,69.6,108e7,7,UEFA,19,DF,1992-07-29,SIDIBE,AS Monaco,184,81,FRA,25.876712328767123,Djibril Sidibé,17
France,69.6,108e7,7,UEFA,20,FW,1993-01-26,THAUVIN,Olympique Marseille,180,76,FRA,25.38082191780822,Florian Thauvin,4
France,69.6,108e7,7,UEFA,21,DF,1996-02-14,HERNANDEZ,Atletico Madrid,183,76,ESP,22.328767123287673,Lucas Hernández,5
France,69.6,108e7,7,UEFA,22,DF,1994-07-17,MENDY,Manchester City FC,183,84,ENG,23.90958904109589,Benjamin Mendy,7
France,69.6,108e7,7,UEFA,23,GK,1993-02-27,AREOLA,Paris Saint-Germain FC,195,95,FRA,25.293150684931508,Alphonse Areola,0
Spain,26.1,103e7,10,UEFA,1,GK,1990-11-07,DE GEA,Manchester United FC,190,71,ENG,27.6,David de Gea,29
Spain,26.1,103e7,10,UEFA,2,DF,1992-01-11,CARVAJAL,Real Madrid CF,173,73,ESP,26.421917808219177,Dani Carvajal,15
Spain,26.1,103e7,10,UEFA,3,DF,1987-02-02,PIQUÉ,FC Barcelona,194,85,ESP,31.361643835616437,Gerard Piqué,98
Spain,26.1,103e7,10,UEFA,4,DF,1990-01-18,NACHO,Real Madrid CF,179,77,ESP,28.4027397260274,Nacho,17
Spain,26.1,103e7,10,UEFA,5,MF,1988-07-16,SERGIO,FC Barcelona,189,78,ESP,29.912328767123288,Sergio Busquets,103
Spain,26.1,103e7,10,UEFA,6,MF,1984-05-11,A. INIESTA,FC Barcelona,171,68,ESP,34.09315068493151,Andrés Iniesta,127
Spain,26.1,103e7,10,UEFA,7,MF,1994-11-21,SAÚL,Atletico Madrid,183,76,ESP,23.561643835616437,Saúl,10
Spain,26.1,103e7,10,UEFA,8,MF,1992-01-08,KOKE,Atletico Madrid,176,73,ESP,26.43013698630137,Koke,40
