news_date,news_titles,news_summary
"April 5, 2019",Applying effective skills in impactful ways,"Florida Polytechnic University senior Hans Arndt has always had an engineering mindset. He’s always been interested in knowing the ‘why’ and ‘how’ of how things work. As an intern at Wilson & Girgenti, a mechanical, electrical and plumbing (MEP) engineering firm with offices in Tampa, Florida, Hans is able to get hands-on experience before he leaves the classroom."
"April 3, 2019",Q&A: Celeste Ramirez’s dream internship leads to her dream job,"When Celeste Ramirez ’19 came to Florida Poly as a freshman in 2016 she dreamed of interning at Steamroller Studios, an animation powerhouse headquartered in her hometown of Eustis, Florida."
"March 27, 2019",Florida Poly to host 5th FLPolyCon in most interactive fashion,"The Florida Polytechnic University campus will soon turn into a geek culture extravaganza as students expect 1,500 enthusiasts at their 5thannual FLPolyCon on Saturday, March 30, at the Innovation, Science, and Technology Building in Lakeland, Florida. The all-day event is open to the public and has become a fun tradition as the University celebrates and shares […]"
"March 26, 2019",Florida Poly student beats odds to become EA Madden NFL champion,"Florida Polytechnic University student Christian Lomenzo is the new EA Madden NFL 19 Challenge champion, after surprising the sports gaming world with an incredible play in overtime that sealed his victory and a $35,000 grand prize. The nationwide competition was held at the EA headquarters in Redwood City, California, on March 15-17."
"March 25, 2019",Solving today’s transportation challenges drives this Florida Poly faculty member,"Dr. Sravani Vadlamani was born in India where she recognized firsthand the importance of having an efficient transportation system. Now an assistant professor within Florida Polytechnic University’s Department of Data Science, she has already amassed a rich academic and industry background and is helping to prepare tomorrow’s transportation engineers."
"March 22, 2019",Seeking challenges in pursuit of happiness,"Florida Polytechnic University graduate student Maria Paula Gomez has been out of her comfort zone for a while, and that’s how she likes it. She left her loved ones behind in her native Argentina to take a leap of faith in herself for a better future. Gomez has family in Lakeland, Florida, and during one of her visits she found out that Florida Poly was accepting international students."
"March 21, 2019","Making autonomous vehicles more secure, many attacks at a time","Florida Poly researchers are using newly invented attacks to improve the security and resiliency of cyber-physical systems (CPS), such as autonomous vehicles, unmanned aerial vehicles, and power systems."
"March 18, 2019",Florida Poly students pitch Great Eight entrepreneurship ideas,"It was a tense afternoon of pitching innovative ideas to a panel of academic and industry experts at Florida Polytechnic University as the third annual Great Eight competition took place at the Innovation, Science, and Technology Building. The event mimics the popular television show “Shark Tank” where students present their concepts before a panel of judges, with the winner advancing to the prestigious statewide Governor’s Cup later this spring."
"March 18, 2019",Florida Poly celebrates first Phoenix Family Day,"Florida Poly welcomed hundreds of visitors to campus Saturday, March 16, as part of its inaugural Phoenix Family Day. From food trucks to student research to kite flying, it was a day for celebrating all things Florida Poly.The festivities began with the student life showcase, which featured a collection of student-developed projects."
"March 15, 2019",Florida Poly Foundation board member honored in the Philippines,"Florida Polytechnic University Foundation board member and top retinal specialist Dr. Michael Tolentino was recognized in his native Philippines for his outstanding achievements in the field of medical research. Tolentino received the Excellence Award by the American Association of the Philippines during the recent annual George Washington Charity Ball in Makati City, Philippines."
"March 13, 2019",Florida Poly unveils plans for state-of-the-art research building,"Florida Polytechnic University announced plans to build another iconic building on its campus that will serve as a research hub for the Central Florida region, becoming a magnet for high-tech development around the school. The 85,000 square foot Applied Research Center (ARC) will house research and teaching laboratories, student design spaces, conference rooms, and faculty offices."
"March 12, 2019",A passion for numbers that transcends all possibilities,"When Florida Polytechnic University student Isabel Zimmermann was in elementary school, she never imagined her professional future would be defined by math. After all, she struggled with it."
"March 8, 2019",More than just a degree for this Florida Poly alum,"She grew up in Chicago and went to an all-girls school specializing in STEAM (science, technology, engineering, art, and mathematics). Now, Megan Sheeran ’18 is a member of the growing community of Florida Polytechnic University alumni. Through internships as well as research opportunities with faculty, Sheeran is looking forward to the next step in her academic life – graduate school."
"March 7, 2019",Florida Poly formalizes Fulbright Australia pact,"Officials from Florida Polytechnic University and the Australian-American Fulbright Commission (Fulbright Australia) formalized an agreement at a ceremonial signing, March 1, at the U.S. Embassy in the Australian capital of Canberra. The agreement allows the University to begin accepting graduate students and faculty from Australia beginning in the fall of 2019."
"March 4, 2019",Encouraging women’s success in STEM by example,"Dr. Susan LeFrancois was one of the first faculty members at Florida Polytechnic University. She’s also an accomplished leader in industry having worked for almost a decade as the head of quality control and regulatory affairs at a gamma sterilizerin Mulberry, Florida."
"March 1, 2019",Tradition continues strong with Florida Poly Pi Run,"Florida Polytechnic University is ready to celebrate its 5thAnnual Florida Poly Pi Run, scheduled for Saturday, March 16. The event was created by the University’s inaugural class and it’s scheduled each year on or near National Pi Day, which is observed March 14. The race is slightly longer than a 5K, exactly 3.14 miles representing the mathematical value of Pi."
"February 28, 2019",Community outreach that gives both ways,"At 3:30 p.m. on Friday, Feb. 22, half a dozen Florida Polytechnic University students found themselves at a different campus, laying out materials for younger students to use, hoping to ignite an interest in engineering and technology."
