state,demVote,year,south
Alabama,84.76,1932,TRUE
Arizona,67.03,1932,FALSE
Arkansas,86.27,1932,TRUE
California,58.41,1932,FALSE
Colorado,54.81,1932,FALSE
Connecticut,47.4,1932,FALSE
Delaware,48.11,1932,FALSE
Florida,74.49,1932,TRUE
Georgia,91.6,1932,TRUE
Idaho,58.7,1932,FALSE
Illinois,55.23,1932,FALSE
Indiana,54.67,1932,FALSE
Iowa,57.69,1932,FALSE
Kansas,53.56,1932,FALSE
Kentucky,59.06,1932,FALSE
Louisiana,92.79,1932,TRUE
Maine,43.19,1932,FALSE
Maryland,61.5,1932,FALSE
Massachusetts,50.64,1932,FALSE
Michigan,52.36,1932,FALSE
Minnesota,59.91,1932,FALSE
Mississippi,95.98,1932,TRUE
Missouri,63.69,1932,FALSE
Montana,58.8,1932,FALSE
Nebraska,62.98,1932,FALSE
Nevada,69.41,1932,FALSE
New Hampshire,48.99,1932,FALSE
New Jersey,49.48,1932,FALSE
New Mexico,62.72,1932,FALSE
New York,54.07,1932,FALSE
North Carolina,69.93,1932,TRUE
North Dakota,69.59,1932,FALSE
Ohio,49.88,1932,FALSE
Oklahoma,73.3,1932,FALSE
Oregon,58,1932,FALSE
Pennsylvania,45.33,1932,FALSE
Rhode Island,55.08,1932,FALSE
South Carolina,98.03,1932,TRUE
South Dakota,63.62,1932,FALSE
Tennessee,66.48,1932,TRUE
Texas,88.19,1932,TRUE
Utah,56.52,1932,FALSE
Vermont,41.08,1932,FALSE
Virginia,68.46,1932,TRUE
Washington,57.46,1932,FALSE
West Virginia,54.47,1932,FALSE
Wisconsin,63.46,1932,FALSE
Wyoming,56.07,1932,FALSE
Alabama,86.38,1936,TRUE
Arizona,69.85,1936,FALSE
Arkansas,81.79,1936,TRUE
California,66.95,1936,FALSE
Colorado,60.37,1936,FALSE
Connecticut,55.32,1936,FALSE
Delaware,54.62,1936,FALSE
Florida,76.08,1936,TRUE
Georgia,87.1,1936,TRUE
Idaho,62.96,1936,FALSE
Illinois,57.7,1936,FALSE
Indiana,56.63,1936,FALSE
Iowa,54.41,1936,FALSE
Kansas,53.67,1936,FALSE
Kentucky,58.51,1936,FALSE
Louisiana,88.82,1936,TRUE
Maine,41.52,1936,FALSE
Maryland,62.35,1936,FALSE
Massachusetts,51.22,1936,FALSE
Michigan,56.33,1936,FALSE
Minnesota,61.84,1936,FALSE
Mississippi,97.03,1936,TRUE
Missouri,60.76,1936,FALSE
Montana,69.28,1936,FALSE
Nebraska,57.14,1936,FALSE
Nevada,72.81,1936,FALSE
New Hampshire,49.73,1936,FALSE
