"","occupation","education","income","women","prestige","census","type"
"1","gov.administrators",13.11,12351,11.16,68.8,1113,"prof"
"2","general.managers",12.26,25879,4.02,69.1,1130,"prof"
"3","accountants",12.77,9271,15.7,63.4,1171,"prof"
"4","purchasing.officers",11.42,8865,9.11,56.8,1175,"prof"
"5","chemists",14.62,8403,11.68,73.5,2111,"prof"
"6","physicists",15.64,11030,5.13,77.6,2113,"prof"
"7","biologists",15.09,8258,25.65,72.6,2133,"prof"
"8","architects",15.44,14163,2.69,78.1,2141,"prof"
"9","civil.engineers",14.52,11377,1.03,73.1,2143,"prof"
"10","mining.engineers",14.64,11023,0.94,68.8,2153,"prof"
"11","surveyors",12.39,5902,1.91,62,2161,"prof"
"12","draughtsmen",12.3,7059,7.83,60,2163,"prof"
"13","computer.programers",13.83,8425,15.33,53.8,2183,"prof"
"14","economists",14.44,8049,57.31,62.2,2311,"prof"
"15","psychologists",14.36,7405,48.28,74.9,2315,"prof"
"16","social.workers",14.21,6336,54.77,55.1,2331,"prof"
"17","lawyers",15.77,19263,5.13,82.3,2343,"prof"
"18","librarians",14.15,6112,77.1,58.1,2351,"prof"
"19","vocational.counsellors",15.22,9593,34.89,58.3,2391,"prof"
"20","ministers",14.5,4686,4.14,72.8,2511,"prof"
"21","university.teachers",15.97,12480,19.59,84.6,2711,"prof"
"22","primary.school.teachers",13.62,5648,83.78,59.6,2731,"prof"
"23","secondary.school.teachers",15.08,8034,46.8,66.1,2733,"prof"
"24","physicians",15.96,25308,10.56,87.2,3111,"prof"
"25","veterinarians",15.94,14558,4.32,66.7,3115,"prof"
"26","osteopaths.chiropractors",14.71,17498,6.91,68.4,3117,"prof"
"27","nurses",12.46,4614,96.12,64.7,3131,"prof"
"28","nursing.aides",9.45,3485,76.14,34.9,3135,"bc"
"29","physio.therapsts",13.62,5092,82.66,72.1,3137,"prof"
"30","pharmacists",15.21,10432,24.71,69.3,3151,"prof"
"31","medical.technicians",12.79,5180,76.04,67.5,3156,"wc"
"32","commercial.artists",11.09,6197,21.03,57.2,3314,"prof"
"33","radio.tv.announcers",12.71,7562,11.15,57.6,3337,"wc"
"34","athletes",11.44,8206,8.13,54.1,3373,NA
"35","secretaries",11.59,4036,97.51,46,4111,"wc"
"36","typists",11.49,3148,95.97,41.9,4113,"wc"
"37","bookkeepers",11.32,4348,68.24,49.4,4131,"wc"
"38","tellers.cashiers",10.64,2448,91.76,42.3,4133,"wc"
"39","computer.operators",11.36,4330,75.92,47.7,4143,"wc"
"40","shipping.clerks",9.17,4761,11.37,30.9,4153,"wc"
"41","file.clerks",12.09,3016,83.19,32.7,4161,"wc"
"42","receptionsts",11.04,2901,92.86,38.7,4171,"wc"
"43","mail.carriers",9.22,5511,7.62,36.1,4172,"wc"
"44","postal.clerks",10.07,3739,52.27,37.2,4173,"wc"
"45","telephone.operators",10.51,3161,96.14,38.1,4175,"wc"
"46","collectors",11.2,4741,47.06,29.4,4191,"wc"
"47","claim.adjustors",11.13,5052,56.1,51.1,4192,"wc"
"48","travel.clerks",11.43,6259,39.17,35.7,4193,"wc"
"49","office.clerks",11,4075,63.23,35.6,4197,"wc"
"50","sales.supervisors",9.84,7482,17.04,41.5,5130,"wc"
"51","commercial.travellers",11.13,8780,3.16,40.2,5133,"wc"
"52","sales.clerks",10.05,2594,67.82,26.5,5137,"wc"
"53","newsboys",9.62,918,7,14.8,5143,NA
"54","service.station.attendant",9.93,2370,3.69,23.3,5145,"bc"
"55","insurance.agents",11.6,8131,13.09,47.3,5171,"wc"
"56","real.estate.salesmen",11.09,6992,24.44,47.1,5172,"wc"
"57","buyers",11.03,7956,23.88,51.1,5191,"wc"
"58","firefighters",9.47,8895,0,43.5,6111,"bc"
"59","policemen",10.93,8891,1.65,51.6,6112,"bc"
"60","cooks",7.74,3116,52,29.7,6121,"bc"
"61","bartenders",8.5,3930,15.51,20.2,6123,"bc"
"62","funeral.directors",10.57,7869,6.01,54.9,6141,"bc"
"63","babysitters",9.46,611,96.53,25.9,6147,NA
"64","launderers",7.33,3000,69.31,20.8,6162,"bc"
"65","janitors",7.11,3472,33.57,17.3,6191,"bc"
"66","elevator.operators",7.58,3582,30.08,20.1,6193,"bc"
"67","farmers",6.84,3643,3.6,44.1,7112,NA
"68","farm.workers",8.6,1656,27.75,21.5,7182,"bc"
"69","rotary.well.drillers",8.88,6860,0,35.3,7711,"bc"
"70","bakers",7.54,4199,33.3,38.9,8213,"bc"
"71","slaughterers.1",7.64,5134,17.26,25.2,8215,"bc"
"72","slaughterers.2",7.64,5134,17.26,34.8,8215,"bc"
"73","canners",7.42,1890,72.24,23.2,8221,"bc"
"74","textile.weavers",6.69,4443,31.36,33.3,8267,"bc"
"75","textile.labourers",6.74,3485,39.48,28.8,8278,"bc"
"76","tool.die.makers",10.09,8043,1.5,42.5,8311,"bc"
"77","machinists",8.81,6686,4.28,44.2,8313,"bc"
"78","sheet.metal.workers",8.4,6565,2.3,35.9,8333,"bc"
"79","welders",7.92,6477,5.17,41.8,8335,"bc"
"80","auto.workers",8.43,5811,13.62,35.9,8513,"bc"
"81","aircraft.workers",8.78,6573,5.78,43.7,8515,"bc"
"82","electronic.workers",8.76,3942,74.54,50.8,8534,"bc"
"83","radio.tv.repairmen",10.29,5449,2.92,37.2,8537,"bc"
"84","sewing.mach.operators",6.38,2847,90.67,28.2,8563,"bc"
"85","auto.repairmen",8.1,5795,0.81,38.1,8581,"bc"
