course,comments
MATH1900,He is very enthusiastic to help students. His course content is organized and the lecture is clear and  concise. I really enjoyed his lecture. He is very on-time to grade course materials and responsive on email-communication. He is not only helpful in the classroom but also in his office hour.  Overall he is a wonderful and awesome teacher.
MATH250,"Great professor, really wants his students to pass. Puts all his notes online"
MATH2860,"Lectures are clear and pretty easy to follow. He is always open to extra help all you need to do is ask. Great Professor, challenging course. You'll learn a lot."
MATH2860,"He is a great professor. He mixes humor into all of his lectures, and he makes class interesting so it was easy to pay attention in them. Though some concepts are difficult to understand in linear algebra, he tries to make it as painless as possible. His exams aren't very difficult if you pay attention in class. I would definitely take him again."
MATH2025,i found him to be a good professor he keeps the class entertained and his classes are never boring. I found it hard to meet with him in person but he is very responsive through emails and responses quick.
MATH2025,"He is a great professor. I would take him again in a heartbeat. His lectures are really good. Like any other professor, you have tests, but he's really good at explaining things so they're not difficult even though the material isn't the easiest stuff to grasp."
MATH2860,"Great professor, occasional fun games to help learning, lectures are thorough and understandable, few quiz's and tests but if you do ""suggested problems"" you can expect a good grade. Makes class very enjoyable."
MATH2025,"He is a great professor. Calculus has always been sort of scary to me, and while the material in his class is very difficult, he is so good at teaching it that it really becomes not a big deal. I feel way more confident in my calc skills now! Also, he's great at emailing you back if you ever have trouble with HW. Very responsive and helpful."
MATH430,"He is an awesome professor! I'm not one for math at all and frankly struggle with it but with his lectures i was able to understand most of the concepts he taught us and when i didn't understand something, he was able to further clarify very easily. He has a very strong knowledge of the material which is a must taking any math course."
MATH430,"Best math teacher you will ever have. He is the man, plain and simple. Easy, short online homeworks that help you understand the material. he never took attendance, but with any math classes you better show up or else you get left behind. Great class, great teacher."
MATH430,"Great Professor,  He is a really nice guy. Wants students to achieve and take what they learned into the real world. The course was required due to my major but i would take him again for any other class. He doesn't grade too hard and will use current events in mathematic examples."
MATH890,"Great guy. I loved the class. He has a great way of communicating the material to you so I suggest you show up to class since he does give pop-quizzes that end up hitting your grade hard at the end. It's the main reason I got bumped down to a B+.   Heads up though, he loves to make ""jokes."""
MATH890,He is a talented teacher.  Can convey material well and often touches back on other points to really embed them in your brain.  Easy to approach and will work something out with you if you missed a HW or a Quiz or both.  Powerpoints are great but he does write out examples too.  He sends out a pretest before each test which rocks.  Great Professor.
MATH310,"One of my favorite professors, very smart and funny guy! The lectures are given with powerpoints, always clear and interesting. We had homework once a week, never too tough. I would say his grading is on the easy side. I would definitely take another class with him."
MATH890,Easily the best mathematics professor I had at Wentworth. I was really anxious about taking Linear Algebra as in Diff Eqs and Multivariable Calc I was really struggling understanding what was happening during lectures.    Really cool dude and a great communicator. Powerpoint lectures he makes are very clear cut and extremely helpful for test prep.
MATH890,Great class. Relates well to students. Funny. Explains concepts well and takes time for everyone to understand. Homework not often but you must do it. Very helpful and looks out for all his students.
MATH250,"Great classes, great semester!"
MATH250,Had him for pre-calc. I know you guys are thinking pre Calc must be easy but I'm not really good at math. I withdrew from pre calc Last semester due to a crappy professor and Professor He helped me understand it so much. Hes helpful and just want you to succeed and do well in college.
