objectid,objectid_1,input_fid,near_fid,distance,distmet,distmiles,from_county,fromschoolnum,fromschool,fromlat,fromlon,tocounty,toschoolnum,toschoolname,tolat,tolon,tsid,fsid,tcoid,fcoid,copairid
236,236,0,33,.58940768,65506.184,40.703644,ALACHUA,161,ALACHUA ELEMENTARY SCHOOL,29.79541,-82.492447,BAKER,91,WESTSIDE ELEMENTARY SCHOOL,30.280935,-82.158279,38,10,2,1,1
15431,15431,33,27,.60315299,67033.82,41.65287,BAKER,91,WESTSIDE ELEMENTARY SCHOOL,30.280935,-82.158279,ALACHUA,571,W. W. IRBY ELEMENTARY SCHOOL,29.779131,-82.492928,32,38,1,2,1
12553,12553,25,33,.60940862,67729.063,42.084877,ALACHUA,950,THE ONE ROOM SCHOOL HOUSE PROJECT,29.689863,-82.306648,BAKER,91,WESTSIDE ELEMENTARY SCHOOL,30.280935,-82.158279,38,29,2,1,1
14525,14525,30,25,.61391056,68229.406,42.395775,BAKER,31,J FRANKLYN KELLER INTERMEDIATE SCHOOL,30.277275,-82.128227,ALACHUA,950,THE ONE ROOM SCHOOL HOUSE PROJECT,29.689863,-82.306648,30,37,1,2,1
15452,15452,33,2,.61633909,68499.313,42.563484,BAKER,91,WESTSIDE ELEMENTARY SCHOOL,30.280935,-82.158279,ALACHUA,541,C. W. NORTON ELEMENTARY SCHOOL,29.696526,-82.354088,3,38,1,2,1
12499,12499,25,57,.31886026,35437.813,22.020029,ALACHUA,950,THE ONE ROOM SCHOOL HOUSE PROJECT,29.689863,-82.306648,BRADFORD,81,SOUTHSIDE ELEMENTARY SCHOOL,29.935579,-82.103439,70,29,4,1,2
19127,19127,58,25,.32023278,35590.348,22.114811,BRADFORD,51,STARKE ELEMENTARY SCHOOL,29.95179,-82.122414,ALACHUA,950,THE ONE ROOM SCHOOL HOUSE PROJECT,29.689863,-82.306648,30,67,1,4,2
12498,12498,25,58,.32023278,35590.348,22.114811,ALACHUA,950,THE ONE ROOM SCHOOL HOUSE PROJECT,29.689863,-82.306648,BRADFORD,51,STARKE ELEMENTARY SCHOOL,29.95179,-82.122414,71,29,4,1,2
3774,3774,7,58,.32304946,35903.395,22.309326,ALACHUA,492,FEARNSIDE FAMILY SERVICES CENTER,29.685831,-82.305786,BRADFORD,51,STARKE ELEMENTARY SCHOOL,29.95179,-82.122414,71,19,4,1,2
9136,9136,18,57,.32351583,35955.227,22.341536,ALACHUA,341,MARJORIE KINNAN RAWLINGS ELEM,29.68434,-82.307251,BRADFORD,81,SOUTHSIDE ELEMENTARY SCHOOL,29.935579,-82.103439,70,16,4,1,2
139447,139447,284,20,.56278849,62547.75,38.865356,CITRUS,181,CITRUS SPRINGS ELEMENTARY SCHOOL,28.980583,-82.494537,ALACHUA,951,MICANOPY AREA COOPERATIVE SCHOOL INC.,29.504831,-82.289848,23,326,1,9,3
9942,9942,20,287,.61540937,68395.977,42.499279,ALACHUA,951,MICANOPY AREA COOPERATIVE SCHOOL INC.,29.504831,-82.289848,CITRUS,171,HERNANDO ELEMENTARY SCHOOL,28.896627,-82.383759,322,30,9,1,3
