Flight Number,Date,Time (UTC),Booster Version,Launch Site,Payload,Payload Mass (kg),Orbit,Customer,Mission Outcome,Landing Outcome
1,"June 4, 2010",18:45,F9 v1.0,CCAFS LC-40,Dragon Spacecraft Qualification Unit,,LEO,SpaceX,Success,Failure (parachutes)
2,"December 8, 2010",15:43,F9 v1.0,CCAFS LC-40,"Dragon demo flight C1, two CubeSats,  barrel of Brouère cheese",,LEO,NASA (COTS) NRO,Success,Failure (parachutes)
3,"May 22, 2012",7:44,F9 v1.0,CCAFS LC-40,Dragon demo flight C2+,525 ,LEO,NASA (COTS),Success,No attempt
4,"October 8, 2012",0:35,F9 v1.0,CCAFS LC-40,SpaceX CRS-1,500 ,LEO,NASA (CRS),Success,No attempt
5,"March 1, 2013",15:10,F9 v1.0,CCAFS LC-40,SpaceX CRS-2,677 ,LEO,NASA (CRS),Success,No attempt
6,"September 29, 2013",16:00,F9 v1.1,VAFB SLC-4E,CASSIOPE,500 ,Polar orbit,MDA,Success,Failure (ocean)
7,"December 3, 2013",22:41,F9 v1.1,CCAFS LC-40,SES-8,"3,170 ",GTO,SES,Success,No attempt
8,"January 6, 2014",22:06,F9 v1.1,CCAFS LC-40,Thaicom 6,"3,325 ",GTO,Thaicom,Success,No attempt
9,"April 18, 2014",19:25,F9 v1.1,CCAFS LC-40,SpaceX CRS-3,"2,296 ",LEO,NASA (CRS),Success,Success (ocean)
10,"July 14, 2014",15:15,F9 v1.1,CCAFS LC-40,OG2 Mission 1  6 Orbcomm-OG2 satellites,"1,316 ",LEO,Orbcomm,Success,Success (ocean)
11,"August 5, 2014",8:00,F9 v1.1,CCAFS LC-40,AsiaSat 8,"4,535 ",GTO,AsiaSat,Success,No attempt
12,"September 7, 2014",5:00,F9 v1.1,CCAFS LC-40,AsiaSat 6,"4,428 ",GTO,AsiaSat,Success,No attempt
13,"September 21, 2014",5:52,F9 v1.1,CCAFS LC-40,SpaceX CRS-4,"2,216 ",LEO,NASA (CRS),Success,Failure (ocean)
14,"January 10, 2015",9:47,F9 v1.1,CCAFS LC-40,SpaceX CRS-5,"2,395 ",LEO,NASA (CRS),Success,Failure (drone ship)
15,"February 11, 2015",23:03,F9 v1.1,CCAFS LC-40,DSCOVR,570 ,Sun-Earth L1,U.S. Air Force NASA NOAA,Success,Success (ocean)
16,"March 2, 2015",3:50,F9 v1.1,CCAFS LC-40,ABS-3A Eutelsat 115 West B,"4,159 ",GTO,ABS Eutelsat,Success,No attempt
17,"April 14, 2015",20:10,F9 v1.1,CCAFS LC-40,SpaceX CRS-6,"1,898 ",LEO,NASA (CRS),Success,Failure (drone ship)
18,"April 27, 2015",23:03,F9 v1.1,CCAFS LC-40,TürkmenÄlem 52°E / MonacoSAT,"4,707 ",GTO,Turkmenistan National Space Agency,Success,No attempt
19,"June 28, 2015",14:21,F9 v1.1,CCAFS LC-40,SpaceX CRS-7,"1,952 ",LEO,NASA (CRS),Failure (in flight),Precluded (drone ship)
20,"December 22, 2015",1:29,F9 FT B1019,CCAFS LC-40,OG2 Mission 2   11 Orbcomm-OG2 satellites,"2,034 ",LEO,Orbcomm,Success,Success (ground pad)
21,"January 17, 2016",18:42,F9 v1.1,VAFB SLC-4E,Jason-3,553 ,LEO,NASA NOAA CNES,Success,Failure (drone ship)
22,"March 4, 2016",23:35,F9 FT B1020,CCAFS LC-40,SES-9,"5,271 ",GTO,SES,Success,Failure (drone ship)
23,"April 8, 2016",20:43,F9 FT B1021.1,CCAFS LC-40,SpaceX CRS-8,"3,136 ",LEO,NASA (CRS),Success,Success (drone ship)
24,"May 6, 2016",5:21,F9 FT B1022,CCAFS LC-40,JCSAT-14,"4,696 ",GTO,SKY Perfect JSAT Group,Success,Success (drone ship)
25,"May 27, 2016",21:39,F9 FT B1023.1,CCAFS LC-40,Thaicom 8,"3,100 ",GTO,Thaicom,Success,Success (drone ship)
26,"June 15, 2016",14:29,F9 FT B1024,CCAFS LC-40,ABS-2A Eutelsat 117 West B,"3,600 ",GTO,ABS Eutelsat,Success,Failure (drone ship)
27,"July 18, 2016",4:45,F9 FT B1025.1,CCAFS LC-40,SpaceX CRS-9,"2,257 ",LEO,NASA (CRS),Success,Success (ground pad)
28,"August 14, 2016",5:26,F9 FT B1026,CCAFS LC-40,JCSAT-16,"4,600 ",GTO,SKY Perfect JSAT Group,Success,Success (drone ship)
29,"January 14, 2017",17:54,F9 FT B1029.1,VAFB SLC-4E,Iridium NEXT 1–10,"9,600 ",LEO,Iridium Communications,Success,Success (drone ship)
