female,white,age,ideology,newsdays,bush,obama,mccain,clinton,limbaugh
0,0,34,4,0,85,25,60,20,52
1,1,58,6,0,60,0,70,30,40
1,1,39,6,3,85,30,60,40,50
0,1,72,6,7,70,30,70,40,70
1,1,71,6,1,70,0,85,0,40
1,1,84,6,6,60,30,85,60,40
1,1,55,4,7,85,0,85,0,50
0,1,30,4,5,70,15,60,15,50
1,1,77,5,4,70,15,85,15,70
0,1,61,4,7,30,40,85,85,0
1,1,31,4,1,40,40,70,85,50
1,1,87,2,7,30,60,60,70,40
0,1,55,4,7,0,70,30,70,0
0,1,40,4,2,60,30,70,60,0
0,1,78,5,1,100,40,100,60,100
0,1,57,5,2,60,40,85,20,50
0,1,53,2,7,0,100,15,60,0
1,0,24,2,0,70,70,50,50,50
0,1,63,2,1,25,85,35,60,10
1,0,40,6,3,0,40,30,85,0
0,1,33,3,1,0,70,30,40,0
0,0,47,1,0,0,25,25,80,10
1,1,45,3,0,0,70,40,70,0
0,1,33,3,0,40,60,40,50,70
1,1,45,4,6,70,85,50,100,60
1,1,78,4,7,70,40,85,70,60
0,1,53,2,7,30,85,85,85,50
1,1,28,1,0,15,85,30,70,15
0,1,90,4,7,100,50,70,50,100
0,1,36,4,1,60,70,85,100,50
1,0,29,2,4,0,70,15,70,30
0,0,29,2,7,0,100,40,70,0
1,1,35,2,0,0,70,60,85,40
0,1,51,4,2,60,85,60,85,60
1,1,28,3,1,50,60,40,50,50
0,1,54,3,0,60,85,60,85,30
1,0,30,6,1,70,85,70,85,60
1,0,35,4,1,15,70,40,85,30
0,0,35,3,2,0,70,60,85,85
1,1,75,6,7,85,40,85,0,70
1,1,58,1,0,0,100,30,70,0
1,1,50,2,1,15,85,30,70,0
1,1,35,5,0,15,15,15,30,30
0,0,57,2,7,15,70,40,85,0
1,0,36,2,5,0,85,70,60,15
1,1,53,6,0,100,0,70,40,100
1,1,78,2,5,40,85,60,100,0
1,1,58,5,7,50,30,60,60,70
0,1,31,5,0,40,30,60,15,40
0,1,46,2,3,15,85,30,70,15
1,1,59,4,6,0,100,30,70,0
1,1,26,4,2,30,70,50,30,0
0,0,34,3,1,15,70,50,40,40
1,0,53,4,2,0,50,70,50,50
1,1,40,3,2,0,85,40,70,15
1,1,58,3,5,15,50,40,70,30
1,1,45,1,0,15,70,15,60,0
1,1,46,6,0,60,30,60,50,70
0,0,32,4,0,85,60,70,50,50
0,0,32,3,3,0,85,15,70,0
0,1,34,4,0,70,60,50,50,50
0,1,61,5,7,70,40,85,40,70
0,0,45,7,7,70,15,60,0,50
0,1,41,6,7,85,15,85,0,50
0,1,70,3,2,60,40,60,15,30
1,0,48,2,7,0,100,0,60,50
0,0,18,4,3,0,70,70,60,50
1,1,43,4,2,0,70,40,100,50
1,0,18,3,0,40,70,40,70,50
0,0,57,1,7,15,70,40,70,0
0,1,44,3,1,15,85,50,85,30
0,1,49,4,7,40,60,70,40,0
1,1,40,4,0,40,60,50,50,40
1,1,19,2,0,40,70,50,40,50
0,0,72,4,7,15,50,50,70,0
0,1,26,6,2,70,70,60,70,60
0,1,90,6,0,70,40,60,60,50
1,0,34,5,3,0,100,15,85,50
0,0,47,4,3,0,100,0,100,60
1,1,33,4,5,100,100,100,60,50
1,1,33,4,2,15,50,85,35,85
1,1,37,2,5,0,85,15,85,0
0,0,53,4,7,0,85,30,100,0
0,1,23,2,2,0,70,15,60,20
1,1,31,2,4,0,95,5,75,0
1,1,38,3,5,15,85,30,70,50
1,1,21,2,1,15,85,15,60,0
1,1,25,1,2,15,85,30,85,15
0,0,42,4,1,0,60,60,70,30
1,0,23,4,1,0,85,50,70,30
1,0,25,2,7,0,100,0,60,0
1,0,59,6,7,70,0,85,50,85
1,0,26,2,5,30,100,30,85,15
1,1,25,6,2,70,30,60,15,60
0,1,59,6,7,70,60,70,40,70
0,0,40,4,0,50,50,50,50,50
1,1,23,2,7,0,98,15,95,50
1,0,33,2,5,0,85,30,100,0
0,1,37,3,0,50,50,50,50,10
0,1,55,4,6,10,5,80,50,0
0,1,38,4,2,40,30,60,60,30
0,1,57,2,3,30,85,60,70,0
0,1,46,6,0,70,30,60,15,30
0,1,80,4,0,15,85,40,70,15
1,1,67,5,5,70,60,85,40,50
1,1,29,1,2,0,100,15,100,0
1,1,54,5,3,70,85,85,30,50
0,1,67,2,4,15,100,15,85,0
1,1,32,6,7,25,50,50,100,0
1,1,41,5,3,70,40,85,15,0
0,1,33,2,5,25,75,35,75,50
1,1,34,6,2,70,30,60,15,50
0,1,23,2,2,15,70,40,70,40
1,1,28,2,0,0,85,0,50,15
0,1,60,7,7,85,0,70,0,85
1,0,48,4,7,50,50,40,50,40
0,1,50,6,7,70,50,50,50,60
1,0,50,6,7,60,60,60,70,70
0,0,45,3,7,0,100,50,100,0
1,0,56,2,4,0,85,40,70,0
