year,month,day,precipitation,max_temp,min_temp
2016,1,1,0.00000,81.00000,70.00000
2016,1,2,0.00000,73.00000,59.00000
2016,1,3,0.18000,61.00000,50.00000
2016,1,4,0.00000,66.00000,49.00000
2016,1,5,0.00000,68.00000,49.00000
2016,1,6,0.00000,67.00000,54.00000
2016,1,7,0.00000,72.00000,56.00000
2016,1,8,0.54000,76.00000,63.00000
2016,1,9,0.65000,78.00000,62.00000
2016,1,10,0.00000,72.00000,56.00000
2016,1,11,0.00000,60.00000,44.00000
2016,1,12,0.00000,67.00000,45.00000
2016,1,13,0.00000,61.00000,49.00000
2016,1,14,0.02000,69.00000,50.00000
2016,1,15,0.54000,73.00000,62.00000
2016,1,16,0.03000,75.00000,60.00000
2016,1,17,1.01000,68.00000,50.00000
2016,1,18,0.00000,62.00000,45.00000
2016,1,19,0.00000,59.00000,44.00000
2016,1,20,0.00000,66.00000,41.00000
2016,1,21,0.00000,71.00000,49.00000
2016,1,22,0.56000,71.00000,60.00000
2016,1,23,0.10000,60.00000,47.00000
2016,1,24,0.00000,56.00000,37.00000
2016,1,25,0.00000,66.00000,38.00000
2016,1,26,0.01000,77.00000,52.00000
2016,1,27,1.51000,68.00000,63.00000
2016,1,28,1.03000,67.00000,59.00000
2016,1,29,0.00000,65.00000,48.00000
2016,1,30,0.00000,68.00000,50.00000
2016,1,31,0.00000,73.00000,53.00000
2016,2,1,0.00000,78.00000,65.00000
2016,2,2,0.00000,82.00000,64.00000
2016,2,3,0.00000,84.00000,69.00000
2016,2,4,1.05000,77.00000,56.00000
2016,2,5,0.00000,64.00000,45.00000
2016,2,6,0.25000,59.00000,48.00000
2016,2,7,0.00000,58.00000,46.00000
2016,2,8,0.00000,66.00000,43.00000
2016,2,9,0.01000,62.00000,51.00000
2016,2,10,0.00000,58.00000,46.00000
2016,2,11,0.00000,66.00000,42.00000
2016,2,12,0.00000,70.00000,50.00000
2016,2,13,0.00000,72.00000,52.00000
2016,2,14,0.00000,72.00000,47.00000
2016,2,15,0.00000,74.00000,58.00000
2016,2,16,0.25000,71.00000,55.00000
2016,2,17,0.00000,75.00000,52.00000
2016,2,18,0.00000,74.00000,53.00000
2016,2,19,0.00000,76.00000,54.00000
2016,2,20,0.00000,78.00000,56.00000
2016,2,21,0.00000,76.00000,55.00000
2016,2,22,0.13000,78.00000,58.00000
2016,2,23,0.01000,80.00000,65.00000
2016,2,24,0.83000,75.00000,61.00000
2016,2,25,0.00000,64.00000,52.00000
2016,2,26,0.00000,62.00000,49.00000
2016,2,27,0.00000,66.00000,43.00000
2016,2,28,0.00000,72.00000,48.00000
2016,2,29,0.00000,74.00000,58.00000
2016,3,1,0.00000,77.00000,57.00000
2016,3,2,0.00000,76.00000,58.00000
2016,3,3,0.00000,75.00000,56.00000
2016,3,4,0.00000,76.00000,58.00000
2016,3,5,0.00000,72.00000,52.00000
2016,3,6,0.00000,78.00000,52.00000
2016,3,7,0.00000,80.00000,54.00000
2016,3,8,0.00000,81.00000,60.00000
2016,3,9,0.00000,82.00000,65.00000
2016,3,10,0.00000,85.00000,68.00000
2016,3,11,0.00000,85.00000,68.00000
2016,3,12,0.00000,85.00000,64.00000
2016,3,13,0.19000,79.00000,69.00000
2016,3,14,0.04000,81.00000,70.00000
2016,3,15,0.00000,82.00000,72.00000
2016,3,16,0.00000,81.00000,71.00000
2016,3,17,0.00000,82.00000,70.00000
2016,3,18,0.00000,80.00000,66.00000
2016,3,19,0.33000,76.00000,69.00000
2016,3,20,0.00000,77.00000,64.00000
2016,3,21,0.00000,65.00000,50.00000
2016,3,22,0.00000,72.00000,48.00000
2016,3,23,0.00000,81.00000,56.00000
2016,3,24,0.07000,83.00000,64.00000
2016,3,25,0.72000,76.00000,63.00000
2016,3,26,0.00000,85.00000,70.00000
2016,3,27,0.00000,84.00000,72.00000
2016,3,28,0.03000,81.00000,71.00000
2016,3,29,0.38000,78.00000,64.00000
2016,3,30,0.00000,84.00000,63.00000
2016,3,31,0.00000,83.00000,69.00000
2016,4,1,0.00000,85.00000,72.00000
2016,4,2,0.68000,77.00000,67.00000
2016,4,3,0.00000,78.00000,59.00000
2016,4,4,0.00000,78.00000,62.00000
2016,4,5,0.00000,83.00000,59.00000
2016,4,6,0.00000,82.00000,64.00000
2016,4,7,0.70000,79.00000,67.00000
2016,4,8,0.00000,79.00000,66.00000
2016,4,9,0.00000,77.00000,58.00000
2016,4,10,0.00000,81.00000,58.00000
2016,4,11,0.00000,84.00000,66.00000
2016,4,12,0.00000,81.00000,64.00000
2016,4,13,0.00000,84.00000,66.00000
2016,4,14,0.00000,84.00000,68.00000
2016,4,15,0.06000,80.00000,69.00000
2016,4,16,0.00000,82.00000,68.00000
2016,4,17,0.00000,82.00000,64.00000
2016,4,18,0.00000,85.00000,59.00000
2016,4,19,0.00000,84.00000,62.00000
2016,4,20,0.00000,84.00000,65.00000
2016,4,21,0.00000,86.00000,67.00000
2016,4,22,0.07000,85.00000,70.00000
2016,4,23,0.00000,81.00000,68.00000
2016,4,24,0.03000,85.00000,66.00000
2016,4,25,0.13000,86.00000,72.00000
2016,4,26,0.00000,86.00000,70.00000
2016,4,27,0.00000,85.00000,71.00000
2016,4,28,0.00000,87.00000,72.00000
2016,4,29,0.00000,90.00000,71.00000
2016,4,30,0.00000,89.00000,74.00000
2016,5,1,0.00000,91.00000,72.00000
2016,5,2,0.00000,89.00000,74.00000
2016,5,3,0.00000,88.00000,76.00000
2016,5,4,2.79000,78.00000,68.00000
2016,5,5,0.00000,80.00000,64.00000
2016,5,6,0.00000,79.00000,61.00000
2016,5,7,0.00000,80.00000,60.00000
2016,5,8,0.00000,83.00000,61.00000
2016,5,9,0.00000,84.00000,67.00000
2016,5,10,0.00000,85.00000,71.00000
2016,5,11,0.00000,87.00000,74.00000
2016,5,12,0.00000,85.00000,74.00000
2016,5,13,0.00000,86.00000,73.00000
2016,5,14,0.00000,87.00000,73.00000
2016,5,15,0.00000,88.00000,67.00000
2016,5,16,0.00000,89.00000,71.00000
2016,5,17,0.40000,87.00000,73.00000
2016,5,18,0.00000,88.00000,72.00000
2016,5,19,0.00000,89.00000,76.00000
2016,5,20,0.57000,90.00000,71.00000
2016,5,21,0.00000,86.00000,72.00000
2016,5,22,0.00000,87.00000,75.00000
2016,5,23,0.00000,86.00000,72.00000
2016,5,24,0.00000,88.00000,67.00000
2016,5,25,0.00000,91.00000,74.00000
2016,5,26,0.00000,89.00000,71.00000
2016,5,27,0.00000,90.00000,70.00000
2016,5,28,0.00000,89.00000,73.00000
2016,5,29,0.00000,88.00000,75.00000
2016,5,30,0.00000,90.00000,74.00000
2016,5,31,0.00000,90.00000,76.00000
2016,6,1,0.02000,91.00000,77.00000
2016,6,2,0.04000,92.00000,75.00000
2016,6,3,0.00000,93.00000,77.00000
2016,6,4,0.18000,95.00000,75.00000
2016,6,5,0.77000,89.00000,76.00000
2016,6,6,2.76000,81.00000,73.00000
2016,6,7,2.78000,87.00000,76.00000
2016,6,8,0.25000,89.00000,78.00000
2016,6,9,0.10000,87.00000,78.00000
2016,6,10,0.52000,88.00000,76.00000
2016,6,11,0.21000,87.00000,76.00000
2016,6,12,1.28000,87.00000,76.00000
2016,6,13,0.52000,91.00000,79.00000
2016,6,14,0.00000,91.00000,80.00000
2016,6,15,0.00000,91.00000,81.00000
2016,6,16,0.00000,90.00000,81.00000
2016,6,17,0.02000,91.00000,77.00000
2016,6,18,0.05000,90.00000,76.00000
2016,6,19,0.00000,89.00000,74.00000
2016,6,20,0.00000,90.00000,73.00000
2016,6,21,0.00000,89.00000,66.00000
2016,6,22,0.00000,94.00000,74.00000
2016,6,23,0.00000,91.00000,79.00000
2016,6,24,0.00000,90.00000,80.00000
2016,6,25,0.54000,90.00000,77.00000
2016,6,26,1.20000,91.00000,74.00000
2016,6,27,0.07000,89.00000,74.00000
2016,6,28,0.00000,90.00000,77.00000
2016,6,29,0.00000,90.00000,79.00000
2016,6,30,0.17000,90.00000,77.00000
2016,7,1,0.00000,92.00000,79.00000
2016,7,2,0.30000,90.00000,77.00000
2016,7,3,0.00000,91.00000,78.00000
