year,month,day,precipitation,max_temp,min_temp,ave_temp
2022,1,1,0,82,67,74.5
2022,1,2,0,82,71,76.5
2022,1,3,0.02,75,55,65
2022,1,4,0,76,50,63
2022,1,5,0,75,59,67
2022,1,6,0.00001,74,56,65
2022,1,7,0.00001,81,63,72
2022,1,8,0,81,58,69.5
2022,1,9,0,84,65,74.5
2022,1,10,0,81,64,72.5
2022,1,11,0,73,54,63.5
2022,1,12,0,77,54,65.5
2022,1,13,0,74,59,66.5
2022,1,14,0,72,55,63.5
2022,1,15,0,75,50,62.5
2022,1,16,0.68,71,62,66.5
2022,1,17,0,66,56,61
2022,1,18,0,64,42,53
2022,1,19,0,75,47,61
2022,1,20,0,78,53,65.5
2022,1,21,0,76,60,68
2022,1,22,0.01,62,47,54.5
2022,1,23,0.00001,57,46,51.5
2022,1,24,0,63,40,51.5
2022,1,25,0.67,57,50,53.5
2022,1,26,0.08,63,54,58.5
2022,1,27,0,74,59,66.5
2022,1,28,0.00001,67,54,60.5
2022,1,29,0,55,41,48
2022,1,30,0,58,36,47
2022,1,31,0,69,39,54
2022,2,1,0,76,49,62.5
2022,2,2,0,82,57,69.5
2022,2,3,0,85,66,75.5
2022,2,4,0,83,67,75
2022,2,5,0.02,71,55,63
2022,2,6,0.02,64,54,59
2022,2,7,0,70,54,62
2022,2,8,0.35,56,53,54.5
2022,2,9,0.00001,69,49,59
2022,2,10,0,72,47,59.5
2022,2,11,0,78,52,65
2022,2,12,0.00001,80,55,67.5
2022,2,13,0.1,76,56,66
2022,2,14,0,68,46,57
2022,2,15,0,75,47,61
2022,2,16,0,84,59,71.5
2022,2,17,0,86,67,76.5
2022,2,18,0,81,68,74.5
2022,2,19,0.13,77,60,68.5
2022,2,20,0,82,54,68
2022,2,21,0,86,63,74.5
2022,2,22,0,87,67,77
2022,2,23,0,86,70,78
2022,2,24,0,86,68,77
2022,2,25,0,84,68,76
2022,2,26,0,85,67,76
2022,2,27,0,82,69,75.5
2022,2,28,0,80,64,72
2022,3,1,0,79,60,69.5
2022,3,2,0,78,58,68
2022,3,3,0,83,59,71
2022,3,4,0,89,65,77
2022,3,5,0,88,64,76
2022,3,6,0,89,66,77.5
2022,3,7,0,88,71,79.5
2022,3,8,0,86,74,80
2022,3,9,0,86,75,80.5
2022,3,10,0.00001,84,72,78
2022,3,11,0,86,72,79
2022,3,12,0.41,79,48,63.5
2022,3,13,0,70,41,55.5
2022,3,14,0,81,54,67.5
2022,3,15,1.04,84,67,75.5
2022,3,16,0.00001,80,68,74
2022,3,17,0,79,65,72
2022,3,18,0,87,65,76
2022,3,19,0,86,69,77.5
2022,3,20,0,84,65,74.5
2022,3,21,0,85,57,71
2022,3,22,0,88,66,77
2022,3,23,0,87,73,80
2022,3,24,1.42,77,63,70
2022,3,25,0,80,62,71
2022,3,26,0,81,60,70.5
2022,3,27,0,81,63,72
2022,3,28,0,83,67,75
2022,3,29,0,86,64,75
2022,3,30,0,88,69,78.5
2022,3,31,0.04,86,73,79.5
2022,4,1,1.37,83,68,75.5
2022,4,2,1.11,83,65,74
2022,4,3,0,80,68,74
2022,4,4,0,85,65,75
2022,4,5,0,88,72,80
2022,4,6,0,87,77,82
2022,4,7,1.34,81,71,76
2022,4,8,0,76,66,71
2022,4,9,0,76,58,67
2022,4,10,0,77,56,66.5
2022,4,11,0,85,62,73.5
2022,4,12,0,88,66,77
2022,4,13,0,86,70,78
2022,4,14,0,86,75,80.5
2022,4,15,0.02,87,73,80
2022,4,16,0,88,73,80.5
2022,4,17,0,88,75,81.5
2022,4,18,0,91,73,82
2022,4,19,0,84,66,75
2022,4,20,0,85,61,73
2022,4,21,0,87,67,77
2022,4,22,0,87,67,77
2022,4,23,0,88,68,78
2022,4,24,0,90,69,79.5
2022,4,25,0,90,71,80.5
2022,4,26,0,87,72,79.5
2022,4,27,0,88,66,77
2022,4,28,0.14,88,70,79
2022,4,29,1.22,89,69,79
2022,4,30,1.56,87,67,77
2022,5,1,0.03,86,69,77.5
2022,5,2,0,87,71,79
2022,5,3,0.62,88,71,79.5
2022,5,4,0,88,73,80.5
2022,5,5,0,90,76,83
2022,5,6,0,89,76,82.5
2022,5,7,0.15,87,74,80.5
2022,5,8,0,89,75,82
2022,5,9,0,90,71,80.5
2022,5,10,0,87,65,76
2022,5,11,0,86,64,75
2022,5,12,0,87,66,76.5
2022,5,13,0,86,70,78
2022,5,14,0,88,72,80
2022,5,15,0,88,72,80
2022,5,16,0,87,73,80
2022,5,17,0,89,75,82
2022,5,18,0,91,76,83.5
2022,5,19,0,90,77,83.5
2022,5,20,0.17,88,75,81.5
2022,5,21,0.00001,90,74,82
2022,5,22,0,96,74,85
2022,5,23,0.00001,92,79,85.5
2022,5,24,0.01,94,79,86.5
