"year","month","date_of_month","date","day_of_week","births"
2000,1,1,2000-01-01,"Sat",9083
2000,1,2,2000-01-02,"Sun",8006
2000,1,3,2000-01-03,"Mon",11363
2000,1,4,2000-01-04,"Tues",13032
2000,1,5,2000-01-05,"Wed",12558
2000,1,6,2000-01-06,"Thurs",12466
2000,1,7,2000-01-07,"Fri",12516
2000,1,8,2000-01-08,"Sat",8934
2000,1,9,2000-01-09,"Sun",7949
2000,1,10,2000-01-10,"Mon",11668
2000,1,11,2000-01-11,"Tues",12611
2000,1,12,2000-01-12,"Wed",12398
2000,1,13,2000-01-13,"Thurs",11815
2000,1,14,2000-01-14,"Fri",12180
2000,1,15,2000-01-15,"Sat",8525
2000,1,16,2000-01-16,"Sun",7657
2000,1,17,2000-01-17,"Mon",10824
2000,1,18,2000-01-18,"Tues",12350
2000,1,19,2000-01-19,"Wed",12405
2000,1,20,2000-01-20,"Thurs",12506
2000,1,21,2000-01-21,"Fri",11953
2000,1,22,2000-01-22,"Sat",8855
2000,1,23,2000-01-23,"Sun",7856
2000,1,24,2000-01-24,"Mon",11449
2000,1,25,2000-01-25,"Tues",12593
2000,1,26,2000-01-26,"Wed",12143
2000,1,27,2000-01-27,"Thurs",12408
2000,1,28,2000-01-28,"Fri",11934
2000,1,29,2000-01-29,"Sat",8805
2000,1,30,2000-01-30,"Sun",7764
2000,1,31,2000-01-31,"Mon",11133
2000,2,1,2000-02-01,"Tues",12614
2000,2,2,2000-02-02,"Wed",12465
2000,2,3,2000-02-03,"Thurs",12062
2000,2,4,2000-02-04,"Fri",12035
2000,2,5,2000-02-05,"Sat",8624
2000,2,6,2000-02-06,"Sun",7862
2000,2,7,2000-02-07,"Mon",11630
2000,2,8,2000-02-08,"Tues",12879
2000,2,9,2000-02-09,"Wed",12315
2000,2,10,2000-02-10,"Thurs",12612
2000,2,11,2000-02-11,"Fri",12411
2000,2,12,2000-02-12,"Sat",8836
2000,2,13,2000-02-13,"Sun",7933
2000,2,14,2000-02-14,"Mon",12152
2000,2,15,2000-02-15,"Tues",13017
2000,2,16,2000-02-16,"Wed",12504
2000,2,17,2000-02-17,"Thurs",12520
2000,2,18,2000-02-18,"Fri",12406
2000,2,19,2000-02-19,"Sat",8861
2000,2,20,2000-02-20,"Sun",7943
2000,2,21,2000-02-21,"Mon",10610
2000,2,22,2000-02-22,"Tues",12664
