id,make,model,year,class,trans,drive,cyl,displ,fuel,hwy,cty
27550,AM General,DJ Po Vehicle 2WD,1984,Special Purpose Vehicle 2WD,Automatic 3-spd,2-Wheel Drive,4,2.5,Regular,17,18
28426,AM General,DJ Po Vehicle 2WD,1984,Special Purpose Vehicle 2WD,Automatic 3-spd,2-Wheel Drive,4,2.5,Regular,17,18
27549,AM General,FJ8c Post Office,1984,Special Purpose Vehicle 2WD,Automatic 3-spd,2-Wheel Drive,6,4.2,Regular,13,13
28425,AM General,FJ8c Post Office,1984,Special Purpose Vehicle 2WD,Automatic 3-spd,2-Wheel Drive,6,4.2,Regular,13,13
1032,AM General,Post Office DJ5 2WD,1985,Special Purpose Vehicle 2WD,Automatic 3-spd,Rear-Wheel Drive,4,2.5,Regular,17,16
1033,AM General,Post Office DJ8 2WD,1985,Special Purpose Vehicle 2WD,Automatic 3-spd,Rear-Wheel Drive,6,4.2,Regular,13,13
3347,ASC Incorporated,GNX,1987,Midsize Cars,Automatic 4-spd,Rear-Wheel Drive,6,3.8,Premium,21,14
13309,Acura,2.2CL/3.0CL,1997,Subcompact Cars,Automatic 4-spd,Front-Wheel Drive,4,2.2,Regular,26,20
13310,Acura,2.2CL/3.0CL,1997,Subcompact Cars,Manual 5-spd,Front-Wheel Drive,4,2.2,Regular,28,22
13311,Acura,2.2CL/3.0CL,1997,Subcompact Cars,Automatic 4-spd,Front-Wheel Drive,6,3,Regular,26,18
14038,Acura,2.3CL/3.0CL,1998,Subcompact Cars,Automatic 4-spd,Front-Wheel Drive,4,2.3,Regular,27,19
14039,Acura,2.3CL/3.0CL,1998,Subcompact Cars,Manual 5-spd,Front-Wheel Drive,4,2.3,Regular,29,21
14040,Acura,2.3CL/3.0CL,1998,Subcompact Cars,Automatic 4-spd,Front-Wheel Drive,6,3,Regular,26,17
14834,Acura,2.3CL/3.0CL,1999,Subcompact Cars,Automatic 4-spd,Front-Wheel Drive,4,2.3,Regular,27,20
14835,Acura,2.3CL/3.0CL,1999,Subcompact Cars,Manual 5-spd,Front-Wheel Drive,4,2.3,Regular,29,21
14836,Acura,2.3CL/3.0CL,1999,Subcompact Cars,Automatic 4-spd,Front-Wheel Drive,6,3,Regular,26,17
11789,Acura,2.5TL,1995,Compact Cars,Automatic 4-spd,Front-Wheel Drive,5,2.5,Premium,23,18
12673,Acura,2.5TL/3.2TL,1996,Compact Cars,Automatic 4-spd,Front-Wheel Drive,5,2.5,Premium,23,18
12674,Acura,2.5TL/3.2TL,1996,Compact Cars,Automatic 4-spd,Front-Wheel Drive,6,3.2,Premium,22,17
13421,Acura,2.5TL/3.2TL,1997,Compact Cars,Automatic 4-spd,Front-Wheel Drive,5,2.5,Premium,23,18
13422,Acura,2.5TL/3.2TL,1997,Compact Cars,Automatic 4-spd,Front-Wheel Drive,6,3.2,Premium,22,17
14163,Acura,2.5TL/3.2TL,1998,Compact Cars,Automatic 4-spd,Front-Wheel Drive,5,2.5,Premium,23,17
14164,Acura,2.5TL/3.2TL,1998,Compact Cars,Automatic 4-spd,Front-Wheel Drive,6,3.2,Premium,22,17
16573,Acura,3.2CL,2001,Compact Cars,Automatic (S5),Front-Wheel Drive,6,3.2,Premium,27,17
17489,Acura,3.2CL,2002,Compact Cars,Automatic (S5),Front-Wheel Drive,6,3.2,Premium,27,17
18458,Acura,3.2CL,2003,Compact Cars,Manual 6-spd,Front-Wheel Drive,6,3.2,Premium,26,17
18459,Acura,3.2CL,2003,Compact Cars,Automatic (S5),Front-Wheel Drive,6,3.2,Premium,27,17
15069,Acura,3.2TL,1999,Midsize Cars,Automatic 4-spd,Front-Wheel Drive,6,3.2,Premium,25,17
15871,Acura,3.2TL,2000,Midsize Cars,Automatic 5-spd,Front-Wheel Drive,6,3.2,Premium,27,17
16734,Acura,3.2TL,2001,Midsize Cars,Automatic (S5),Front-Wheel Drive,6,3.2,Premium,27,17
17664,Acura,3.2TL,2002,Midsize Cars,Automatic (S5),Front-Wheel Drive,6,3.2,Premium,27,17
18629,Acura,3.2TL,2003,Midsize Cars,Automatic (S5),Front-Wheel Drive,6,3.2,Premium,27,17
12801,Acura,3.5RL,1996,Midsize Cars,Automatic 4-spd,Front-Wheel Drive,6,3.5,Premium,23,17
13537,Acura,3.5RL,1997,Midsize Cars,Automatic 4-spd,Front-Wheel Drive,6,3.5,Premium,23,17
14278,Acura,3.5RL,1998,Midsize Cars,Automatic 4-spd,Front-Wheel Drive,6,3.5,Premium,23,17
15070,Acura,3.5RL,1999,Midsize Cars,Automatic 4-spd,Front-Wheel Drive,6,3.5,Premium,22,16
15872,Acura,3.5RL,2000,Midsize Cars,Automatic 4-spd,Front-Wheel Drive,6,3.5,Premium,22,16
16735,Acura,3.5RL,2001,Midsize Cars,Automatic 4-spd,Front-Wheel Drive,6,3.5,Premium,22,16
17665,Acura,3.5RL,2002,Midsize Cars,Automatic 4-spd,Front-Wheel Drive,6,3.5,Premium,22,16
18630,Acura,3.5RL,2003,Midsize Cars,Automatic 4-spd,Front-Wheel Drive,6,3.5,Premium,22,16
19710,Acura,3.5RL,2004,Midsize Cars,Automatic 4-spd,Front-Wheel Drive,6,3.5,Premium,22,16
33146,Acura,ILX,2013,Compact Cars,Automatic (S5),Front-Wheel Drive,4,2,Premium,35,24
33147,Acura,ILX,2013,Compact Cars,Manual 6-spd,Front-Wheel Drive,4,2.4,Premium,31,22
33566,Acura,ILX,2014,Compact Cars,Automatic (S5),Front-Wheel Drive,4,2,Premium,35,24
33567,Acura,ILX,2014,Compact Cars,Manual 6-spd,Front-Wheel Drive,4,2.4,Premium,31,22
33148,Acura,ILX Hybrid,2013,Compact Cars,Auto(AV-S7),Front-Wheel Drive,4,1.5,Premium,38,39
33607,Acura,ILX Hybrid,2014,Compact Cars,Auto(AV-S7),Front-Wheel Drive,4,1.5,Premium,38,39
1833,Acura,Integra,1986,Subcompact Cars,Automatic 4-spd,Front-Wheel Drive,4,1.6,Regular,28,22
1834,Acura,Integra,1986,Subcompact Cars,Manual 5-spd,Front-Wheel Drive,4,1.6,Regular,28,23
3037,Acura,Integra,1987,Subcompact Cars,Automatic 4-spd,Front-Wheel Drive,4,1.6,Regular,28,22
3038,Acura,Integra,1987,Subcompact Cars,Manual 5-spd,Front-Wheel Drive,4,1.6,Regular,28,23
4183,Acura,Integra,1988,Subcompact Cars,Automatic 4-spd,Front-Wheel Drive,4,1.6,Regular,27,22
4184,Acura,Integra,1988,Subcompact Cars,Manual 5-spd,Front-Wheel Drive,4,1.6,Regular,28,23
5303,Acura,Integra,1989,Subcompact Cars,Automatic 4-spd,Front-Wheel Drive,4,1.6,Regular,27,22
5304,Acura,Integra,1989,Subcompact Cars,Manual 5-spd,Front-Wheel Drive,4,1.6,Regular,28,23
6442,Acura,Integra,1990,Subcompact Cars,Automatic 4-spd,Front-Wheel Drive,4,1.8,Regular,24,20
6443,Acura,Integra,1990,Subcompact Cars,Manual 5-spd,Front-Wheel Drive,4,1.8,Regular,26,21
7519,Acura,Integra,1991,Subcompact Cars,Automatic 4-spd,Front-Wheel Drive,4,1.8,Regular,26,21
7520,Acura,Integra,1991,Subcompact Cars,Manual 5-spd,Front-Wheel Drive,4,1.8,Regular,26,21
28918,Acura,Integra,1992,Subcompact Cars,Manual 5-spd,Front-Wheel Drive,4,1.7,Premium,26,21
8620,Acura,Integra,1992,Subcompact Cars,Automatic 4-spd,Front-Wheel Drive,4,1.8,Regular,26,21
8621,Acura,Integra,1992,Subcompact Cars,Manual 5-spd,Front-Wheel Drive,4,1.8,Regular,28,22
9691,Acura,Integra,1993,Subcompact Cars,Manual 5-spd,Front-Wheel Drive,4,1.7,Premium,26,21
9692,Acura,Integra,1993,Subcompact Cars,Automatic 4-spd,Front-Wheel Drive,4,1.8,Regular,26,21
9693,Acura,Integra,1993,Subcompact Cars,Manual 5-spd,Front-Wheel Drive,4,1.8,Regular,29,22
10676,Acura,Integra,1994,Subcompact Cars,Manual 5-spd,Front-Wheel Drive,4,1.8,Premium,28,22
10677,Acura,Integra,1994,Subcompact Cars,Automatic 4-spd,Front-Wheel Drive,4,1.8,Regular,29,21
10678,Acura,Integra,1994,Subcompact Cars,Manual 5-spd,Front-Wheel Drive,4,1.8,Regular,29,22
11639,Acura,Integra,1995,Subcompact Cars,Manual 5-spd,Front-Wheel Drive,4,1.8,Premium,28,22
11640,Acura,Integra,1995,Subcompact Cars,Automatic 4-spd,Front-Wheel Drive,4,1.8,Regular,29,21
11641,Acura,Integra,1995,Subcompact Cars,Manual 5-spd,Front-Wheel Drive,4,1.8,Regular,29,22
12557,Acura,Integra,1996,Subcompact Cars,Manual 5-spd,Front-Wheel Drive,4,1.8,Premium,29,22
12558,Acura,Integra,1996,Subcompact Cars,Automatic 4-spd,Front-Wheel Drive,4,1.8,Regular,29,21
12559,Acura,Integra,1996,Subcompact Cars,Manual 5-spd,Front-Wheel Drive,4,1.8,Regular,29,22
13306,Acura,Integra,1997,Subcompact Cars,Manual 5-spd,Front-Wheel Drive,4,1.8,Premium,29,22
13307,Acura,Integra,1997,Subcompact Cars,Automatic 4-spd,Front-Wheel Drive,4,1.8,Regular,29,21
13308,Acura,Integra,1997,Subcompact Cars,Manual 5-spd,Front-Wheel Drive,4,1.8,Regular,29,22
14041,Acura,Integra,1998,Subcompact Cars,Automatic 4-spd,Front-Wheel Drive,4,1.8,Regular,29,21
14042,Acura,Integra,1998,Subcompact Cars,Manual 5-spd,Front-Wheel Drive,4,1.8,Regular,29,22
14043,Acura,Integra,1998,Subcompact Cars,Manual 5-spd,Front-Wheel Drive,4,1.8,Premium,28,22
14837,Acura,Integra,1999,Subcompact Cars,Automatic 4-spd,Front-Wheel Drive,4,1.8,Regular,29,21
14838,Acura,Integra,1999,Subcompact Cars,Manual 5-spd,Front-Wheel Drive,4,1.8,Regular,29,22
14839,Acura,Integra,1999,Subcompact Cars,Manual 5-spd,Front-Wheel Drive,4,1.8,Premium,28,22
15640,Acura,Integra,2000,Subcompact Cars,Automatic 4-spd,Front-Wheel Drive,4,1.8,Regular,28,21
15641,Acura,Integra,2000,Subcompact Cars,Manual 5-spd,Front-Wheel Drive,4,1.8,Regular,28,22
15642,Acura,Integra,2000,Subcompact Cars,Manual 5-spd,Front-Wheel Drive,4,1.8,Premium,28,22
16488,Acura,Integra,2001,Subcompact Cars,Automatic 4-spd,Front-Wheel Drive,4,1.8,Regular,28,21
16489,Acura,Integra,2001,Subcompact Cars,Manual 5-spd,Front-Wheel Drive,4,1.8,Regular,28,22
16490,Acura,Integra,2001,Subcompact Cars,Manual 5-spd,Front-Wheel Drive,4,1.8,Premium,28,22
1991,Acura,Legend,1986,Compact Cars,Automatic 4-spd,Front-Wheel Drive,6,2.5,Regular,22,17
1992,Acura,Legend,1986,Compact Cars,Manual 5-spd,Front-Wheel Drive,6,2.5,Regular,23,18
3160,Acura,Legend,1987,Compact Cars,Automatic 4-spd,Front-Wheel Drive,6,2.5,Regular,22,17
