cust_id,sales_total,num_of_orders,gender
100001,800.64,3,F
100002,217.53,3,F
100003,74.58,2,M
100004,498.6,3,M
100005,723.11,4,F
100006,69.43,2,F
100007,40.15,2,M
100008,58.61,2,M
100009,364.63,2,F
100010,44.31,2,M
100011,216.41,1,F
100012,157.92,2,F
100013,289.58,1,M
100014,1044.4,7,M
100015,82.3,3,M
100016,90.21,2,M
100017,59.09,2,M
100018,361.38,1,M
100019,37.32,1,M
100020,311.34,3,F
100021,90.84,3,M
100022,580.64,5,M
100023,274.31,2,F
100024,215.06,2,F
100025,202.99,3,F
100026,53.03,2,F
100027,153.87,3,F
100028,149.65,3,M
100029,271.5,3,M
100030,456.17,3,F
100031,123.49,3,F
100032,122.92,2,F
100033,272.96,1,M
100034,120.57,1,M
100035,162.56,1,M
100036,710.93,4,M
100037,39.72,2,M
100038,240.35,3,F
100039,155.54,1,F
100040,87.55,3,M
100041,85.15,2,F
100042,163.95,2,M
100043,72.30441591,1,M
100044,41.63,2,M
100045,326.47,4,M
100046,80.8,1,F
100047,350.02,2,F
100048,128.26,1,M
100049,110.44,3,F
100050,83.25925463,1,M
100051,49.39,1,M
100052,52.27,3,F
100053,157.13,1,F
100054,424.12,3,F
100055,143.8,2,M
100056,96.14,2,M
100057,659.04,3,M
100058,47.73,2,M
100059,73.72,2,M
100060,81.85,2,F
100061,111.39,2,M
100062,113.64,1,M
100063,542.67,3,M
100064,37.44,2,M
100065,126.54,2,M
100066,54.72,3,M
100067,190.81,3,M
100068,204.78,2,F
100069,97.77,3,F
100070,190.62,1,M
100071,170.09,2,F
100072,148.41,1,F
100073,347.39,4,M
100074,61.76,1,F
100075,40.47,1,M
100076,85.18937512,1,M
100077,920.85,5,F
100078,78.16,2,F
100079,53.98,1,F
100080,498.18,3,F
100081,50.25,2,F
100082,31.9,2,F
100083,297.14,2,M
100084,39.63,2,F
100085,146.27,2,F
100086,79.58,1,M
100087,339.49,1,M
100088,114.97,3,F
100089,183.25,3,M
100090,159.24,2,M
100091,152.16,2,M
100092,280.63,4,F
100093,36.18,2,F
100094,154.18,1,F
100095,265.46,2,M
100096,222.11,2,F
100097,99.98,2,F
100098,190.23,1,M
100099,91.43,2,F
100100,340.83,1,F
100101,209.75,3,M
100102,742.42,6,F
100103,127.4,2,M
100104,585.58,2,M
100105,246.92,3,M
100106,589.02,2,F
100107,437.02,2,F
100108,214.4,1,M
100109,317.29,2,M
100110,161.17,1,F
100111,554.56,5,M
100112,322.61,2,F
100113,405.05,3,M
100114,245.23,4,M
100115,292.72,3,M
100116,407.88,2,F
100117,650.47,2,F
100118,53.35415123,2,M
100119,242.86,2,F
100120,401.03,3,M
100121,56.46,1,M
100122,176.63,2,F
100123,317.3,1,M
100124,818.45,6,F
100125,53.62,2,F
100126,512.44,2,M
100127,204.65,3,M
100128,208.93,2,M
100129,378.96,3,F
100130,51.6,2,M
100131,65.78,3,M
100132,252.27,3,F
100133,747.9,4,M
100134,48.42,1,F
100135,240.73,1,M
100136,989.62,6,M
100137,289.48,2,M
100138,30.85,1,F
100139,196.91,3,M
100140,213.57,3,M
100141,123.88,1,F
100142,303.22,2,M
100143,61.79,2,M
100144,58.93,3,F
100145,215.5,2,F
100146,150.73,2,M
100147,314.36,4,F
100148,145.02,2,M
100149,37.39,2,M
100150,1011.88,9,F
100151,37.06,2,F
100152,97.66,3,F
100153,231.79,3,M
100154,71.33,2,M
100155,108.16,3,M
100156,236.93,2,M
100157,77.31,3,F
100158,106.82,2,M
100159,1947.93,9,M
100160,267.68,1,M
100161,107.75,2,M
100162,782.29,2,M
100163,257.55,3,F
100164,32.11,1,F
100165,71.78,1,F
100166,48.57,1,M
100167,586.01,6,M
100168,53.87,1,M
100169,143.48,2,M
100170,34.55,1,M
100171,97.07,1,F
100172,174.69,2,F
100173,223.65,3,F
100174,356.88,1,F
100175,35.75,1,F
100176,680.61,6,F
100177,325.48,4,M
100178,50.39,3,M
100179,49.77,2,F
100180,210.02,1,F
100181,65.09,2,M
100182,223.17,4,M
100183,1210.78,5,F
100184,238.91,2,M
100185,111.75,1,M
100186,122.1,2,M
100187,63.69,1,M
100188,59.37,2,F
100189,56.43,3,F
100190,202.04,1,F
100191,222.58,2,F
100192,253.49,3,F
100193,81.92,2,M
100194,71.84,1,F
100195,145.91,2,M
100196,363.03,2,F
100197,96.62,1,M
100198,292.33,1,M
100199,553.15,5,F
100200,163.78,3,F
100201,404.37,3,F
100202,258.5,4,F
100203,459.69,2,M
100204,57.37793402,2,M
100205,430.29,2,F
100206,144.27,2,M
100207,99.87,3,M
100208,194.03,2,M
100209,253.65,4,M
100210,305.29,1,F
100211,323.59,2,F
100212,70.12,3,M
100213,70.4,3,F
100214,49.65,1,F
100215,1211.36,7,M
100216,364.29,1,F
100217,257.13,3,F
100218,85.15,2,M
100219,159.61,2,M
100220,1247.34,5,M
100221,201.91,4,M
100222,328.42,2,F
100223,185.5,2,M
100224,471.05,1,F
100225,62.85,2,M
100226,186.59,3,M
100227,127.9,3,M
100228,874.14,2,M
100229,31.68,2,M
100230,192.38,2,M
100231,115.97,2,M
100232,293.2,1,M
100233,64.17,2,F
100234,281.24,3,M
100235,374.79,2,F
100236,58.81,2,M
100237,452.17,3,F
100238,212.7,3,M
100239,135.95,2,M
100240,36.71,2,F
100241,225.58,2,M
100242,424.3,3,F
100243,220.3,1,M
100244,93.08,2,M
100245,59.53858915,2,M
100246,347.15,1,M
100247,97.71,1,M
100248,321.66,3,F
100249,254.61,3,F
100250,59.41,3,F
100251,467.87,3,F
100252,70.50535731,2,M
100253,2301.26,9,F
100254,336.7,2,M
100255,153.11,1,M
100256,114.51,3,F
100257,166.29,3,M
100258,261.12,2,F
100259,79.95,2,F
100260,3873.24,8,F
100261,398.4,2,F
100262,167.06,2,M
100263,133.31,2,M
100264,82.12,2,F
100265,59.17314637,2,F
100266,406.04,4,M
100267,274.02,2,M
100268,348.28,1,M
100269,77.25,2,F
100270,87.55,2,M
100271,90.91,3,M
100272,1036.88,10,F
100273,67.23,2,M
100274,405.53,2,F
100275,34.49,1,F
100276,146.86,2,F
100277,36.26,1,F
100278,116.68,1,M
100279,208.41,3,M
100280,36.35,2,M
100281,296.64,3,M
100282,261.61,3,M
100283,233.45,2,M
100284,199.26,2,F
100285,133.19,1,M
100286,99.26,2,F
100287,287.15,2,M
100288,150.26,2,F
100289,123.45,2,F
100290,1166.18,7,F
100291,240.19,2,F
100292,157.04,3,F
100293,852.6,6,F
100294,86.8,2,F
100295,94.94,2,F
100296,300.76,3,F
100297,287.82,3,F
100298,551.73,5,F
100299,39.67,2,M
100300,38.31,2,M
100301,85.77,1,M
100302,405.72,2,M
100303,124.36,2,M
100304,97.86,3,M
100305,324.27,2,M
100306,60.83,2,M
100307,280.6,1,F
100308,74.76,3,F
100309,52.33,2,M
100310,113.6,2,M
100311,224.09,4,F
100312,163.25,1,M
100313,80.26,1,F
100314,84.66,2,F
100315,1848.53,5,M
100316,171.46,3,F
100317,313.23,2,M
100318,338.63,2,M
100319,33.58,2,M
100320,381.54,2,M
100321,140.43,2,F
100322,683.87,3,F
100323,381.51,4,M
100324,34.47795168,1,M
100325,31.83,1,M
100326,87.81,2,F
100327,97.64681089,2,M
100328,323.29,3,M
100329,1184.36,8,M
100330,159.28,1,F
100331,508.41,4,M
100332,344.7,1,F
100333,157.66,1,M
100334,350.87,4,M
100335,170.36,2,F
100336,312.28,2,F
100337,1641.18,7,F
100338,81.91,1,M
100339,73.02,2,F
100340,166.68,1,F
100341,368.09,2,F
100342,142.52,2,M
100343,92.69697831,1,F
100344,790.95,3,F
100345,58.86,2,F
100346,91.48,1,M
100347,155.86,2,F
100348,458.77,1,F
100349,92.95829113,1,M
100350,206.53,3,F
100351,218.07,3,F
100352,66.40117767,2,M
100353,81.24,2,M
100354,829.69,6,M
100355,551.07,4,F
100356,286.71,3,F
100357,471.98,2,F
100358,71.26476967,1,F
100359,638.93,6,M
100360,243.98,3,F
100361,47.33453466,1,M
100362,588.32,4,F
100363,112.2,2,M
100364,223.24,2,F
100365,290.21,3,M
100366,231.71,3,F
100367,49.25600381,2,M
100368,190.96,2,M
100369,101.7,3,F
100370,54.95026286,1,M
100371,98.02,2,M
100372,241.61,3,F
100373,580.64,5,M
100374,269.55,4,F
100375,37.25552506,2,M
100376,104.86,1,F
100377,902.32,5,M
100378,219.5,2,F
100379,729.94,5,F
100380,105.16,2,M
100381,421.87,3,M
100382,98.6,1,M
100383,129.65,2,F
100384,71.80705561,2,F
100385,196.51,2,M
100386,249.44,3,F
100387,370.76,3,M
100388,375.23,3,M
100389,164.34,3,F
100390,646.95,4,F
100391,289.08,4,M
100392,80.45,1,F
100393,52.47,1,F
100394,69.62,2,F
100395,506.56,5,F
100396,79.6,2,F
100397,49.21,1,M
